word,count,length,per_million,rank
e,716354,1,62443.2099893237,1
të,563216,2,49094.4630131847,2
në,366610,2,31956.693498167,3
i,303388,1,26445.7525081746,4
dhe,292890,3,25530.6618986884,5
te,231404,2,20171.0447130461,6
me,221156,2,19277.7461260757,7
nga,171807,3,14976.0880495338,8
ne,147585,2,12864.7025720165,9
për,134881,3,11757.3191558503,10
një,122932,3,10715.7476476819,11
që,107024,2,9329.07767095231,12
më,100524,2,8762.48508553979,13
si,82378,2,7180.73292324815,14
është,82141,5,7160.07408590311,15
se,80039,2,6976.8467605897,16
ka,69673,2,6073.26233899182,17
nuk,67966,3,5924.46640925349,18
u,67414,1,5876.34962353845,19
qe,61351,2,5347.84949348366,20
edhe,57485,4,5010.85765729831,21
së,52138,2,4544.76987972896,22
do,49241,2,4292.2439228151,23
tek,47239,3,4117.73340650804,24
ishte,38018,5,3313.95644803283,25
parë,36810,4,3208.65739523616,26
tij,35474,3,3092.20082691137,27
por,34642,3,3019.67697597857,28
mund,29680,4,2587.14891308365,29
janë,28724,4,2503.81621898298,30
ai,28452,2,2480.10649848572,31
duke,27911,4,2432.94856176138,32
shumë,27740,5,2418.04281836053,33
po,26902,2,2344.99595888734,34
shqiptare,26892,9,2344.12427798671,35
ku,25116,2,2189.313750034,36
pas,24664,3,2149.91377332531,37
kur,24422,3,2128.81909552995,38
tyre,23482,4,2046.88109087029,39
kjo,23283,3,2029.53464094766,40
janar,23202,5,2022.47402565252,41
këtë,22054,4,1922.40505825966,42
pa,21248,2,1852.14757766851,43
deri,20552,4,1791.47858698434,44
vitin,19940,5,1738.1317158655,45
kanë,18798,4,1638.58575701302,46
ta,18486,2,1611.38931291322,47
prej,18328,4,1597.61675468319,48
duhet,17435,5,1519.77565025652,49
apo,17217,3,1500.77300662268,50
shekulli,17018,8,1483.42655670005,51
ju,17012,2,1482.90354815967,52
dy,16707,2,1456.31728069032,53
disa,15572,4,1357.38149846828,54
video,15456,5,1347.27000002092,55
fundit,15441,6,1345.96247866997,56
mbi,15303,3,1333.93328224121,57
lexo,15208,4,1325.65231368518,58
ditë,15175,4,1322.77576671309,59
saj,15060,3,1312.75143635579,60
vitit,14532,5,1266.72668480228,61
data,14454,4,1259.92757377733,62
ose,14234,3,1240.75059396337,63
ky,14097,2,1228.80856562467,64
ajo,13847,3,1207.0165431088,66
gjatë,13766,5,1199.95592781366,67
kishte,13686,6,1192.98248060859,68
rreth,13623,5,1187.49089093459,69
politike,13609,8,1186.2705376737,70
ti,13579,2,1183.6554949718,71
jo,13419,2,1169.70860056164,72
para,13348,4,1163.51966616714,73
a,13203,1,1150.88029310793,74
sa,13043,2,1136.93339869778,75
ata,12709,3,1107.81925661658,76
vetëm,12675,5,1104.85554155442,77
gjitha,12675,6,1104.85554155442,78
na,12504,2,1089.94979815357,79
tjera,12100,5,1054.73388976793,80
sipas,11977,5,1044.01221469012,81
etj,11666,3,1016.90293868039,82
kundër,11462,6,999.12064830744,83
sot,11448,3,997.900295046551,84
shqiptar,11352,8,989.532158400459,85
faqe,11088,4,966.519782623704,86
cili,10773,4,939.061834253712,87
vete,10516,4,916.659635107402,88
atë,10420,3,908.291498461309,89
mirë,10275,4,895.652125402106,90
këto,10160,4,885.627795044808,91
gjithë,10042,6,875.341960417319,92
madhe,9927,5,865.31763006002,93
ndaj,9926,4,865.230461969957,94
lajmet,9778,6,852.329584640564,95
juaj,9611,4,837.772513599965,96
ato,9599,3,836.726496519204,97
sepse,9232,5,804.735807465912,98
familje,9197,7,801.684924313691,99
ishin,9182,5,800.377402962739,100
cila,9172,4,799.505722062104,101
shume,9170,5,799.331385881977,102
ri,9083,2,791.747762046456,103
mos,9055,3,789.307055524679,104
cilat,9047,5,788.609710804171,105
madh,8896,4,775.447329204588,106
çdo,8748,3,762.546451875195,107
qenë,8631,4,752.347785337769,108
ja,8587,2,748.512389374977,109
reklama,8563,7,746.420355213454,110
pjesë,8546,5,744.938497682375,111
kemi,8522,4,742.846463520852,112
re,8498,2,740.754429359328,113
Kosovës,8347,7,727.592047759745,114
fetare,7793,6,679.300925864585,115
aktuale,7773,7,677.557564063316,116
ndërsa,7691,6,670.409780678112,117
jeta,7655,4,667.271729435827,118
Shqipërisë,7571,10,659.949609870496,119
Berisha,7570,7,659.862441780433,120
lek,7529,3,656.288550087831,121
videoja,7503,7,654.02217974618,122
dhuna,7468,5,650.971296593959,123
larta,7455,5,649.838111423134,124
paraqitje,7424,9,647.135900631167,125
njohur,7417,6,646.525724000722,126
emri,7407,4,645.654043100088,127
kësaj,7392,5,644.346521749136,128
djaloshi,7369,8,642.341655677676,129
tjetër,7328,6,638.767763985074,130
lolita,7255,6,632.404493410441,131
gete,7251,4,632.055821050187,132
shkolla,7172,7,625.169541935173,133
pak,7138,3,622.205826873016,134
kush,7073,4,616.53990101889,135
herë,7046,4,614.186362587177,136
lajme,7044,5,614.01202640705,137
pyetje,6885,6,600.152300086959,138
pasi,6868,4,598.67044255588,139
Shqipëri,6866,8,598.496106375753,140
foto,6811,4,593.701861422262,141
ndryshme,6765,8,589.692129279343,142
as,6742,2,587.687263207883,143
ligji,6684,5,582.631513984202,144
horoskopi,6575,9,573.130192167285,145
bërë,6537,4,569.817804744873,146
komentet,6530,8,569.207628114429,147
the,6462,3,563.280197990113,148
vend,6396,4,557.527104045924,149
pse,6384,3,556.481086965163,150
prifti,6341,6,552.732859092434,151
jetë,6331,4,551.861178191799,152
jeni,6300,4,549.158967399832,153
kreu,6278,4,547.241269418435,154
dite,6175,4,538.262956141898,155
vjen,6164,4,537.3041071512,156
kohë,6150,4,536.083753890312,157
tani,6107,4,532.335526017583,158
sport,6030,5,525.623583082696,159
kontakt,6014,7,524.228893641681,160
mire,5973,4,520.655001949078,161
gazeta,5961,6,519.608984868317,162
ashtu,5915,5,515.599252725397,163
kane,5885,4,512.984210023494,164
kështu,5861,6,510.89217586197,165
këtij,5843,5,509.323150240828,166
shtetit,5807,7,506.185098998543,167
kulture,5730,7,499.473156063656,169
muzika,5660,6,493.371389759214,170
ndalon,5655,6,492.935549308896,171
nivelet,5635,7,491.192187507627,172
peticionin,5478,10,477.506797367663,173
kam,5454,3,475.41476320614,174
gjithashtu,5432,10,473.497065224744,176
mes,5355,3,466.785122289857,177
ndër,5318,4,463.559902957509,178
del,5217,3,454.755925861099,179
kishin,5192,6,452.576723609512,180
historia,5143,8,448.305487196402,181
vjet,5141,4,448.131151016275,182
ora,5114,3,445.777612584562,183
reja,5098,4,444.382923143546,184
nën,5067,3,441.680712351579,185
italiane,5043,8,439.588678190056,186
shqiptarët,5016,10,437.235139758342,187
jemi,5006,4,436.363458857707,188
pasur,4946,5,431.1333734539,189
Gjergj,4928,6,429.564347832757,190
vet,4879,3,425.293111419647,191
lartë,4877,5,425.11877523952,192
Shqipëria,4871,9,424.59576669914,193
policia,4855,7,423.201077258124,194
dytë,4850,4,422.765236807807,195
moti,4849,4,422.678068717743,196
qeveria,4835,7,421.457715456855,197
mënyrë,4829,6,420.934706916474,198
komente,4824,7,420.498866466157,199
fund,4711,4,410.648872288985,200
marrë,4708,5,410.387368018795,201
vetë,4692,4,408.992678577779,202
drejtat,4688,7,408.644006217526,203
