word,count,length,per_million,rank
Word,Count,Len,perMillion,rank
في,1927655,2,39076.907183884500,1
من,1412687,2,28637.613462409100,2
على,669372,3,13569.330360199900,3
إلى,505070,3,10238.644109741900,4
أن,332418,2,6738.688889999780,5
التي,263891,4,5349.527853097400,6
و,258714,1,5244.581092141230,7
عام,246945,3,5006.003068248400,8
عن,238723,2,4839.328880768840,9
أو,222229,2,4504.966919167320,10
مع,193455,2,3921.668078187420,11
كان,177445,3,3597.117635284520,12
الذي,155457,4,3151.382773413880,13
هذه,150478,3,3050.449815561690,14
ما,150140,2,3043.597969858930,15
بن,150065,2,3042.077589895300,16
بعد,145195,3,2943.354250923590,17
هو,143407,2,2907.108392590650,18
هذا,142313,3,2884.931116854500,19
بين,133434,3,2704.938400893550,20
حيث,132148,3,2678.868952450500,21
ذلك,124168,3,2517.100524320260,22
كما,118582,3,2403.862624629090,23
وقد,116510,3,2361.859594167210,24
هي,115989,2,2351.298021353190,25
لا,108638,2,2202.280513184590,26
كانت,101494,4,2057.459253715620,27
وفي,98136,3,1989.386774810690,28
م,90493,1,1834.449920650360,29
وهو,87659,3,1776.999829757990,30
سنة,86131,3,1746.024621965630,31
قبل,83812,3,1699.014473490190,32
حتى,83328,3,1689.202954791560,33
تم,82210,2,1666.539157467050,34
ثم,81550,2,1653.159813787110,35
كل,81204,2,1646.145794221560,36
قد,77464,2,1570.329513368540,37
خلال,77195,4,1564.876417232320,38
مثل,74156,3,1503.270621106030,39
له,73978,2,1499.662252659010,40
لم,73047,2,1480.789269377150,41
الله,72123,4,1462.058188225230,42
بعض,70799,3,1435.218413933950,43
عبد,67574,3,1369.842075497850,44
وهي,65919,3,1336.292357633750,45
وكان,65714,4,1332.136652399830,46
ومن,63742,3,1292.160795222780,47
غير,61539,3,1247.502167757750,48
عدد,60459,3,1225.608696281480,49
مدينة,60254,5,1221.452991047560,50
محمد,59381,4,1203.755768270900,51
فيها,58987,4,1195.768705528630,52
أكثر,55664,4,1128.405737273400,53
أنه,55328,3,1121.594435036330,54
أي,53112,2,1076.672275044280,55
يمكن,52186,4,1057.900650426660,56
بها,51410,3,1042.169785736300,57
والتي,49623,5,1005.944199136210,58
منها,47601,4,964.954755316738,59
العالم,47285,6,958.548887736644,60
العربية,46624,7,945.149272323850,61
عند,46239,3,937.344655177216,62
