word,count,length,per_million,rank
və,244928,2,17382.9765806605,1.
bir,167938,3,11918.8590973795,2.
bu,131455,2,9329.59558078587,3.
tarix,99690,5,7075.17693087781,4.
qayıt,92415,5,6558.85721804668,5.
pm,90589,2,6429.26274442061,6.
də,62519,2,4437.08482838349,7.
o,59211,1,4202.31017408172,8.
da,59183,2,4200.32296419041,9.
ilə,58691,3,4165.40484752884,10.
ki,58302,2,4137.79682439601,11.
cümə,49960,4,3545.75022034964,12.
üçün,44200,4,3136.95275699468,13.
bütün,41599,5,2952.35515244845,14.
yeni,40962,4,2907.14612742118,15.
kimi,36072,4,2560.09411426045,16.
olan,35831,4,2542.98991483883,17.
səhifə,35353,6,2509.06540312291,18.
ildə,34748,4,2466.12747511428,19.
çox,33260,3,2360.52146374758,20.
sonra,31714,5,2250.7990890346,21.
şəkil,29788,5,2114.10743722528,22.
onun,27538,4,1954.42092810225,23.
heç,27184,3,1929.29691733356,24.
isə,26824,3,1903.74707587387,25.
son,26805,3,1902.39861201906,26.
mesaj,26673,5,1893.03033681717,27.
ya,26672,2,1892.95936503534,28.
əsas,25201,4,1788.55987395979,29.
hər,24101,3,1710.49091394409,30.
ertəsi,23998,6,1703.18082041535,31.
daha,22913,4,1626.17643712713,32.
var,22620,3,1605.38170505022,33.
sevgi,22105,5,1568.8312374065,34.
may,21702,3,1540.22960932802,35.
öz,21506,2,1526.31914008886,36.
görə,21189,4,1503.82108524797,37.
yazdı,20427,5,1449.74058749164,38.
fəal,20030,4,1421.56479010415,39.
səhifəsi,19509,8,1384.58849176944,40.
yan,19158,3,1359.67739634624,41.
edir,19113,4,1356.48366616378,42.
cəmi,18921,4,1342.85708405195,43.
böyük,18893,5,1340.86987416064,44.
cavab,18534,5,1315.39100448279,45.
axtar,18411,5,1306.6614753174,46.
Axat,18374,4,1304.0355193896,47.
göndərən,18165,8,1289.20241698661,48.
il,17470,2,1239.87702861305,49.
a,16724,1,1186.93207936604,50.
belə,16400,4,1163.93722205232,51.
m,16335,1,1159.32405623321,52.
get,16226,3,1151.58813201348,53.
göndər,16177,6,1148.11051470369,54.
idi,15926,3,1130.29659746374,55.
gün,15773,3,1119.43791484337,56.
ən,15651,2,1110.77935745981,57.
nə,15575,2,1105.38550204055,58.
qədər,15465,5,1097.57860603897,59.
şənbə,15123,5,1073.30625665227,60.
oyun,15015,4,1065.64130421437,61.
de,14561,2,1033.42011526243,62.
ne,14190,2,1007.08958420259,63.
yoxdur,14057,6,997.650337218873,64.
ilk,13909,3,987.146513507669,65.
edib,13739,4,975.081310596151,66.
olaraq,13663,6,969.687455176884,67.
l,13153,1,933.49184644233,68.
b,13096,1,929.44645487788,69.
ona,12975,3,920.858869276152,70.
onu,12925,3,917.310280184529,71.
mən,12895,3,915.181126729556,72.
olub,12837,4,911.064763383273,73.
sevdalısı,12776,9,906.735484691493,74.
saat,12502,4,887.289216469399,75.
giriş,12495,5,886.792413996572,76.
okt,12443,3,883.101881341284,77.
ana,12413,3,880.972727886311,78.
dövlət,12405,6,880.404953631651,79.
tərəfindən,12400,10,880.050094722489,80.
sayt,12321,4,874.443323957724,81.
t,12301,1,873.023888321075,82.
olur,12289,4,872.172226939086,83.
c,12247,1,869.191412102122,84.
s,12153,1,862.520064609871,85.
istifadə,12142,8,861.739375009714,86.
Allah,12082,5,857.481068099767,87.
r,12043,1,854.713168608301,88.
h,11961,1,848.893482498039,89.
baş,11887,3,843.641570642437,90.
qeydiyyatlı,11716,11,831.505395949087,91.
zaman,11619,5,824.621133111338,92.
amma,11514,4,817.16909601893,93.
digər,11468,5,813.904394054637,94.
bax,11452,3,812.768845545318,95.
az,11436,2,811.633297035998,96.
olsun,11265,5,799.497122342648,97.
f,11258,1,799.000319869821,98.
Elif,11175,4,793.109661977727,99.
en,11127,2,789.703016449769,100.
biri,10996,4,780.405713029716,101.
iki,10864,3,771.037437827832,102.
chat,10801,4,766.566215572387,103.
et,10750,2,762.946654698932,104.
edən,10668,4,757.12696858867,105.
həmin,10547,5,748.539382986943,106.
radio,10528,5,747.190919132126,107.
etmək,10434,5,740.519571639875,108.
müzakirə,10421,8,739.596938476053,109.
arasında,10321,8,732.499760292807,110.
vaxtlar,10265,7,728.525340510189,111.
haqqında,10186,8,722.918569745425,112.
Viddi,10170,5,721.783021236106,113.
heyəti,10057,6,713.763209889038,114.
forumda,9975,7,707.943523778776,115.
deyil,9935,5,705.104652505478,116.
dəfə,9880,4,701.201204504693,117.
u,9829,1,697.581643631237,118.
Fon,9826,3,697.36872828574,119.
axtarış,9777,7,693.891110975949,120.
sil,9718,3,689.703775847834,121.
dilimizdə,9698,9,688.284340211185,122.
məkanı,9681,6,687.077819920033,123.
başqa,9654,5,685.161581810557,124.
Ətraflı,9647,7,684.66477933773,125.
ölçüsünü,9634,8,683.742146173908,126.
Azəri,9628,5,683.316315482913,127.
Utbənin,9606,7,681.754936282599,128.
dəyişdir,9601,8,681.400077373436,129.
çərəzlərini,9597,11,681.116190246107,130.
phpBB,9597,5,681.116190246107,131.
qonaq,9504,5,674.515814535688,132.
lakin,9483,5,673.025407117206,133.
mesaja,9448,6,670.54139475307,134.
