word,count,length,per_million,rank
eta,217542,3,50067.39957,1
da,108908,2,25065.2304,2
zen,75835,3,17453.46299,3
zuen,53462,4,12304.30591,4
izan,49411,4,11371.96624,5
bat,48505,3,11163.44989,6
bere,37966,4,8737.893796,7
ere,36458,3,8390.826846,8
dira,30331,4,6980.694746,9
du,27596,2,6351.233135,10
ez,27503,2,6329.829139,11
a,25870,1,5953.993376,12
edo,24414,3,5618.894251,13
ziren,23384,5,5381.839238,14
zuten,23313,5,5365.498553,15
zituen,19344,6,4452.031228,16
egin,16993,4,3910.947408,17
k,16674,1,3837.529399,18
beste,16311,5,3753.984768,19
dago,15874,4,3653.409001,20
baina,14273,5,3284.938054,21
hau,14069,3,3237.987352,22
ditu,13562,4,3121.30105,23
den,12715,3,2926.363578,24
dute,12378,4,2848.802861,25
bi,12305,2,2832.001874,26
bezala,12049,6,2773.083347,27
de,10916,2,2512.322833,28
artean,10762,6,2476.879656,29
arabera,10626,7,2445.579189,30
lehen,10115,5,2327.972284,31
egiten,9720,6,2237.062838,32
ondoren,9670,7,2225.555313,33
izena,9062,5,2085.62381,34
biztanle,8947,8,2059.156503,35
euskal,8924,6,2053.863042,36
dagoen,8897,6,2047.648978,37
egun,8850,4,2036.831905,38
baino,8811,5,2027.856035,39
duen,8614,4,1982.516387,40
behar,8541,5,1965.715401,41
baten,8508,5,1958.120435,42
arte,8337,4,1918.764699,43
oso,7853,3,1807.371859,44
gaur,7375,4,1697.359921,45
urte,7204,4,1658.004186,46
hauek,7180,5,1652.480574,47
sortu,7054,5,1623.481611,48
bertan,7026,6,1617.037397,49
hartu,6803,5,1565.713836,50
batean,6778,6,1559.960073,51
batzuk,6596,6,1518.072683,52
daude,6592,5,1517.152081,53
hasi,6584,4,1515.310877,54
hainbat,6501,7,1496.208386,55
diren,6472,5,1489.534021,56
erabiltzen,6377,10,1467.669724,57
urtean,6339,6,1458.924005,58
udalerria,6295,9,1448.797383,59
eman,6197,4,1426.242634,60
batera,6087,6,1400.92608,61
honek,5997,5,1380.212535,62
zituzten,5957,8,1371.006515,63
honen,5835,5,1342.928154,64
hala,5833,4,1342.467853,65
hil,5821,3,1339.706047,66
azken,5791,5,1332.801532,67
bizi,5728,4,1318.302051,68
duten,5484,5,1262.145329,69
lortu,5446,5,1253.399611,70
hiru,5437,4,1251.328256,71
zion,5304,4,1220.71824,72
arteko,5298,6,1219.337337,73
dela,5258,4,1210.131317,74
baita,5072,5,1167.323324,75
bigarren,5016,8,1154.434897,76
dena,4941,4,1137.173609,77
zela,4912,4,1130.499245,78
erroldaren,4846,10,1115.309312,79
san,4838,3,1113.468108,80
i,4809,1,1106.793743,81
herri,4769,5,1097.587724,82
izeneko,4762,7,1095.97667,83
honetan,4751,7,1093.445015,84
handia,4593,6,1057.081236,85
hartzen,4519,7,1040.050099,86
estatu,4509,6,1037.748594,87
urtarrilaren,4495,12,1034.526487,88
batek,4482,5,1031.534531,89
hori,4463,4,1027.161671,90
nagusia,4361,7,1003.686321,91
izango,4357,6,1002.765719,92
Nafarroako,4257,10,979.7506688,93
nahi,4189,4,964.1004349,94
daiteke,4122,7,948.6803516,95
batez,4088,5,940.8552346,96
dituzte,4078,7,938.5537297,97
lan,4001,3,920.8321413,98
ematen,3963,6,912.0864224,99
zegoen,3955,6,910.2452185,100
joan,3941,4,907.0231115,101
ii,3923,2,902.8804025,102
la,3898,2,897.1266401,103
osatzen,3893,7,895.9758876,104
zehar,3892,5,895.7457371,105
gain,3795,4,873.4211388,106
gero,3753,4,863.7548179,107
asko,3752,4,863.5246674,108
historia,3739,8,860.5327109,109
ondorioz,3724,8,857.0804535,110
esan,3706,4,852.9377445,111
aurkitu,3703,7,852.247293,112
zenbait,3665,7,843.5015741,113
Espainiako,3660,10,842.3508216,114
alde,3642,4,838.2081127,115
egon,3638,4,837.2875107,116
arren,3602,5,829.0020928,117
talde,3585,5,825.0895343,118
bidez,3540,5,814.7327619,119
nahiz,3528,5,811.9709559,120
gerra,3506,5,806.907645,121
parte,3473,5,799.3126786,122
hamarkada,3414,9,785.7337992,123
bitartean,3346,9,770.0835653,124
garai,3313,5,762.4885989,125
km,3294,2,758.1157395,126
dituen,3292,6,757.6554385,127
agertzen,3288,8,756.7348365,128
lehenengo,3275,9,753.74288,129
gehiago,3261,7,750.520773,130
errege,3247,6,747.2986661,131
kilometro,3244,9,746.6082146,132
bihurtu,3243,7,746.3780641,133
zena,3186,4,733.2594857,134
berriz,3173,6,730.2675292,135
gabe,3171,4,729.8072282,136
aldiz,3154,5,725.8946698,137
duena,3142,5,723.1328638,138
hizkuntza,3141,9,722.9027133,139
lau,3131,3,720.6012083,140
inguruan,3121,8,718.2997034,141
mendean,3120,7,718.0695529,142
utzi,3110,4,715.7680479,143
dagoena,3090,7,711.1650379,144
aurrera,3079,7,708.6333825,145
euren,3071,5,706.7921785,146
gainera,3033,7,698.0464596,147
inguru,3033,6,698.0464596,148
urteko,3017,6,694.3640516,149
eskualdean,2992,10,688.6102892,150
guztiak,2947,7,678.2535168,151
bai,2928,3,673.8806573,152
azalera,2924,7,672.9600553,153
non,2909,3,669.5077978,154
erabili,2903,7,668.1268949,155
iparraldean,2872,11,660.9922294,156
aurka,2848,5,655.4686175,157
izen,2830,4,651.3259085,158
mende,2824,5,649.9450055,159
antzinako,2818,9,648.5641026,160
herriko,2817,7,648.3339521,161
egiteko,2809,7,646.4927481,162
hiri,2803,4,645.1118451,163
sistema,2782,7,640.2786846,164
izaten,2780,6,639.8183836,165
musika,2772,6,637.9771797,166
zati,2768,4,637.0565777,167
hegoaldean,2734,10,629.2314607,168
eraiki,2726,6,627.3902568,169
hiria,2724,5,626.9299558,170
herrian,2690,7,619.1048388,171
ari,2685,3,617.9540864,172
horrela,2678,7,616.3430329,173
bera,2674,4,615.4224309,174
batzuetan,2667,9,613.8113774,175
mundu,2632,5,605.75611,176
aita,2618,4,602.534003,177
beraz,2605,5,599.5420465,178
gutxi,2582,5,594.2485851,179
horretan,2576,8,592.8676821,180
daitezke,2572,8,591.9470801,181
milioi,2568,6,591.0264781,182
dauka,2558,5,588.7249731,183
bakarra,2557,7,588.4948226,184
ohi,2544,3,585.5028662,185
zuena,2535,5,583.4315117,186
hain,2526,4,581.3601572,187
hiriburua,2511,9,577.9078998,188
ezagutzen,2495,9,574.2254918,189
hasieran,2476,8,569.8526323,190
egungo,2470,6,568.4717293,191
berean,2457,6,565.4797729,192
iii,2439,3,561.3370639,193
sortzen,2391,7,550.28984,194
zein,2352,4,541.3139706,195
taldea,2335,6,537.4014122,196
adibidez,2303,8,530.0365962,197
munduko,2300,7,529.3461447,198
mendebaldean,2297,12,528.6556932,199
gisa,2290,4,527.0446398,200
