word,count,length,per_million,rank
на,990975,2,69996.695733569,1
и,582148,1,41119.540278923,2
в,526101,1,37160.7070028269,3
е,432430,1,30544.3337481443,4
от,387582,2,27376.5325319086,5
се,289350,2,20437.9968319162,6
за,231127,2,16325.4636038372,7
с,188996,1,13349.5754250729,8
да,162742,2,11495.1459492646,9
през,147775,4,10437.9643401985,10
са,115103,2,8130.20476704357,11
като,101885,4,7196.56231975043,12
по,90995,2,6427.35621814487,13
си,77768,2,5493.07806332975,14
до,67266,2,4751.27801933879,15
след,57792,4,4082.08990119269,16
година,56095,6,3962.22371621338,17
а,55256,1,3902.96164833027,18
не,54302,2,3835.57665099954,19
че,52999,2,3743.54032864949,20
му,52109,2,3680.67591814178,21
това,51457,4,3634.6224398822,22
при,43704,3,3086.99572677404,23
има,42408,3,2995.45384360776,24
които,41796,5,2952.22573211257,25
той,40464,3,2858.14101885833,26
или,39525,3,2791.81553406425,27
но,38656,2,2730.43444110784,28
към,38635,3,2728.95112355654,29
който,37404,5,2642.00046138239,30
във,29790,3,2104.19189778049,31
част,28615,4,2021.19674907649,32
време,28582,5,2018.86582149587,33
която,28289,5,1998.1700099467,34
което,28096,5,1984.53761530852,35
със,26035,3,1838.96059277325,36
село,25716,4,1816.42829282723,37
България,25588,8,1807.38711918117,38
години,25403,6,1794.31979789586,39
много,24918,5,1760.06222587762,40
около,23354,5,1649.59038538992,41
един,23334,4,1648.17770200772,42
град,22579,4,1594.84890432983,43
селото,22083,6,1559.81435645138,44
може,21579,4,1524.21473522005,45
този,20763,4,1466.57725322646,46
между,20745,5,1465.30583818249,47
намира,19789,6,1397.77957251353,48
век,19557,3,1381.39244528006,49
според,19320,6,1364.65214720104,50
други,19292,5,1362.67439046597,51
още,18104,3,1278.76099756355,52
както,17942,5,1267.31826216776,53
когато,17755,6,1254.10967254423,54
става,17580,5,1241.74869295002,55
така,17399,4,1228.96390834115,56
под,17376,3,1227.33932245162,57
една,17260,4,1219.14575883489,58
само,16959,4,1197.88487393284,59
също,16815,4,1187.71355358103,60
тя,16471,2,1163.41539940727,61
те,16151,2,1140.81246529214,62
го,16069,2,1135.02046342513,63
където,15991,6,1129.51099823457,64
война,15859,5,1120.18728791208,65
всички,15349,6,1084.16386166609,66
им,14942,2,1055.41575483841,67
името,14597,5,1031.04696649553,68
