word,count,length,per_million,rank
的,41767002,1,35205.5702220699,1
国,16328675,1,13763.5043651411,2
在,12862797,1,10842.1021704103,3
会,11812426,1,9956.7403242398,4
中,11140344,1,9390.2397636779,5
人,10272538,1,8658.7626738898,6
有,9686152,1,8164.4956087019,7
和,9230696,1,7780.5899553571,8
是,8450236,1,7122.7371524311,9
大,8249630,1,6953.6455662079,10
年,8168632,1,6885.3720335074,11
为,7678775,1,6472.4696419909,12
不,7232620,1,6096.4038381196,13
行,7230991,1,6095.0307476140,14
一,7083461,1,5970.6771304963,15
以,6791850,1,5724.8770719231,16
出,6048505,1,5098.3086484407,17
政,6035886,1,5087.6720437203,18
发,5944334,1,5010.5025029194,19
了,5765158,1,4859.4743479632,20
这,5644027,1,4757.3725517517,21
员,5627679,1,4743.5927582681,22
民,5614422,1,4732.4183808389,23
上,5322407,1,4486.2777890770,24
对,5309481,1,4475.3824128494,25
地,5293586,1,4461.9844548471,26
作,4960973,1,4181.6236492457,27
法,4860374,1,4096.8283565702,28
他,4820865,1,4063.5260651128,29
时,4791086,1,4038.4252289158,30
成,4772589,1,4022.8340348819,31
业,4743925,1,3998.6730365692,32
要,4655909,1,3924.4840040726,33
议,4646686,1,3916.7099011059,34
经,4631430,1,3903.8505587162,35
方,4557748,1,3841.7437111837,36
长,4493196,1,3787.3325765523,37
部,4486865,1,3781.9961517575,38
将,4474033,1,3771.1800084995,39
公,4466233,1,3764.6053578283,40
表,4449346,1,3750.3712391252,41
进,4441878,1,3744.0764325596,42
于,4394803,1,3704.3967299512,43
到,4344110,1,3661.6674009161,44
工,4315582,1,3637.6210375382,45
台,4305794,1,3629.3706938498,46
生,4187334,1,3529.5202940412,47
主,4151714,1,3499.4960559762,48
与,4123317,1,3475.5601130135,49
家,4073744,1,3433.7748363825,50
市,4058602,1,3421.0115850411,51
及,4006791,1,3377.3398894098,52
天,3960696,1,3338.4862326549,53
加,3893997,1,3282.2653832810,54
来,3884693,1,3274.4230050958,55
定,3849548,1,3244.7991463986,56
关,3834195,1,3231.8580423275,57
合,3815521,1,3216.1176542976,58
新,3774724,1,3181.7297025756,59
全,3760233,1,3169.5151816940,60
前,3754285,1,3164.5015891053,61
今,3718305,1,3134.1739056247,62
动,3652349,1,3078.5793338724,63
后,3618303,1,3049.8818265967,64
事,3509080,1,2957.8173304098,65
说,3490632,1,2942.2674386686,66
分,3408018,1,2872.6317732137,67
理,3391551,1,2858.7516741621,68
美,3371262,1,2841.6499962817,69
能,3349468,1,2823.2797479833,70
外,3295283,1,2777.6069984169,71
开,3273057,1,2758.8726156198,72
可,3249710,1,2739.1933375147,73
高,3246633,1,2736.5997221153,74
下,3159908,1,2663.4988785951,75
同,3150027,1,2655.1701448411,76
过,3131786,1,2639.7947342138,77
学,3120290,1,2630.1047106092,78
区,3111213,1,2622.4536716166,79
提,3109061,1,2620.6397423545,80
其,3106280,1,2618.2956265190,81
并,3079485,1,2595.7100156557,82
所,3031964,1,2555.6543778935,83
重,3026113,1,2550.7225469862,84
建,3025236,1,2549.9833202377,85
也,2989188,1,2519.5983192897,86
展,2984180,1,2515.3770563972,87
机,2950357,1,2486.8675166984,88
用,2942726,1,2480.4353167917,89
委,2933429,1,2472.5988389341,90
立,2925760,1,2466.1346086780,91
们,2900255,1,2444.6363438872,92
者,2883562,1,2430.5657485470,93
资,2880003,1,2427.5658534523,94
现,2869105,1,2418.3798863991,95
力,2846722,1,2399.5131676847,96
府,2826845,1,2382.7587662243,97
总,2805607,1,2364.8571725122,98
本,2795181,1,2356.0690561151,99
利,2784431,1,2347.0078388439,100
多,2761564,1,2327.7331546262,101
问,2729861,1,2301.0105712637,102
示,2722785,1,2295.0461830394,103
务,2710110,1,2284.3623756987,104
内,2709703,1,2284.0193137983,105
我,2707865,1,2282.4700563710,106
场,2706771,1,2281.5479194691,107
已,2660949,1,2242.9243754878,108
由,2656580,1,2239.2417282080,109
面,2605811,1,2196.4483384741,110
自,2597451,1,2189.4016616008,111
目,2583487,1,2177.6313510916,112
金,2573415,1,2169.1416226865,113
等,2571933,1,2167.8924390589,114
而,2559755,1,2157.6275549726,115
得,2557746,1,2155.9341609728,116
报,2545119,1,2145.2908130209,117
实,2523773,1,2127.2981856841,118
制,2512174,1,2117.5213429745,119
联,2492186,1,2100.6733791777,120
元,2473270,1,2084.7290083961,121
共,2469843,1,2081.8403766205,122
各,2468384,1,2080.6105797834,123
产,2456660,1,2070.7283740823,124
体,2404104,1,2026.4287150215,125
政府,2398644,2,2021.8264595517,126
应,2367681,1,1995.7276250989,127
