word,count,length,per_million,rank
je,575471,2,41570.47066,1
i,509822,1,36828.16422,2
u,478933,1,34596.8263,3
se,241080,2,17414.96803,4
na,216850,2,15664.65828,5
su,184728,2,13344.25176,6
od,135084,2,9758.103291,7
za,118068,2,8528.913412,8
a,102391,1,7396.449277,9
da,93355,2,6743.713043,10
s,79278,1,5726.828586,11
koji,72084,4,5207.153457,12
godine,70084,6,5062.67886,13
kao,70072,3,5061.812012,14
iz,60787,2,4391.088691,15
te,50927,2,3678.828924,16
do,50206,2,3626.745831,17
sa,45927,2,3317.642429,18
bio,43005,3,3106.565041,19
ili,40716,3,2941.213864,20
što,40267,3,2908.779317,21
nakon,35502,5,2564.568587,22
o,32699,1,2362.087438,23
po,32533,2,2350.096047,24
koja,32496,4,2347.423267,25
to,32322,2,2334.853977,26
koje,31707,4,2290.428038,27
nije,27388,4,1978.435144,28
ali,26372,3,1905.042048,29
ne,26073,2,1883.443096,30
bi,25648,2,1852.742243,31
kako,23551,4,1701.260628,32
ga,22908,2,1654.812044,33
prema,21081,5,1522.834499,34
bila,20880,4,1508.314802,35
oko,20334,3,1468.873237,36
zbog,19836,4,1432.899062,37
sve,18554,3,1340.290845,38
samo,18410,4,1329.888674,39
ima,18044,3,1303.449822,40
prvi,17352,4,1253.461611,41
će,17238,2,1245.226559,42
još,17026,3,1229.912252,43
više,16812,4,1214.45347,44
tako,16744,4,1209.541334,45
može,16221,4,1171.761226,46
mu,16180,2,1168.799497,47
pod,16011,3,1156.591393,48
godina,15965,6,1153.268478,49
uz,15599,2,1126.829626,50
vrijeme,15582,7,1125.601592,51
dok,15465,3,1117.149828,52
gdje,15304,4,1105.519623,53
kod,15237,3,1100.679724,54
bilo,15077,4,1089.121756,55
kada,15067,4,1088.399383,56
jedan,14416,5,1041.372902,57
između,14232,6,1028.081239,58
danas,14119,5,1019.918424,59
pa,13678,2,988.061775,60
no,13672,2,987.6283512,61
nalazi,13570,6,980.2601467,62
također,13220,7,954.9770921,63
grad,13110,4,947.0309892,64
bili,12863,4,929.1883764,65
dio,12861,3,929.0439018,66
tijekom,12700,7,917.4136967,67
dva,12219,3,882.6675559,68
jer,12022,3,868.436808,69
svoje,11916,5,860.7796543,70
kasnije,11837,7,855.0729077,71
ih,11763,2,849.7273475,72
prije,11630,5,840.1197868,73
toga,11509,4,831.3790736,74
biti,11340,4,819.1709701,75
ime,11202,3,809.2022228,76
on,11168,2,806.7461547,77
nekoliko,11055,8,798.5833399,78
tri,10490,3,757.769266,79
već,10423,3,752.9293669,80
stoljeća,10371,8,749.1730274,81
rata,10180,4,735.3757033,82
iako,10179,4,735.303466,83
vrlo,9453,4,682.859187,84
hrvatske,9221,8,666.1001336,85
tada,8964,4,647.5351478,86
dana,8939,4,645.7292153,87
koju,8937,4,645.5847407,88
dvije,8897,5,642.6952488,89
nisu,8713,4,629.4035857,90
grada,8711,5,629.2591111,91
protiv,8485,6,612.9334816,92
drugi,8438,5,609.5383285,93
kad,8410,3,607.5156842,94
broj,8406,4,607.226735,95
među,8274,4,597.6914115,96
mogu,8191,4,591.6957157,97
film,8129,4,587.2170032,98
često,8099,5,585.0498842,99
bez,7969,3,575.6590353,100
nego,7863,4,568.0018816,101
mjesto,7761,6,560.6336771,102
njegova,7689,7,555.4325916,103
strane,7677,6,554.565744,104
km,7669,2,553.9878456,105
kroz,7669,4,553.9878456,106
album,7626,5,550.8816418,107
povijest,7600,8,549.003472,108
njegov,7570,6,546.836353,109
hrvatski,7433,8,536.9398431,110
ljudi,7428,5,536.5786566,111
jedna,7394,5,534.1225884,112
im,7357,2,531.4498084,113
svojim,7160,6,517.2190605,114
kojima,7076,6,511.1511274,115
kojem,6950,5,502.0492277,116
preko,6916,5,499.5931595,117
stanovnika,6901,10,498.5096,118
imaju,6853,5,495.0422097,119
postao,6784,6,490.0578361,120
ovaj,6765,4,488.6853274,121
svoj,6759,4,488.2519036,122
imao,6723,4,485.6513608,123
području,6702,8,484.1343776,124
veliki,6589,6,475.9715628,125
osim,6510,4,470.2648162,126
svoju,6489,5,468.7478329,127
put,6486,3,468.531121,128
taj,6469,3,467.3030869,129
hrvatskoj,6422,9,463.9079339,130
klub,6410,4,463.0410863,131
ako,6391,3,461.6685776,132
druge,6327,5,457.0453905,133
kojoj,6298,5,454.9505088,134
puta,6292,4,454.517085,135
m,6222,1,449.4604741,136
ona,6144,3,443.8259647,137
zajedno,6099,7,440.5752863,138
jezik,5988,5,432.5569461,139
sam,5907,3,426.7057249,140
doba,5869,4,423.9607075,141
pri,5834,3,421.4324021,142
kojeg,5778,5,417.3871133,143
države,5765,6,416.4480284,144
radi,5741,4,414.7143333,145
poslije,5737,7,414.4253841,146
mora,5694,4,411.3191802,147
glavni,5639,6,407.3461288,148
tome,5636,4,407.1294169,149
oni,5618,3,405.8291455,150
odnosno,5617,7,405.7569082,151
ii,5596,2,404.2399249,152
neki,5563,4,401.8560941,153
tom,5551,3,400.9892465,154
način,5499,5,397.2329069,155
njih,5471,4,395.2102626,156
g,5457,1,394.1989404,157
koristi,5410,7,390.8037873,158
dolazi,5405,6,390.4426008,159
ipak,5387,4,389.1423294,160
naziv,5387,5,389.1423294,161
novi,5366,4,387.6253462,162
svih,5277,4,381.1962266,163
tek,5271,3,380.7628028,164
jezika,5261,6,380.0404298,165
četiri,5259,6,379.8959552,166
rijeke,5240,6,378.5234465,167
dobio,5222,5,377.2231751,168
vremena,5202,7,375.7784291,169
tu,5181,2,374.2614459,170
postoji,5165,7,373.1056491,171
čak,5111,3,369.2048349,172
postaje,5107,7,368.9158857,173
njegove,5083,7,367.1821906,174
