word,count,length,per_million,rank
a,919537,1,34540.0413216746,1
v,844162,1,31708.7733959454,2
se,580760,2,21814.7550321256,3
na,476300,2,17890.9839207271,4
je,415839,2,15619.9220294168,5
z,240775,1,9044.09333091131,6
s,215560,1,8096.95673724947,7
do,197956,2,7435.70777453589,8
byl,158626,3,5958.37752552855,9
ve,154550,2,5805.27307358464,10
i,152861,1,5741.83013459219,11
jako,136863,4,5140.90642944041,12
o,133827,1,5026.86690144686,13
k,127374,1,4784.47656082026,14
roce,127018,4,4771.10433685263,15
roku,118850,4,4464.29443413481,16
pro,115986,3,4356.71564356382,17
po,115816,2,4350.33003099501,18
od,114263,2,4291.9955820576,19
jeho,100114,4,3760.52480419834,20
jsou,97805,4,3673.79316054316,21
byla,97483,4,3661.6980590893,22
že,94852,2,3562.87131398027,23
za,90857,2,3412.80941861326,24
které,76192,5,2861.95642848632,25
který,73366,5,2755.8050101366,26
ale,71518,3,2686.38964527096,27
také,70708,4,2655.96407950193,28
nebo,70116,4,2633.72712279172,29
až,62271,2,2339.04988395464,30
u,61419,1,2307.04669625684,31
bylo,60505,4,2272.71463809278,32
to,55768,2,2094.78142198427,33
první,53559,5,2011.80602101663,34
mezi,52423,4,1969.13510408624,35
která,51421,5,1931.49755235714,36
při,50751,3,1906.33072635066,37
však,47950,4,1801.11836867282,38
tak,46678,3,1753.33896168738,39
ze,45937,2,1725.50520337275,40
má,44841,2,1684.33678351737,41
byly,44163,4,1658.86945809588,42
století,42826,7,1608.64849336355,43
kde,41879,3,1573.07687511259,44
letech,38347,6,1440.40638338887,45
zde,37770,3,1418.7328630818,46
si,37085,2,1393.00260067219,47
podle,36216,5,1360.36085171751,48
let,35550,3,1335.34427541853,49
jejich,34200,6,1284.63499913682,50
své,33437,3,1255.97486743093,51
již,32113,3,1206.24221424797,52
pod,31361,3,1177.99526923771,53
později,30566,7,1148.13313987181,54
pak,30170,3,1133.25841882917,55
být,29239,3,1098.28779940823,56
další,29156,5,1095.17011797757,57
či,28807,2,1082.06083099808,58
ke,27990,2,1051.37232824092,59
km,27669,2,1039.31478921393,60
aby,27033,3,1015.42508572121,61
než,26572,3,998.10880693168,62
když,26403,4,991.760756789747,63
jen,26140,3,981.881838521531,64
době,25761,4,967.645678735775,65
kdy,25427,3,955.09982815941,66
města,25023,5,939.92460770177,67
před,25009,4,939.398733725515,68
velmi,24410,5,916.898840027183,69
pouze,24323,5,913.630908889028,70
např,24009,4,901.83630685017,71
její,23506,4,882.942406131871,72
během,23493,5,882.454094582491,73
území,23253,5,873.439112132408,74
město,22712,5,853.117839192847,75
může,22696,4,852.516840362841,76
by,22604,2,849.061097090309,77
nad,22106,3,830.355008506387,78
nachází,21682,7,814.428539511241,79
stal,21662,4,813.677290973734,80
tento,21297,5,799.967005164233,81
této,21109,4,792.905268911668,82
části,20343,5,764.132449925153,83
mu,20322,2,763.343638960771,84
což,20237,3,760.150832676366,85
proti,20226,5,759.737645980738,86
například,19949,9,749.332853736267,87
tedy,19452,4,730.66432757922,88
část,19310,4,725.330462962921,89
ještě,19281,5,724.241152583536,90
poté,19223,4,722.062531824766,91
jak,18841,3,707.713684758384,92
obyvatel,18719,8,703.131068679592,93
především,18596,9,698.510890173925,94
více,18345,4,689.082721028213,95
přes,18224,4,684.537667376296,96
několik,18106,7,680.105301005005,97
proto,18079,5,679.091115479371,98
historie,18059,8,678.339866941864,99
není,18038,4,677.551055977482,100
často,18020,5,676.874932293726,101
tzv,18005,3,676.311495890595,102
ho,17769,2,667.446763148014,103
války,17702,5,664.930080547366,104
měl,17663,3,663.465145899227,105
asi,17063,3,640.92768977402,106
české,16935,5,636.119699133976,107
byli,16768,4,629.846773845793,108
oblasti,16718,7,627.968652502026,109
období,16417,6,616.662362012547,110
hlavní,16368,6,614.821803095655,111
svého,16297,5,612.154870787505,112
kteří,16064,5,603.40282532555,113
tato,16038,4,602.426202226791,114
už,15944,2,598.895334100508,115
mají,15776,4,592.58484638545,116
lze,15704,3,589.880351650425,117
dva,15645,3,587.66416846478,118
tohoto,15632,6,587.175856915401,119
protože,15618,7,586.649982939146,120
dále,15552,4,584.170862765373,121
co,15524,2,583.119114812863,122
patří,15439,5,579.926308528459,123
druhé,15207,5,571.211825493379,124
svou,15110,4,567.56827008647,125
díky,14821,4,556.712728719495,126
zejména,14795,7,555.736105620736,127
tím,14782,3,555.247794071357,128
velké,14476,5,543.753691447501,129
tyto,14424,4,541.800445249983,130
dnes,14356,4,539.24620022246,131
jeden,14215,5,533.949898033036,132
bez,13710,3,514.980872460987,133
místo,13702,5,514.680373045984,134
II,13637,2,512.238815299086,135
země,13620,4,511.600254042205,136
též,13511,3,507.505949512793,137
ji,13463,2,505.702953022776,138
tři,13374,3,502.35989703087,139
kolem,13324,5,500.481775687103,140
de,13292,2,499.279778027092,141
