word,count,length,per_million,rank
i,1090953,1,42221.3325216374,1
og,879358,2,34032.3245122036,2
af,578638,2,22394.0604294184,3
en,504230,2,19514.3718358034,4
er,454515,2,17590.3351941578,5
til,399216,3,15450.1903234677,6
at,391594,2,15155.2087830347,7
den,379018,3,14668.5008517195,8
som,335953,3,13001.8280573422,9
på,322054,2,12463.9182658863,10
for,294979,3,11416.0797448654,11
med,293113,3,11343.8630623086,12
det,289425,3,11201.1325557333,13
de,254678,2,9856.37742775865,14
der,253087,3,9794.80361106634,15
var,245139,3,9487.2054369177,16
blev,242173,4,9372.417290903,17
han,240750,3,9317.34529772063,18
et,199796,2,7732.37101185209,19
fra,184485,3,7139.81494184835,20
har,144360,3,5586.92405889491,21
ved,125457,3,4855.35281003587,22
om,94498,2,3657.19832167811,23
ikke,94481,4,3656.54039906103,24
men,93659,3,3624.72790545884,25
efter,87961,5,3404.20772474685,26
sig,83559,3,3233.84446825436,27
også,80674,4,3122.19113000338,28
eller,70069,5,2711.76352093868,29
havde,70007,5,2709.36403845287,30
hvor,69640,4,2695.16065019009,31
kan,68984,3,2669.77257743701,32
hans,62977,4,2437.29368562638,33
da,60625,2,2346.26815648728,34
sin,59476,3,2301.80032783897,35
man,57038,3,2207.44648428407,36
under,56705,5,2194.55894125544,37
år,52718,2,2040.25673688572,38
over,50598,4,1958.20991640319,39
første,49956,6,1933.36366227594,40
to,46856,2,1813.38953798545,41
hun,42188,3,1632.73172760223,42
så,42006,2,1625.68808546647,43
mod,41930,3,1622.74678435483,44
f,39951,1,1546.156851461,45
andre,37090,5,1435.43234514001,46
fik,36459,3,1411.01180564734,47
denne,36200,5,1400.98816106952,48
dette,35981,5,1392.51256970835,49
deres,35964,5,1391.85464709128,50
mange,35368,5,1368.78865416317,51
s,35062,1,1356.94604705579,52
a,35026,1,1355.5527991608,53
være,34547,4,1337.0148618914,54
mellem,33867,6,1310.69795720833,55
del,33662,3,1302.76418447299,56
ligger,32436,6,1255.31635338262,57
flere,31850,5,1232.63737375868,58
dansk,31606,5,1223.19424913711,59
dog,31353,3,1213.40281254179,60
senere,31112,6,1204.07579191146,61
kunne,30808,5,1192.31058746491,62
ud,30278,2,1171.79888234428,63
alle,29052,4,1124.35105125391,64
kun,28923,3,1119.35857963021,65
født,28710,4,1111.11519625154,66
meget,27586,5,1067.61490086364,67
ham,27389,3,1059.99073877163,68
været,26783,5,1036.53773253936,69
sammen,26519,6,1026.32058130946,70
siden,26033,5,1007.51173472715,71
store,25615,5,991.334578613142,72
mere,25557,4,989.089901448997,73
op,25305,2,979.337166184093,74
Danmark,25267,7,977.866515628274,75
byen,24508,4,948.492205842314,76
danske,24351,6,942.416096966957,77
bliver,24281,6,939.707003837817,78
blevet,24103,6,932.818167023719,79
kom,23890,3,924.57478364505,80
tidligere,23832,9,922.330106480905,81
have,23752,4,919.234000047603,82
omkring,23462,7,908.01061422688,83
