word,count,length,per_million,rank
de,7401983,2,73615.34387,1
van,3978234,3,39564.94684,2
in,3350030,2,33317.23545,3
het,3173358,3,31560.16981,4
een,2782777,3,27675.70336,5
en,2752829,2,27377.85988,6
is,1500669,2,14924.68498,7
op,1126357,2,11202.0195,8
zijn,966274,4,9609.937334,9
met,906015,3,9010.640226,10
hij,845340,3,8407.205851,11
te,755096,2,7509.697292,12
voor,732405,4,7284.027257,13
werd,711862,4,7079.719842,14
die,657660,3,6540.661745,15
door,627980,4,6245.483628,16
was,598430,3,5951.598407,17
als,592675,3,5894.362893,18
aan,584886,3,5816.898528,19
dat,574622,3,5714.81941,20
uit,513412,3,5106.06427,21
ook,468216,3,4656.574035,22
bij,430851,3,4284.965869,23
tot,423931,3,4216.144017,24
er,353407,2,3514.757847,25
wordt,346412,5,3445.190093,26
naar,342096,4,3402.265944,27
deze,340425,4,3385.647256,28
om,340020,2,3381.619388,29
of,318638,2,3168.967821,30
ze,314521,2,3128.022797,31
niet,298899,4,2972.656471,32
worden,285943,6,2843.80446,33
maar,277349,4,2758.334085,34
dit,252077,3,2506.99509,35
heeft,243870,5,2425.373567,36
plaats,240659,6,2393.439034,37
km,229513,2,2282.588114,38
inwoners,222660,8,2214.432601,39
zich,220952,4,2197.445936,40
onder,219944,5,2187.421018,41
na,207626,2,2064.914143,42
eerste,190031,6,1889.925634,43
gemeente,188523,8,1874.928039,44
over,187562,4,1865.370554,45
haar,180936,4,1799.472636,46
dan,177314,3,1763.450562,47
nog,171547,3,1706.095704,48
deel,168202,4,1672.828493,49
andere,166397,6,1654.877129,50
meer,162107,4,1612.211558,51
jaar,153181,4,1523.439326,52
werden,150632,6,1498.088617,53
twee,140451,4,1396.834965,54
kan,138804,3,1380.454966,55
had,130448,3,1297.351585,56
tussen,127794,6,1270.956614,57
hun,125784,3,1250.966452,58
aantal,124775,6,1240.93159,59
al,116243,2,1156.077826,60
waar,115219,4,1145.893783,61
waren,114571,5,1139.449194,62
veel,112474,4,1118.593786,63
telt,108574,4,1079.806904,64
hebben,108523,6,1079.299691,65
staat,107441,5,1068.538817,66
grote,106873,5,1062.889856,67
tijdens,103684,7,1031.174121,68
naam,103493,4,1029.274558,69
zij,102399,3,1018.394341,70
oppervlakte,100801,11,1002.501664,71
echter,100138,6,995.9078944,72
maakt,99897,5,993.511064,73
geen,98545,4,980.064945,74
later,98464,5,979.2593713,75
wel,97036,3,965.0574052,76
zou,96984,3,964.5402468,77
hem,95503,3,949.811177,78
tweede,95478,6,949.5625431,79
stad,95281,4,947.6033083,80
zoals,95234,5,947.1358767,81
jaren,93779,5,932.6653861,82
toen,93716,4,932.0388288,83
tegen,92273,5,917.6876824,84
men,91314,3,908.1500876,85
nieuwe,86865,6,863.9032061,86
kunnen,86783,6,863.087687,87
zo,86406,2,859.3382884,88
per,83707,3,832.495777,89
kwam,81911,4,814.6339206,90
ligt,81255,4,808.1097681,91
gebruikt,78747,8,783.1668194,92
bekend,77858,6,774.3253994,93
omdat,77063,5,766.4188427,94
tijd,76856,4,764.3601543,95
wat,76754,3,763.3457282,96
volgens,75911,7,754.9617945,97
Nederland,75226,9,748.1492267,98
Nederlandse,74484,11,740.7697738,99
regio,74459,5,740.5211399,100
ten,74058,3,736.5330529,101
Franse,73768,6,733.6489001,102
alle,73255,4,728.5469333,104
plaatsen,72457,8,720.6105405,105
geografie,72215,9,718.2037648,106
eeuw,71978,4,715.8467158,107
demografie,71538,10,711.4707599,108
drie,71128,4,707.3931646,109
weer,71022,4,706.338957,110
samen,70317,5,699.3274822,111
vanaf,69397,5,690.1777562,112
ongeveer,69017,8,686.3985215,113
Amerikaanse,68515,11,681.4059537,114
land,67772,4,674.0165554,115
rond,67729,4,673.5889051,116
komt,67018,4,666.5177582,117
verschillende,66808,13,664.4292338,118
sinds,63985,5,636.3534984,119
toont,63620,5,632.7234441,120
figuur,63376,6,630.2967776,121
enkele,62787,6,624.4389639,122
onderstaande,62636,12,622.9372154,123
vaak,62194,4,618.5413688,124
laatste,60843,7,605.105195,125
kreeg,60447,5,601.1668347,126
provincie,60184,9,598.5512065,127
vooral,59426,6,591.0126279,128
genoemd,58286,7,579.674924,129
volgende,57848,8,575.3188588,130
waarvan,56949,7,566.3779852,131
alleen,56432,6,561.236237,132
ging,56418,4,561.097002,133
water,55420,5,551.1715384,134
terug,55382,5,550.7936149,135
Duitse,55100,6,547.989025,136
maken,55038,5,547.372413,137
daar,54315,4,540.1819218,138
a,54132,1,538.361922,139
m,53536,1,532.4344908,140
nu,53305,2,530.1371139,141
bedraagt,52717,8,524.2892456,142
leven,52669,5,523.8118685,143
af,52639,2,523.5135079,144
eigen,51998,5,517.1385358,145
district,51255,8,509.7491375,146
club,50925,4,506.4671705,147
film,50542,4,502.6580998,148
verder,50288,6,500.1319798,149
gebied,50090,6,498.1627997,150
gezien,49687,6,494.1548219,151
mensen,49674,6,494.0255323,152
census,49651,6,493.7967891,153
departement,49185,11,489.162254,154
bestaat,48428,7,481.6336207,155
komen,48132,5,478.6897958,156
binnen,47740,6,474.7912169,157
werk,47673,4,474.1248782,158
der,47603,3,473.4287034,159
maakte,47499,6,472.3943865,160
kon,47161,3,469.0328568,161
hier,46894,4,466.3774471,162
United,46379,6,461.2555896,163
zelf,46236,4,459.833404,164
groot,45765,5,455.1491421,165
geschiedenis,45748,12,454.9800711,166
gaan,45705,4,454.5524208,167
s,45572,1,453.2296887,168
waarbij,45546,7,452.9711095,169
bureau,45486,6,452.3743882,170
speelde,45463,7,452.1456451,171
waarin,45166,6,449.1918748,172
steeds,44580,6,443.3638972,173
eerst,44444,5,442.011329,174
zeer,44357,4,441.1460831,175
meter,44301,5,440.5891433,176
gaat,44265,4,440.2311105,177
gemaakt,43262,7,430.2559201,178
januari,43153,7,429.1718765,179
mei,42783,3,425.4920954,180
gebruik,42758,7,425.2434615,181
seizoen,42627,7,423.9406201,182
zoon,42529,4,422.9659754,183
bron,42024,4,417.9435714,184
september,41878,9,416.4915497,185
juni,41523,4,412.9609489,186
oude,41465,4,412.3841183,187
groep,41334,5,411.0812769,188
dus,41152,3,409.2712224,189
familie,40995,7,407.7098018,190
koning,40927,6,407.0335177,191
vier,40726,4,405.0345015,192
moet,40703,4,404.8057583,193
elkaar,40669,6,404.4676163,194
periode,40564,7,403.4233541,195
album,40461,5,402.3989826,196
via,40217,3,399.9723161,197
begin,40185,5,399.6540648,198
kleine,39772,6,395.5466334,199
i,39629,1,394.1244478,200
