word,count,length,per_million,id,cls,pos
the,24983484,3,41506.1274578191,1,g,art
of,23334834,2,38767.1549016563,2,g,pp
and,19357013,3,32158.6312293619,3,g,con
in,18273139,2,30357.9451284075,4,g,pp
a,14378797,1,23888.1086790020,5,g,"art,sym"
to,14045710,2,23334.7370405011,6,g,pp
was,7767936,3,12905.2033615561,7,g,va
is,7431276,2,12345.8957457748,8,g,va
for,5623317,3,9342.25635374639,9,g,pp
as,5596850,2,9298.28559788920,10,g,"con,pp"
on,4966794,2,8251.54669463761,11,g,"pp,adj"
with,4740230,4,7875.14625899967,12,g,pp
by,4665205,2,7750.50402685451,13,g,"pp,adv"
that,3994587,4,6636.37774312612,14,g,"pn,con"
he,3973243,2,6600.91804565319,15,g,pn
from,3518319,4,5845.13340298202,16,g,pp
his,3418304,3,5678.974218070350,17,g,pn
at,3302593,2,5486.738598960070,18,g,pp
it,3274098,2,5439.398640213310,19,g,pn
an,263249,2,4373.46790669525,20,g,art
are,2444209,3,4060.66865163997,21,g,"va,nc"
were,2340472,4,3888.32594939349,22,g,va
which,2204184,5,3661.90488262108,23,g,"pn,con"
this,2055315,4,3414.58246399772,24,g,pn
or,1999606,2,3322.03072643591,25,g,con
be,1969602,2,3272.18380163373,26,g,va
also,1815667,4,3016.44502115702,27,g,adj
has,1792977,3,2978.74915648027,28,g,vt
had,1641068,3,2726.37625620784,29,g,vtp
one,1451128,3,2410.82083369998,30,g,"adj,nc,pn"
first,1436502,5,2386.52203613444,31,g,adj
their,1421371,5,2361.38426053179,32,g,pn
not,1396822,3,2320.59995987293,33,g,adv
but,1387667,3,2305.39036793305,34,g,"con,nc"
its,132499,3,2201.26239480194,35,g,pn
have,1294662,4,2150.87719498190,36,g,"va,vt,nc"
new,1275024,3,2118.25174806598,37,g,adj
they,1273247,4,2115.29954218098,38,g,pn
who,1261852,3,2096.36854271022,39,g,pn
after,1261796,5,2096.27550752195,40,g,pp
other,1098131,5,1824.37186308292,41,g,"adj,nc"
her,1091238,3,1812.92022821219,42,g,pn
been,1082473,4,1798.35855990493,43,g,va
two,1065412,3,1770.01439299219,44,g,nc
when,1015897,4,1687.75301179035,45,g,"adv,nc,con"
