word,count,length,per_million,rank
ja,210439,2,36348.72208,1
on,203036,2,35070.01619,2
oli,65118,3,11247.70639,3
ta,64349,2,11114.8785,4
ning,50911,4,8793.758713,5
ka,47650,2,8230.492481,6
aastal,39392,6,6804.104088,7
et,35394,2,6113.537269,8
mis,35248,3,6088.318971,9
kui,32357,3,5588.962124,10
ei,30866,2,5331.424573,11
eesti,27456,5,4742.421858,12
oma,25298,3,4369.674686,13
aastad,23847,6,4119.046258,14
või,22165,3,3828.517646,15
tema,21730,4,3753.380936,16
see,20388,3,3521.579868,17
aasta,18603,5,3213.260265,18
sai,15627,3,2699.221532,19
kuid,15610,4,2696.285155,20
selle,15449,5,2668.475936,21
kes,15154,3,2617.521155,22
mille,12717,5,2196.582852,23
seda,12490,4,2157.37358,24
aga,12351,3,2133.364378,25
i,11783,1,1719.621815,26
kus,11309,3,1953.381731,27
kuni,11226,4,1939.045301,28
pärast,11120,6,1920.736126,29
ehk,11064,3,1911.063354,30
nii,11055,3,1909.508801,31
olid,10795,4,1864.599503,32
välja,10549,5,1822.108398,33
nende,9402,5,1623.989303,34
üks,9314,3,1608.789233,35
üle,9240,3,1596.007356,36
nad,9191,3,1587.543681,37
mida,9152,4,1580.807286,38
siis,8957,4,1547.125313,39
ajal,8860,4,1530.37069,40
võib,8168,4,1410.842866,41
küla,8153,4,1408.251945,42
poolt,7879,5,1360.924454,43
näiteks,7822,7,1351.078955,44
alates,7716,6,1332.769779,45
järgi,7603,5,1313.251507,46
m,7527,1,1300.124174,47
aastast,7522,7,1299.260534,48
osa,7436,3,1284.40592,49
asub,7338,4,1267.478569,50
vastu,7212,5,1245.714833,51
km,7117,2,1038.6615,52
vallas,7110,6,1228.096569,53
a,6970,1,1203.91464,54
koos,6884,4,1189.060026,55
tartu,6781,5,1171.269035,56
hiljem,6740,6,1164.187184,57
vaid,6708,4,1158.659886,58
maakonnas,6707,9,1158.487158,59
umbes,6472,5,1117.896062,60
kohta,6456,5,1115.132412,61
nagu,6387,4,1103.214176,62
sündinud,6310,8,1089.914114,63
linn,6240,4,1077.82315,64
aastatel,6235,8,1076.959509,65
ole,6210,3,1072.641308,66
saksa,6196,5,1070.223115,67
sajand,6070,6,1048.459378,68
väga,6031,4,1041.722983,69
peale,5960,5,1029.45929,70
olnud,5936,5,1025.313817,71
juba,5930,4,1024.277448,72
sest,5849,4,1010.286475,73
samuti,5816,6,1004.586448,74
kõige,5808,5,1003.204624,75
kaks,5740,4,991.4591152,76
veel,5712,4,986.6227293,77
esimene,5685,7,981.9590714,78
keeles,5649,6,975.7408609,79
tallinna,5476,8,945.858905,80
all,5391,3,931.1770192,81
kõik,5386,4,930.3133788,82
vald,5367,4,927.0315455,83
teda,5367,4,927.0315455,84
vahel,5333,5,921.1587912,85
linna,5176,5,894.0404844,86
eest,5154,4,890.2404668,87
nime,5044,4,871.2403793,88
vene,5019,4,866.9221775,89
ainult,4896,6,845.6766251,90
Eestis,4863,6,839.9765988,91
saab,4826,4,833.5856603,92
