word,count,length,per_million,rank
ja,1232623,2,48154.6329471242,1
on,818446,2,31974.0640220424,2
oli,340072,3,13285.5239076298,3
hän,287791,3,11243.0726754943,4
vuonna,227407,6,8884.06318445029,5
myös,193389,4,7555.08887227595,6
joka,153297,4,5988.82283301163,7
ovat,122933,4,4802.59859834582,8
se,122675,2,4792.51936463011,9
ei,121072,2,4729.89528848173,10
mutta,108573,5,4241.59938843273,11
sekä,102813,4,4016.57463570993,12
että,100500,4,3926.21313344468,13
sen,100158,3,3912.85228875176,14
tai,94894,3,3707.20466751343,15
hänen,89551,5,3498.47076928462,16
n,83459,1,3260.47583984238,17
jälkeen,77487,7,3027.16892608187,18
kanssa,75447,6,2947.47265949254,19
kun,62736,3,2450.89459840582,20
s,61411,1,2399.13109192011,21
jonka,59414,5,2321.11469761674,22
vuoden,58501,6,2285.44671163828,23
mukaan,56476,6,2206.33644700917,24
jossa,54802,5,2140.93862824911,25
kuin,53427,4,2087.22178189601,26
kuitenkin,52547,9,2052.84300023003,27
noin,51641,4,2017.448481833,28
Suomen,51569,6,2014.63567242397,29
olivat,47665,6,1862.11889557851,30
sai,47065,3,1838.67881716989,31
eli,44925,3,1755.07587084579,32
ollut,44653,5,1744.44970196722,33
muun,43639,4,1704.83596945664,34
hänet,42898,5,1675.88747262199,35
muassa,42547,6,1662.17502675294,36
lisäksi,42093,7,1644.43870075708,37
vain,41462,4,1619.78755163068,38
tuli,41179,4,1608.73164798128,39
jotka,40019,5,1563.41416305794,40
voi,39597,3,1546.9279745772,41
aikana,38954,6,1521.80802388263,42
esimerkiksi,38499,11,1504.03263108942,43
ole,38319,3,1497.00060756683,44
myöhemmin,38262,9,1494.77380011801,45
jo,37070,2,1448.20617767954,46
kaksi,36739,5,1435.27506775745,47
vuosina,35775,7,1397.61467511426,48
kuten,35691,5,1394.33306413706,49
ennen,34892,5,1363.11869305624,50
voitti,34880,6,1362.64989148806,51
sitä,32745,4,1279.24227915071,52
yksi,32228,4,1259.04474492194,53
ensimmäinen,32049,11,1252.0517881967,54
tämän,32007,5,1250.4109827081,55
toimi,31303,5,1222.90795737531,56
vastaan,28410,7,1109.88771264839,57
Tämä,28072,4,1096.68313514487,58
koska,27847,5,1087.89310574163,59
eri,27495,3,1074.14159307524,60
Suomessa,26982,8,1054.10032603586,61
sillä,26723,5,1043.98202552281,62
osa,26722,3,1043.94295872546,63
ne,26565,2,1037.80947154187,64
niin,25724,4,1004.95429497245,65
voidaan,25191,7,984.131691986118,66
usein,25073,5,979.521809899089,67
jolloin,24884,7,972.138185200372,68
of,24784,2,968.231505465601,69
koko,24450,4,955.183195151467,70
ensimmäisen,24356,11,951.510916200782,71
he,23914,2,934.243391773095,72
hyvin,23769,5,928.578706157677,73
yli,23491,3,917.718136495015,74
mm,23157,2,904.66982618088,75
sijaitsee,22990,9,898.145671023813,76
vuotta,22807,6,890.996447109182,77
teki,22617,4,883.573755613117,78
siitä,22330,5,872.361584774325,79
olla,22161,4,865.759296022562,80
yleensä,22057,7,861.696349098401,81
vuodesta,21875,8,854.586191981118,82
kaikki,21866,6,854.234590804989,83
vielä,21719,5,848.491771594875,84
suomalainen,20700,11,808.682705097561,85
alkoi,20481,5,800.127076478413,86
kolme,20366,5,795.634394783426,87
eivät,20001,5,781.375013751513,88
jota,19909,4,777.780868395523,89
toinen,19778,6,772.663117942974,90
vaikka,19394,6,757.661467761454,91
suurin,18911,6,738.792204642511,92
syntyi,18313,6,715.430259828581,93
kautta,18147,6,708.945171468862,94
siirtyi,18137,7,708.554503495384,95
julkaistiin,18036,11,704.608756963266,96
jos,17696,3,691.326045865045,97
josta,17690,5,691.091645080959,98
olisi,17649,5,689.489906389703,99
käytetään,17649,9,689.489906389703,100
de,17420,2,680.543609797078,101
useita,17265,6,674.488256208183,102
aloitti,17258,7,674.214788626749,103
vuoksi,17118,6,668.74543699807,104
mukana,17087,6,667.534366280291,105
kuuluu,17075,6,667.065564712118,106
toisen,16554,6,646.711763293962,107
Helsingin,16449,9,642.609749572453,108
paljon,16396,6,640.539209313024,109
kaupungin,16349,9,638.703069837682,110
ajan,16315,4,637.37479872786,111
alueella,16294,8,636.554395983558,112
maan,16211,4,633.311851803698,113
yhtyeen,16105,7,629.170771284841,114
aina,15889,4,620.732343057736,115
pelasi,15727,6,614.403521887408,116
eikä,15727,4,614.403521887408,117
vaan,15685,4,612.762716398804,118
joista,15536,6,606.941763593995,119
nimi,15521,4,606.35576163378,120
niiden,15468,6,604.285221374351,121
a,15238,1,595.299857984378,122
kertaa,15120,6,590.689975897349,123
kauden,15003,6,586.119160607667,124
jopa,14957,4,584.322087929672,125
kaupunki,14949,8,584.009553550891,126
olevan,14939,6,583.618885577413,127
maaliskuuta,14865,11,580.727942573683,128
yhdessä,14802,7,578.266734340777,129
lopulta,14734,7,575.610192121133,130
asti,14657,4,572.60204872536,131
itse,14608,4,570.687775655322,132
kaudella,14590,8,569.984573303063,133
vuoteen,14566,7,569.046970166718,134
tammikuuta,14487,10,565.960693176249,135
helmikuuta,14485,10,565.882559581554,136
heidän,14346,6,560.452274750223,137
alussa,14299,6,558.61613527488,138
yhdysvaltalainen,14298,16,558.577068477533,139
lähes,14251,5,556.74092900219,140
nimellä,14184,7,554.123453579894,141
muita,14077,5,549.943306263689,142
tunnetaan,14060,9,549.279170708778,143
toukokuuta,13858,10,541.387677644541,144
kuoli,13848,5,540.997009671064,145
i,13837,1,540.567274900239,146
huhtikuuta,13830,10,540.293807318805,147
kesäkuuta,13779,9,538.301400654072,148
erityisesti,13779,11,538.301400654072,149
Saksan,13778,6,538.262333856724,150
samalla,13768,7,537.871665883247,151
kerran,13756,6,537.402864315075,152
toimii,13751,6,537.207530328336,153
tulee,13710,5,535.60579163708,154
heinäkuuta,13615,10,531.894445889048,155
mikä,13484,4,526.776695436498,156
lokakuuta,13457,9,525.72189190811,157
häntä,13393,5,523.221616877857,158
Yhdysvaltain,13312,12,520.057206292692,159
välillä,13295,7,519.393070737781,160
saa,13277,3,518.689868385522,161
elokuuta,13225,8,516.658394923442,162
syyskuuta,13205,9,515.877058976487,163
käyttää,13151,7,513.767451919711,164
joulukuuta,13151,10,513.767451919711,165
New,13146,3,513.572117932973,166
siihen,13092,6,511.462510876196,167
sodan,13013,5,508.376233885727,168
km,13002,2,507.946499114903,169
avulla,12958,6,506.227560031604,170
metrin,12877,6,503.063149446439,171
nykyään,12875,7,502.985015851744,172
uuden,12865,5,502.594347878267,173
kuitenkaan,12803,10,500.172206442709,174
suuri,12794,5,499.820605266579,175
lähtien,12642,7,493.882452069728,176
taas,12620,4,493.022982528078,177
marraskuuta,12614,11,492.788581743992,178
Venäjän,12523,7,489.23350318535,179
saanut,12501,6,488.374033643701,180
maailman,12482,8,487.631764494094,181
sitten,12455,6,486.576960965706,182
neljä,12411,5,484.858021882407,183
edelleen,12410,8,484.818955085059,184
yhtye,12406,5,484.662687895669,185
formula,12404,7,484.584554300973,186
näin,12229,4,477.747864765124,187
m,12166,1,475.286656532219,188
jolla,12092,5,472.395713528488,189
Euroopan,12081,8,471.965978757663,190
perustettiin,12069,12,471.497177189491,191
takaisin,12044,8,470.520507255798,192
jäi,11950,3,466.848228305114,193
nousi,11922,5,465.754357979378,194
Ranskan,11910,7,465.285556411205,195
entinen,11881,7,464.152619288122,196
vasta,11849,5,462.902481772995,197
yhden,11843,5,462.668080988909,198
albumi,11718,6,457.784731320445,199
siellä,11710,6,457.472196941664,200
,,,,
