word,count,length,per_million,rank,pos
de,13860072,2,65516.5982461383,1,PP
la,7794827,2,36846.1685449507,2,ART: DefSgFem
le,6121966,2,28938.5500232984,3,ART: DefSgMas
et,5495662,2,25978.0093025901,4,CON
en,4484908,2,21200.1723805541,5,PP
l',4220599,2,19950.7830147674,6,CNT
les,3976449,3,18796.6852971080,7,ART: DefPlMasFem
des,3613829,3,17082.5795654773,8,CNT: PosPlMasFem
est,3507068,3,16577.9200265257,9,NC: SgMas
du,3167347,2,14972.0579305152,10,CNT: PosSgMas
d',2929736,2,13848.8700837375,11,CNT: PP
un,2871194,2,13572.1418896469,12,ART: IndSgMas
il,2521306,2,11918.2203568335,13,PN: SgMas3rd
une,2486823,3,11755.2191215353,14,ADJ: num
dans,2088490,4,9872.2979412428,15,NC: PlMas
par,1836904,3,8683.0502312488,16,PP
au,1678219,2,7932.9458023043,17,CNT: SgMas
pour,1532617,4,7244.6847501371,18,PP
qui,1433294,3,6775.1846575256,19,CON
a,1323329,1,6255.3798018123,20,SYM: SgMas
que,1165641,3,5509.9881945943,21,PN:
sur,1130331,3,5343.0777280346,22,ADJ: SgMas
son,1068353,3,5050.1075525478,23,NC: SgMas
avec,933575,4,4413.0115779802,24,PP
plus,929659,4,4394.5006352714,25,ADV
se,897479,2,4242.3856872710,26,PN: SgRef
l,880238,1,4160.8874331233,27,SYM
sont,762995,4,3606.6794515073,28,VB: Pl3rdPreInd
ou,706314,2,3338.7482095059,29,CON
ce,698258,2,3300.6674754757,30,PN
elle,691529,4,3268.8594740744,31,PN: Sg3rdFem
sa,664644,2,3141.7740055540,32,PN: 3rdFemPos
d,597383,1,2823.8310746202,33,SYM: SgMas
s',559131,2,2643.0137660152,34,CNT
aux,557538,3,2635.4836506589,35,CNT
comme,547476,5,2587.9205491431,36,PP
ses,544254,3,2572.6901463321,37,PN: PlRef
qu',534976,3,2528.8330149602,38,CNT
été,529334,3,2502.1632655315,39,NC: SgMas
cette,514837,5,2433.6359068876,40,PN
pas,496019,3,2344.6831694274,41,ADV
mais,482651,4,2281.4925968708,42,CON
ne,460018,2,2174.5063439780,43,ADV
deux,446951,4,2112.7385992446,44,ADJ: num
on,444464,2,2100.9825434436,45,pm: SgPlMas
fut,390954,3,1848.0406271137,46,VB: Sg3rdPasInd
après,372035,5,1758.6104623773,47,PP
entre,363956,5,1720.4210072842,48,PP
était,360631,5,1704.7037231916,49,VBE: Sg3rdIndImi
fait,354378,4,1675.1457750919,50,ADJ: SgMas
ont,348476,3,1647.2470049522,51,VB: Pl3rdPreInd
même,334662,4,1581.9481891760,52,ADJ: SgFem
n',333601,2,1576.9328392746,53,CNT
lui,331285,3,1565.9851009412,54,PAT: SgMas
sous,330695,4,1563.1961693277,55,NC: PlMas
être,313634,4,1482.5487756723,56,NC: SgMas
leur,309077,4,1461.0078242106,57,ADJ: Sg3rdPos
aussi,291593,5,1378.3609083983,58,ADV
y,283249,1,1338.9187975806,59,SYM: SgMas
où,279052,2,1319.0795671034,60,ADV
dont,279021,4,1318.9330300186,61,CON
ainsi,274749,5,1298.7392743363,62,ADV
ces,272524,3,1288.2216932517,63,PN
alors,269600,5,1274.3999372557,64,ADV
c',261729,2,1237.1936987314,65,PN
autres,258480,6,1221.8356668466,66,NC: PlFemnas
ville,257598,5,1217.6664504347,67,NC: SgFem
ils,257215,3,1215.8560083873,68,PN: PlMas3rd
France,248933,6,1176.7069717391,69,NP: SgFem
nom,248773,3,1175.9506513016,70,NC: SgMas
peut,245670,4,1161.2827618160,71,ADJ: SgMas
saint,239723,5,1133.1712765532,72,ADJ: SgMas
également,233205,9,1102.3606727289,73,ADV
premier,230179,7,1088.0567624539,74,ADJ: SgMas
très,225218,4,1064.6061018874,75,ADV
depuis,221299,6,1046.0809781704,76,PP
ans,211938,3,1001.8315055716,77,NC: PlMas
années,209440,6,990.0234527404,78,NC: PlFem
première,205934,8,973.4505811528,79,ADJ: SgFem
partie,201297,6,951.5314694724,80,ADJ: SgFem
tout,200441,4,947.4851551315,81,ADJ: SgMas
s,199692,1,943.9446300833,82,SYM: SgMas
lors,198933,4,940.3568350077,83,ADV
puis,193350,4,913.9659787403,84,ADV
plusieurs,192485,9,909.8771213748,85,ADJ: PlMasFem
groupe,186530,6,881.7278200901,86,NC: SgMas
français,182940,8,864.7578802728,87,ADJ: PlMas
né,182430,2,862.3471088782,88,ADJ: SgMas
contre,181895,6,859.8181624151,89,NC: SgMas
avant,180837,5,854.8169935219,90,ADJ: SgPlMasFem
bien,179259,4,847.3577832066,91,ADV
trois,178459,5,843.5761810189,92,ADJ: num
nord,174389,4,824.3372798890,93,ADJ: SgPlMasFem
guerre,174151,6,823.2122532382,94,NC: SgFem
commune,171595,7,811.1300342485,95,ADJ: SgFem
grand,170904,5,807.8636753588,96,ADJ: SgMas
histoire,169704,8,802.1912720773,97,NC: SgFem
sud,168881,3,798.3009488267,98,ADJ: SgPlMasFem
avait,168823,5,798.0267826681,99,VB: Pl3rdImiInd
pays,168512,4,796.5566848176,100,NC: SgPlMas
sans,165102,4,780.4376054925,101,PP
vers,163813,4,774.3444989676,102,NC: PlMas
région,162374,6,767.5423420325,103,NC: SgFem
paris,159702,5,754.9117907255,104,NC: PlMas
jusqu',154659,6,731.0735159348,105,ADJ: SgMasFem
monde,152545,5,721.0806321538,106,NC: SgMas
jean,149980,4,708.9558701395,107,NC: SgMas
fois,149912,4,708.6344339535,108,NC: PlFem
fin,148201,3,700.5465322746,109,ADJ: SgMas
temps,147205,5,695.8384375509,110,NC: SgPlMas
si,146843,2,694.1272625610,111,CON
tous,145581,4,688.1617851099,112,ADJ: PlMas
avoir,144053,5,680.9389249313,113,NC: SgMas
grande,142851,6,675.2570676443,114,ADJ: SgFem
mort,141383,4,668.3178276299,115,ADJ: SgMas
française,138784,9,656.0323475226,116,ADJ: SgFem
autre,138626,5,655.2854810905,117,"ADJ,NC: Sg"
pendant,136118,7,643.4301582321,118,ADJ: SgMas
année,135990,5,642.8251018820,119,NC: SgFem
état,135966,4,642.7116538164,120,NC: SgMas
faire,135658,5,641.2557369741,121,NC: SgMas
encore,135233,6,639.2467608119,122,ADV
peu,134322,3,634.9404613207,123,ADV
famille,133129,7,629.3011470583,124,NC: SgFem
leurs,133066,5,629.0033458860,125,ADJ: Pl3rdPos
notamment,128922,9,609.4146465537,126,ADV
donc,127567,4,603.0095578483,127,ADV
quelques,127518,8,602.7779347143,128,ADJ: PlMasFem
états,124296,5,587.5475319033,129,NC: PlMas
vie,124129,3,586.7581224466,130,NC: SgFem
non,123307,3,582.8725261988,131,ADV
place,123254,5,582.6219950538,132,NC: SgFem
située,123077,6,581.7853155698,133,ADJ: SgFem
soit,122497,4,579.0436539837,134,CON
celui,122047,5,576.9165027531,135,PN
selon,121440,5,574.0472120932,136,PP
lieu,120817,4,571.1022893895,137,NC: SgMas
suite,120298,5,568.6489749703,138,NC: SgFem
c,119244,1,563.6667140880,139,NC: SgMas
n,117728,1,556.5005779423,140,SYM: SgMas
