word,count,length,per_million,rank
de,794347,2,74255.6644287523,1
a,502569,1,46980.2177339294,2
e,418058,1,39080.1180841059,3
o,406067,1,37959.1977908775,4
que,281935,3,26355.321730579,5
en,250098,2,23379.194687337,6
do,232569,2,21740.5814090448,7
da,204279,2,19096.0284030041,8
os,126821,2,11855.2441420674,9
un,125739,2,11754.0986364988,10
no,121472,2,11355.218902431,11
unha,109609,4,10246.2640664232,12
na,104923,2,9808.21615598469,13
as,86085,2,8047.23738158404,14
por,82008,3,7666.11887307828,15
dos,79496,3,7431.29677512232,16
como,78763,4,7362.77583650698,17
para,75950,4,7099.8162180555,18
ao,73230,2,6845.55025211592,19
con,71520,3,6685.69922205832,20
se,71199,2,6655.69209887207,21
foi,67940,3,6351.04034041726,22
máis,58868,4,5502.98855990113,23
seu,53188,3,4972.02139573319,24
ou,51619,2,4825.35106464525,25
das,48101,3,4496.48795134546,26
non,47713,3,4460.21765914526,27
entre,35323,5,3301.99879223666,28
tamén,32642,5,3051.37855154401,29
son,32630,3,3050.25678992957,30
ano,31395,3,2934.80882377686,31
polo,31266,4,2922.74988642164,32
co,26041,2,2434.31618346785,33
anos,23978,4,2241.46666591883,34
pola,22834,4,2134.52539200894,35
nos,22803,3,2131.62750783831,36
parte,22053,5,2061.51740693585,37
seus,21993,4,2055.90859886366,38
coa,21847,3,2042.26049922131,39
cidade,20980,6,1961.21322257807,40
sobre,20640,5,1929.42997683562,41
habitantes,20601,10,1925.78425158869,42
ser,20308,3,1898.39457216947,43
durante,20102,7,1879.13766445493,44
pero,19961,4,1865.95696548526,45
nas,19485,3,1821.46042144584,46
está,19330,4,1806.97100059266,47
cando,19020,5,1777.99215888632,48
ata,18337,3,1714.14522699781,49
onde,17997,4,1682.36198125536,50
era,17857,3,1669.27476242024,51
dun,17504,3,1636.27627492881,52
segundo,17225,7,1610.1953173931,53
ten,16808,3,1571.21410129133,54
concello,16415,8,1534.47640841845,55
este,16218,4,1516.06082191473,56
século,15997,6,1495.40171218214,57
aos,15509,3,1449.78340652828,58
esta,15485,4,1447.5398832994,59
xa,15398,2,1439.40711159471,60
primeiro,14924,8,1395.09752782436,61
nome,14831,4,1386.40387531246,62
dunha,14827,5,1386.02995477431,63
despois,13968,7,1305.73051920736,64
todo,13891,4,1298.53254884804,65
dous,13762,4,1286.47361149282,66
desde,13748,5,1285.16488960931,67
primeira,13538,8,1265.53406135662,68
mesmo,13516,5,1263.47749839682,69
lugar,13416,5,1254.12948494315,70
foron,13140,5,1228.32896781105,71
moi,13010,3,1216.17655032129,72
San,12936,3,1209.25902036558,73
nun,12930,3,1208.69813955836,74
illa,12865,4,1202.62193081348,75
guerra,12845,6,1200.75232812275,76
ás,12362,2,1155.60142314157,77
gran,11911,4,1113.44188246556,78
outros,11825,6,1105.40259089541,79
estado,11582,6,1082.68691820301,80
só,11553,2,1079.97599430145,81
forma,11398,5,1065.48657344828,82
norte,11175,5,1044.64050344661,83
maior,11002,5,1028.46844017178,84
pode,10800,4,1009.58545299538,85
polos,10695,5,999.77003886904,86
tres,10667,4,997.152595102015,87
tiña,10417,4,973.782561467862,88
nunha,10416,5,973.689081333326,89
eran,10286,4,961.536663843567,90
rei,9924,3,927.696855141314,91
homes,9817,5,917.694480745897,92
grupo,9735,5,910.029109713895,93
sen,9676,3,904.513781776235,94
país,9481,4,886.285155541596,95
tempo,9476,5,885.817754868913,96
contra,9438,6,882.265509756522,97
el,9434,2,881.891589218375,98
estados,9159,7,856.184552220808,99
goberno,9120,7,852.53882697388,100
nova,8989,4,840.292929349584,101
mulleres,8925,8,834.310200739241,102
baixo,8910,5,832.907998721192,103
vez,8811,3,823.653465402067,104
cos,8549,3,799.161670153476,105
mundo,8478,5,792.524580601376,106
cada,8412,4,786.35489172196,107
España,8399,6,785.139649972984,108
logo,8374,4,782.802646609569,109
ademais,8225,7,768.874106563614,110
la,8222,2,768.593666160004,111
coma,8171,4,763.826179298637,112
partido,8139,7,760.834814993466,113
novo,8118,4,758.871732168197,114
vida,7877,4,736.343019744874,115
galego,7865,6,735.221258130435,116
outras,7775,6,726.80804602214,117
grande,7745,6,724.003641986042,118
mais,7734,4,722.975360506139,119
cara,7703,4,720.077476335504,120
relación,7605,8,710.916423150916,121
sendo,7576,5,708.205499249354,122
cal,7476,3,698.857485795694,123
antes,7409,5,692.594316781741,124
rexión,7405,6,692.220396243594,125
sistema,7238,7,676.60921377598,126
capital,7182,7,671.37432624193,127
lle,7166,3,669.878644089345,128
tras,7152,4,668.569922205832,129
segunda,7149,7,668.289481802222,130
tanto,7090,5,662.774153864562,131
centro,6941,6,648.845613818607,132
banda,6815,5,637.067116866995,133
terra,6598,5,616.78192767255,134
número,6575,6,614.631884578208,135
reino,6565,5,613.697083232842,136
moitos,6532,6,610.612238793134,137
illas,6520,5,609.490477178695,138
unidos,6499,6,607.527394353426,139
todos,6489,5,606.59259300806,140
xunto,6487,5,606.405632738987,141
poder,6477,5,605.470831393621,142
grandes,6473,7,605.096910855474,143
obra,6452,4,603.133828030205,144
época,6416,5,599.768543186887,145
están,6386,5,596.964139150789,146
tivo,6378,4,596.216298074496,147
poden,6358,5,594.346695383764,148
supón,6201,5,579.670314261516,149
morte,6161,5,575.931108880052,150
comarca,6040,7,564.620012601122,151
nado,6007,4,561.535168161414,152
mentres,5986,7,559.572085336145,153
quen,5977,4,558.730764125316,154
deste,5858,5,547.606628115459,155
igrexa,5845,6,546.391386366483,156
teñen,5842,5,546.110945962873,157
Europa,5819,6,543.960902868531,158
importante,5812,10,543.306541926775,159
mar,5801,3,542.278260446872,160
debido,5794,6,541.623899505116,161
contaba,5774,7,539.754296814384,162
estaba,5763,6,538.726015334481,163
política,5740,8,536.575972240139,164
catro,5695,5,532.369366185992,165
zona,5689,4,531.808485378772,166
ben,5675,3,530.49976349526,167
isto,5645,4,527.695359459161,168
pouco,5634,5,526.667077979259,169
estes,5609,5,524.330074615843,170
Nacional,5579,8,521.525670579745,171
orixe,5568,5,520.497389099842,172
xeral,5567,5,520.403908965306,173
principal,5566,9,520.310428830769,174
