word,count,length,per_million,rank
და,168720,2,38882.4655797306,1
წელს,29509,4,6800.513731580550,2
იყო,27349,3,6302.729677217000,3
წლის,24987,4,5758.393595547230,4
რომელიც,19614,7,4520.155760317900,5
ამ,18673,2,4303.297058856740,6
მისი,18142,4,4180.925145492370,7
შემდეგ,18122,6,4176.316033877890,8
რომ,17621,3,4060.857787935240,9
არის,15470,4,3565.147833798200,10
არ,14007,2,3227.991319199190,11
იგი,13778,3,3175.216991213420,12
ეს,13386,2,3084.878403569660,13
კი,12728,2,2933.238631453360,14
როგორც,10655,6,2455.504212612790,15
სხვა,10504,4,2420.705419923480,16
დიდი,10270,4,2366.778814034100,17
მას,10009,3,2306.629907465170,18
საქართველოს,9656,11,2225.279087469650,19
პირველი,9174,7,2114.199497560740,20
ის,8971,2,2067.417014673800,21
ან,8908,2,2052.898313088190,22
ხოლო,8619,4,1986.296650259000,23
მაგრამ,8578,6,1976.847971449320,24
შორის,8461,5,1949.884668504630,25
ასევე,8360,5,1926.608654851520,26
მათ,8089,3,1864.155192475350,27
წლებში,7748,6,1785.569839448510,28
დროს,7668,4,1767.133392990600,29
წ,7624,1,1756.993347438750,30
მიერ,7512,4,1731.182322397680,31
მის,7082,3,1632.086422686420,32
ყველაზე,6823,7,1572.398427278930,33
მან,6778,3,1562.027926146360,34
მდებარეობს,6335,10,1459.936103885690,35
სადაც,6231,5,1435.968723490410,36
თუმცა,6165,5,1420.758655162630,37
მხოლოდ,6161,6,1419.836832839740,38
ერთად,6049,5,1394.025807798660,39
მეორე,6027,5,1388.955785022740,40
აქვს,6021,4,1387.573051538390,41
ახალი,5762,5,1327.885056130910,42
უფრო,5414,4,1247.686514039010,43
გახდა,5389,5,1241.925124520910,44
რაც,5379,3,1239.620568713670,45
ერთი,5368,4,1237.085557325710,46
უნდა,5074,4,1169.331616592890,47
საუკუნის,5063,8,1166.796605204930,48
თუ,5008,2,1154.121548265120,49
მდინარე,4848,7,1117.248655349300,50
ქართული,4783,7,1102.269042602250,51
ყველა,4720,5,1087.750341016650,52
ზღვის,4673,5,1076.918928722620,53
თავისი,4664,6,1074.844828496110,54
რომლის,4661,6,1074.153461753940,55
რომელსაც,4642,8,1069.774805720180,56
რომლებიც,4607,8,1061.708860394850,57
საქართველოში,4584,12,1056.408382038200,58
მათი,4536,4,1045.346514163450,59
ქალაქი,4517,6,1040.967858129700,60
ორი,4515,3,1040.506946968250,61
ორი,4515,3,1040.506946968250,62
თავის,4499,5,1036.819657676670,63
იმ,4438,2,1022.761867252520,64
სხვადასხვა,4251,10,979.666673657153,65
სახელმწიფო,4251,10,979.666673657153,66
დაიწყო,4249,6,979.205762495705,67
წლიდან,4226,6,973.905284139056,68
რამდენიმე,4179,9,963.073871845034,69
მ,4152,1,956.851571165490,70
იქნა,4145,4,955.238382100423,71
გამო,4110,4,947.172436775088,72
აქ,3911,2,901.311776211038,73
მსოფლიო,3784,7,872.043917459107,74
მიხედვით,3784,8,872.043917459107,75
ცნობილი,3730,7,859.599316100019,76
სამხრეთ,3608,7,831.483735251707,77
შესახებ,3526,7,812.586377632350,78
მიიღო,3521,5,811.434099728731,79
ისინი,3514,5,809.820910663664,80
შეიძლება,3511,8,809.129543921492,81
სახელი,3508,6,808.438177179321,82
კმ,3484,2,802.907243241948,83
მთავარი,3438,7,792.306286528650,84
რუსეთის,3362,7,774.791662393636,85
აგრეთვე,3355,7,773.178473328569,86
როდესაც,3319,7,764.882072422510,87
ძვ,3294,2,759.120682904413,88
სამხედრო,3266,8,752.667926644145,89
ალბომი,3232,6,744.832436899534,90
ძველი,3206,5,738.840591800713,91
მეფე,3142,4,724.091434634386,92
სოფელი,3130,6,721.325967665699,93
თბილისის,3099,8,714.181844663259,94
უკვე,3065,4,706.346354918648,95
ხშირად,3035,6,699.432687496932,96
ტიპის,3009,5,693.440842398112,97
მიუხედავად,3006,10,692.749475655940,98
კიდევ,2998,5,690.905831010149,99
მცირე,2985,5,687.909908460739,100
წინააღმდეგ,2978,10,686.296719395672,101
საბჭოთა,2966,7,683.531252426985,102
ჯგუფის,2943,6,678.230774070336,103
დონიდან,2923,7,673.621662455859,104
ქალაქის,2895,7,667.168906195591,105
ომის,2880,4,663.712072484733,106
პერიოდში,2813,8,648.271548576234,107
წმინდა,2799,6,645.045170446100,108
ვერ,2755,3,634.905124894250,109
ქვეყნის,2733,7,629.835102118325,110
ერთ,2719,3,626.608723988190,111
საკუთარი,2717,8,626.147812826743,112
მთელი,2712,5,624.995534923124,113
ეროვნული,2711,8,624.765079342400,114
ჰქონდა,2693,6,620.616878889370,115
ამის,2669,4,615.085944951997,116
ჩრდილოეთ,2664,8,613.933667048378,117
ა,2642,1,608.863644272453,118
რომელმაც,2642,8,608.863644272453,119
მუნიციპალიტეტში,2641,15,608.633188691729,120
შუა,2606,3,600.567243366394,121
საერთაშორისო,2597,12,598.493143139879,122
განმავლობაში,2578,12,594.114487106125,123
ქართველი,2571,8,592.501298041058,124
დასავლეთ,2548,8,587.200819684410,125
ადამიანი,2544,8,586.278997361514,126
იყვნენ,2528,6,582.591708069932,127
ისტორია,2523,7,581.439430166313,128
მოსახლეობა,2514,10,579.365329939798,129
გარდა,2470,5,569.225284387948,130
შედეგად,2469,7,568.994828807224,131
პირველ,2466,6,568.303462065052,132
არიან,2458,5,566.459817419262,133
გიორგი,2444,6,563.233439289128,134
ადგილი,2421,6,557.932960932479,135
მნიშვნელოვანი,2419,13,557.472049771031,136
ს,2404,1,554.015216060173,137
პოლიტიკური,2375,10,547.332004219181,138
არა,2366,3,545.257903992666,139
წარმოადგენს,2337,11,538.574692151674,140
გამოვიდა,2328,8,536.500591925159,141
პირველად,2291,8,527.973735438376,142
თანამედროვე,2283,11,526.130090792585,143
ჯერ,2265,3,521.981890339556,144
მრავალი,2259,7,520.599156855212,145
აღმოსავლეთ,2256,10,519.907790113041,146
ანუ,2255,3,519.677334532317,147
საუკეთესო,2245,9,517.372778725078,148
ცხოვრობს,2242,8,516.681411982907,149
დიდ,2242,3,516.681411982907,150
სამეფო,2237,6,515.529134079287,151
კლასის,2234,6,514.837767337116,152
სამი,2233,4,514.607311756392,153
ქალაქ,2230,5,513.915945014220,154
ძირითადად,2228,9,513.455033852773,155
საუკუნეში,2215,9,510.459111303362,156
მონაცემებით,2214,11,510.228655722638,157
სიმღერა,2210,7,509.306833399743,158
სწორედ,2191,6,504.928177365989,159
როცა,2190,4,504.697721785266,160
ამავე,2186,5,503.775899462370,161
ცენტრი,2148,6,495.018587394863,162
მეფის,2137,5,492.483576006901,163
დღე,2131,3,491.100842522558,164
მეტრი,2114,5,487.183097650252,165
განსაკუთრებით,2100,13,483.956719520118,166
ეკლესია,2025,7,466.672550965828,167
მოგვიანებით,2024,11,466.442095385104,168
სოფელში,2022,7,465.981184223656,169
ტერიტორიაზე,2020,11,465.520273062209,170
შეადგენს,2017,8,464.828906320037,171
ცნობილია,2014,8,464.137539577865,172
დაახლოებით,2010,10,463.215717254970,173
დაიბადა,2005,7,462.063439351351,174
ბოლო,1991,4,458.837061221216,175
ძე,1988,2,458.145694479045,176
რომის,1983,5,456.993416575425,177
ქართლის,1940,7,447.083826604299,178
რომელშიც,1933,8,445.470637539232,179
ძირითადი,1914,8,441.091981505479,180
