word,count,length,per_million,rank
der,12752489,3,44624.0071171722,1
die,10240464,3,35833.8312167253,2
und,9094346,3,31823.2903890391,3
in,7227253,2,25289.885708555,4
von,4613374,3,16143.298316915,5
den,3636721,3,12725.7560298362,6
im,3482341,2,12185.5435098529,7
des,3186559,3,11150.5315938943,8
das,3022073,3,10574.9557643699,9
mit,2979029,3,10424.3345199719,10
er,2652478,2,9281.65451859184,11
ist,2612320,3,9141.132078007,12
dem,2374489,3,8308.90456252479,13
als,2350954,3,8226.54997217755,14
zu,2268546,2,7938.18468297699,15
wurde,2259552,5,7906.7125272267,16
ein,2159919,3,7558.0728458982,17
eine,2137114,4,7478.27270003592,18
auf,2102379,3,7356.7266326592,19
für,1961910,4,6865.19202668996,20
sich,1884851,4,6595.54416701,21
an,1666696,2,5832.16767849496,22
nach,1613759,4,5646.92846246727,23
war,1561688,3,5464.71958743132,24
auch,1546381,4,5411.15673574468,25
aus,1360983,3,4762.40481982383,26
sie,1302153,3,4556.54458824839,27
bei,1296297,3,4536.0530445444,28
am,1251168,2,4378.1358867887,29
bis,1195282,3,4182.57741488958,30
es,1115337,2,3902.83075139649,31
einer,1057977,5,3702.11440118118,32
durch,1017942,5,3562.02236699585,33
zum,1007687,3,3526.13767084072,34
werden,949030,6,3320.88280761583,35
wird,920975,4,3222.71165689598,36
sind,915652,4,3204.08520758991,37
nicht,858984,5,3005.79033077677,38
einem,796700,5,2787.84372762455,39
oder,794705,4,2780.86274577868,40
zur,766990,3,2683.88133632579,41
über,736135,5,2575.91231634856,42
um,712479,2,2493.13431807985,43
einen,708355,5,2478.70345635935,44
wurden,615618,6,2154.19452731614,45
dass,612013,4,2141.57977064728,46
unter,596805,5,2088.36334362366,47
wie,584780,3,2046.28499440227,48
vor,535117,3,1872.50228692766,49
seine,523684,5,1832.4954872064,50
nur,521315,3,1824.20578996686,51
noch,488093,4,1707.95407122813,52
diese,469322,5,1642.26985557451,53
Jahr,457430,4,1600.65690514284,54
aber,456799,4,1598.44888532091,55
vom,456590,3,1597.71754436563,56
seit,455862,4,1595.17009835871,57
so,452645,2,1583.91304642979,58
sein,443475,4,1551.8250246119,59
seiner,438332,6,1533.82843832952,60
dieser,435002,6,1522.17597239128,61
Jahre,434741,5,1521.26267100694,62
hat,433282,3,1516.15728127604,63
ab,402452,2,1408.27574227433,64
zwischen,398920,8,1395.91643005396,65
eines,391111,5,1368.59087254295,66
sowie,390418,5,1366.16589990175,67
hatte,379448,5,1327.77924784697,68
zwei,377811,4,1322.05099357043,69
waren,368949,5,1291.04073737084,70
man,345515,3,1209.03957016468,71
jedoch,339541,6,1188.13511625627,72
Jahren,331915,6,1161.44991948601,73
Stadt,323222,5,1131.03103468089,74
ersten,320602,6,1121.8630284472,75
Zeit,319843,4,1119.20710603065,76
heute,301254,5,1054.15975187876,77
gegen,300921,5,1052.99450528494,78
kann,295429,4,1033.7766845844,79
da,294434,2,1030.29494175902,80
während,290271,8,1015.72760971671,81
etwa,283939,4,993.570428238971,82
wieder,275979,6,965.716485635869,83
später,274883,7,961.881319669411,84
ihre,266432,4,932.309250707249,85
mehr,256262,4,896.721989868863,86
drei,251638,4,880.541508638117,87
seinen,248535,6,869.683369957535,88
Teil,246655,4,863.104800599014,89
beim,244751,4,856.442249504,90
bereits,241153,7,843.851987508277,91
dort,237429,4,830.820821395971,92
seinem,236863,6,828.840252110374,93
liegt,236767,5,828.504325164407,94
deutschen,233966,9,818.702956668013,95
erste,233225,5,816.11002055383,96
Geschichte,230994,10,808.303218299116,97
de,228608,2,799.954033996227,98
dann,225875,4,790.390613753227,99
Leben,224178,5,784.452405135455,100
haben,222883,5,779.92089060392,101
konnte,212756,6,744.484097043416,102
ihm,212652,3,744.120176185285,103
können,207775,7,727.054387482354,104
anderen,206933,7,724.108028227101,105
Ende,203600,4,712.445064571808,106
gibt,201089,4,703.658475391357,107
dabei,199046,5,696.509530072495,108
wo,195080,2,682.631548117231,110
a,194828,1,681.749739884067,111
ihr,194520,3,680.671974265756,112
damit,194102,5,679.209292355192,113
alle,192744,4,674.457325765366,114
sehr,191864,4,671.377995427334,115
hier,190607,4,666.979451978578,116
ihrer,190529,5,666.70651133498,117
m,186845,1,653.815314783494,118
Deutschland,182367,11,638.145722449739,119
kam,181977,3,636.781019231748,120
km,180468,2,631.500667549828,121
b,178627,1,625.058568513105,122
neben,177639,5,621.601320360861,123
Gemeinde,176495,8,617.59819092142,124
diesem,175073,6,612.622273034283,125
Jahrhundert,174618,11,611.03011927996,126
weitere,172360,7,603.128837571693,127
ihn,171821,3,601.242747739649,128
allem,164970,5,577.269461210271,129
beiden,161164,6,563.951357498285,130
zusammen,160654,8,562.166745597835,131
zweiten,160432,7,561.389914535286,132
Mai,158195,3,553.562116846449,133
dieses,156983,6,549.321039153615,134
dessen,156844,6,548.834644929767,135
Januar,156456,6,547.476940189817,136
dies,156228,4,546.679113693145,137
schon,154639,5,541.118822889586,138
keine,154493,5,540.607933992595,139
August,154480,6,540.562443885328,140
erst,154277,4,539.852098364169,141
Oktober,153849,7,538.354424063399,142
vier,152699,4,534.330299189835,143
gab,151142,3,528.881984034932,144
einige,148315,6,518.989635324006,145
zunächst,148145,9,518.394764690523,146
März,148111,5,518.275790563826,147
Juni,147937,4,517.666922974261,148
zurück,147538,7,516.270726605085,149
ihren,147022,5,514.465119270512,150
erhielt,146403,7,512.299090316829,151
Namen,146140,5,511.37879045444,152
Kirche,146105,6,511.256317088723,153
September,145500,9,509.139277481326,154
April,145475,5,509.051796505814,155
bekannt,145010,7,507.424650361286,156
deren,144462,5,505.507067378057,157
Dezember,143274,8,501.349971421715,158
selbst,141192,6,494.064555781054,159
Juli,140901,4,493.046277226092,160
was,140022,3,489.970446127081,161
wenn,139148,4,486.912111223172,162
immer,138674,5,485.25347192746,163
allerdings,138530,10,484.749581508509,164
bzw,138266,3,483.8257824071,165
November,137925,8,482.632541901113,166
z,135409,1,473.828456525559,167
Berlin,134923,6,472.127826361601,168
ebenfalls,134780,9,471.627435181671,169
großen,134749,7,471.518958772036,170
viele,133607,5,467.522827810636,171
bezeichnet,132298,10,462.942323932814,172
neue,132164,4,462.473425904069,173
deutsche,131438,8,459.932978375193,174
befindet,129753,8,454.036760625667,175
neuen,129297,5,452.441107632323,176
ohne,128832,4,450.813961487795,177
Mitglied,127868,8,447.440695072043,178
begann,127127,6,444.847758957859,179
Universität,126999,12,444.399856363237,180
andere,126394,6,442.28281675584,181
Ort,125987,3,440.858626474501,182
wegen,122076,5,427.173102665363,183
Nachdem,121970,7,426.802183329191,184
denen,121833,5,426.322787583384,185
sondern,121610,7,425.542457281815,186
worden,121005,6,423.425417674418,187
Familie,120612,7,422.050216739366,188
Februar,118702,7,415.366670210229,189
große,118148,6,413.428091792878,190
i,117557,1,411.360041531768,191
Sohn,116938,4,409.194012578085,192
anderem,116761,7,408.574647271458,193
Name,115957,4,405.761259098984,194
außerdem,115934,9,405.680776601512,195
Menschen,114178,8,399.536112881532,196
Jahrhunderts,113905,12,398.580820628938,197
aufgrund,113627,8,397.608032181242,198
deutscher,113003,9,395.424507032456,199
Platz,112677,5,394.283755111776,200
