word,count,length,per_million,rank
και,608013,3,37076.8798277425,1
του,586893,3,35788.9736448782,2
το,493746,2,30108.8317312764,3
της,401427,3,24479.181594162,4
την,301779,3,18402.6060586473,5
από,277858,3,16943.8937574968,6
ο,267571,1,16316.5883170079,7
με,251235,2,15320.4123982923,8
να,182066,2,11102.4586690051,9
που,181777,3,11084.8353315596,10
τον,173061,3,10553.3301095025,11
στην,167243,4,10198.546105151,12
των,162952,3,9936.87918135024,13
σε,154007,2,9391.40944623083,14
είναι,150978,5,9206.69979528878,15
τα,143430,2,8746.41968789008,16
για,142379,3,8682.32928077879,17
στο,140711,3,8580.61396292757,18
οι,127638,2,7783.41711024831,19
τους,109578,4,6682.11097092393,20
τη,109407,2,6671.68332143199,21
ήταν,87366,4,5327.61418428645,22
στη,79734,3,4862.21172275136,23
τις,73205,3,4464.07064945962,24
στις,67718,4,4129.4711596217,25
ως,63979,2,3901.46542014585,26
ένα,56485,3,3444.47825469199,27
στον,51613,4,3147.38171478122,28
στα,50890,3,3103.29288096442,29
ή,49553,1,3021.76207762684,30
δεν,48688,3,2969.01402610327,31
κατά,47385,4,2889.5565565828,32
ότι,45249,3,2759.30240854311,33
μια,45066,3,2748.14299417454,34
έχει,38948,4,2375.06486790729,35
είχε,33437,4,2039.00184831612,36
μετά,33262,4,2028.33027719863,37
αλλά,33023,4,2013.75596007247,38
ενώ,32939,3,2008.63360593608,39
όπως,31209,4,1903.13750288895,40
οποία,29356,5,1790.14080985639,41
επίσης,28556,6,1741.35648474789,42
δύο,27263,3,1662.50881929127,43
θα,27241,2,1661.16725035079,44
αυτό,25994,4,1585.12468358792,45
όπου,23594,4,1438.77170826242,46
αυτή,22097,4,1347.48403990314,47
όμως,21496,4,1310.83481566538,48
όταν,21062,4,1284.36931929402,49
καθώς,20908,5,1274.97833671063,50
μέχρι,20750,5,1265.3434325017,51
στους,20448,5,1246.92734977324,52
π,19887,1,1212.71734179091,53
οποίο,19686,5,1200.4602801074,54
μία,19498,3,1188.9959637069,55
προς,19445,4,1185.76400216846,56
Χ,18874,1,1150.94419012227,57
χρόνια,18823,6,1147.8341893966,58
έχουν,17112,5,1043.4967140708,59
μεταξύ,17043,6,1039.28906603019,60
έγινε,16598,5,1012.15278518859,61
πόλη,16543,4,1008.79886283738,62
αν,16082,2,980.686895493609,63
ένας,15589,4,950.623555145496,64
πρώτη,15484,5,944.220612475006,65
περιοχή,14975,7,913.181585624723,66
μπορεί,14849,6,905.498054420134,67
πιο,14746,3,899.217072562415,68
πολύ,14674,4,894.82648330265,69
έτσι,14631,4,892.204325828068,70
σήμερα,14289,6,871.349026844185,71
όνομα,14258,5,869.45863424623,72
βρίσκεται,13876,9,846.164119006922,73
μόνο,13859,4,845.127452098366,74
αιώνα,13638,5,831.650782287143,75
θέση,13379,4,815.856857033267,76
κάθε,13164,4,802.746069660357,77
τότε,12939,4,789.025478223592,78
αργότερα,12319,8,751.217626264505,79
μέσα,11897,4,725.483894769772,80
ενός,11874,4,724.081345422902,81
σύμφωνα,11858,7,723.105658920732,82
είχαν,11740,5,715.909970967229,83
μέρος,11728,5,715.178206090601,84
οποίος,11707,6,713.897617556503,85
περίπου,11582,7,706.2750667583,86
μαζί,11447,4,698.042711896241,87
πως,11438,3,697.49388823877,88
περίοδο,11310,7,689.68839622141,89
ομάδα,10987,5,669.991724958854,90
κυρίως,10963,6,668.528195205599,91
διάρκεια,10478,8,638.952698108571,92
ιστορία,10388,7,633.464461533865,93
Ελλάδα,10336,6,630.293480401812,94
β,10049,1,612.792103769138,95
μεγάλη,9858,6,601.144846149484,96
αυτά,9805,4,597.912884611046,97
κ,9655,1,588.765823653202,98
έναν,9613,4,586.204646585006,99
λόγω,9518,4,580.411507978371,100
Γεννήθηκε,9403,9,573.398761244025,101
αποτελεί,9333,8,569.130132797031,102
πάνω,9236,4,563.215033377625,103
σαν,9159,3,558.519542085932,104
έργο,9040,4,551.262873726043,105
πολλές,8972,6,547.116206091821,106
φορά,8913,4,543.518362115069,107
πριν,8749,4,533.517575467826,108
πρώτο,8545,5,521.077572565159,109
υπάρχουν,8414,8,513.089139328642,110
υπό,8395,3,511.930511607315,111
εκεί,8387,4,511.44266835623,112
νέα,8377,3,510.832864292374,113
χωρίς,8321,5,507.417961534779,114
ακόμα,8311,5,506.808157470923,115
χωριό,8124,5,495.404821476811,116
επί,8116,3,494.916978225726,117
εποχή,8000,5,487.843251084994,118
αφού,7925,4,483.269720606072,119
υπάρχει,7889,7,481.07442597619,120
ίδια,7864,4,479.549915816549,121
δηλαδή,7836,6,477.842464437752,122
πολλά,7811,5,476.317954278111,123
μ,7808,1,476.135013058954,124
τέλος,7789,5,474.976385337627,125
συνέχεια,7757,8,473.025012333287,126
Δήμος,7660,5,467.109912913882,127
τμήμα,7546,5,460.15814658592,128
ελληνική,7527,8,458.999518864594,129
άλλα,7517,4,458.389714800737,130
φορές,7477,5,455.950498545312,131
κατοίκους,7454,9,454.547949198443,132
τελικά,7449,6,454.243047166515,133
πόλης,7340,5,447.596182870482,134
άλλες,7323,5,446.559515961926,135
χώρα,7301,4,445.217947021443,136
αναφέρεται,7274,10,443.571476049031,137
αυτές,7242,5,441.620103044691,138
Αθήνα,7236,5,441.254220606377,139
αποτέλεσμα,7215,10,439.973632072279,140
υπήρξε,7179,6,437.778337442396,141
Ωστόσο,7154,6,436.253827282756,142
κι,7099,2,432.899904931546,143
μιας,7052,4,430.033825831422,144
σειρά,7016,5,427.83853120154,145
στοιχεία,6996,8,426.618923073827,146
εκτός,6963,5,424.606569663102,147
σύστημα,6935,7,422.899118284304,148
Εθνική,6874,6,419.179313494781,149
αρχικά,6855,6,418.020685773454,150
τόσο,6846,4,417.471862115984,151
έως,6802,3,414.788724235016,152
κάτω,6727,4,410.215193756094,153
όλα,6584,3,401.49499564295,154
ώστε,6552,4,399.54362263861,155
δε,6545,2,399.116759793911,156
πόλεμο,6488,6,395.64087662993,157
γύρω,6482,4,395.274994191616,158
κοντά,6467,5,394.360288095832,159
κέντρο,6382,6,389.176953553054,160
μεγάλο,6368,6,388.323227863655,161
απο,6345,3,386.920678516786,162
ακόμη,6340,5,386.615776484858,163
τρεις,6335,5,386.31087445293,164
έργα,6314,4,385.030285918831,165
όσο,6292,3,383.688716978348,166
ίδιο,6270,4,382.347148037864,167
ανάμεσα,6247,7,380.944598690995,168
ζωή,6233,3,380.090873001596,169
χρόνο,6194,5,377.712637152557,170
πολέμου,6139,7,374.358714801347,171
Ε,6131,1,373.870871550262,172
γλώσσα,6117,6,373.017145860863,173
συνήθως,6111,7,372.65126342255,174
ονομασία,6094,8,371.614596513994,175
γίνεται,6071,7,370.212047167125,176
πρέπει,6053,6,369.114399852184,177
οποίες,6025,6,367.406948473386,178
μορφή,6019,5,367.041066035072,179
σ,5995,1,365.577536281817,180
αυτός,5987,5,365.089693030732,181
βασιλιά,5968,7,363.931065309405,182
κυβέρνηση,5956,9,363.199300432778,183
όχι,5883,3,358.747730766627,184
χρήση,5876,5,358.320867921928,185
βάση,5868,4,357.833024670843,186
χώρας,5862,5,357.467142232529,187
πήρε,5849,4,356.674396949516,188
πρόεδρος,5849,8,356.674396949516,189
μέλος,5843,5,356.308514511202,190
τελευταία,5797,9,353.503415817464,191
μάχη,5768,4,351.734984032281,192
έκανε,5755,5,350.942238749267,193
πέθανε,5726,6,349.173806964084,194
πρωτάθλημα,5663,10,345.33204136179,195
δ,5633,1,343.502629170221,196
γ,5612,1,342.222040636123,197
πλέον,5592,5,341.002432508411,198
αγώνες,5591,6,340.941452102025,199
παρά,5581,4,340.331648038169,200
