word,count,length,per_million,rank
של,987590,2,30313.255182089,1
את,579603,2,17790.4329157893,2
על,490814,2,15065.1282707822,3
הוא,268923,3,8254.36823310577,4
עם,179622,2,5513.34817314594,5
בשנת,140849,4,4323.24312633993,6
היה,137782,3,4229.10410747232,7
גם,133052,2,4083.92068417796,8
היא,126356,3,3878.39252299845,9
לא,126283,2,3876.15184860088,10
בין,114831,3,3524.64221571144,11
לאחר,110921,4,3404.62801167741,12
ידי,108975,3,3344.89715718886,13
או,108261,2,3322.98151993048,14
זה,95728,2,2938.29148945516,15
כי,93633,2,2873.98720366199,16
אך,82152,2,2521.58743984748,17
יותר,77582,4,2381.31508372587,18
עד,74906,2,2299.17748526166,19
כל,74404,2,2283.76901200716,20
זו,73195,2,2246.65976068308,21
אשר,69495,3,2133.09133231328,22
הייתה,68466,5,2101.50703155855,23
הם,60331,2,1851.80995999414,24
ישראל,59061,5,1812.82836431045,25
ביותר,55882,5,1715.25159842191,26
היו,55538,3,1704.69280400051,27
בית,51779,3,1589.31341961076,28
כמו,51451,3,1579.24573190662,29
אחד,50333,3,1544.92965003705,30
כאשר,50242,4,1542.13648058255,31
מספר,50025,4,1535.47584572951,32
שם,49633,2,1523.44373115627,33
הראשון,49398,6,1516.2306012463,34
בו,48231,2,1480.41050505507,35
כך,45595,2,1399.50067338404,36
העיר,45524,4,1397.32138732614,37
הברית,44407,5,1363.03599962639,38
ל,44361,1,1361.62406781423,39
יש,42970,2,1318.92847758115,40
רבים,42211,4,1295.63160268042,41
אל,42011,2,1289.49276871449,42
כדי,40358,3,1238.75530598604,43
אותו,40045,4,1229.14803082935,44
שלו,39589,3,1215.15148938702,45
אף,39578,2,1214.81385351889,46
רק,38607,2,1185.00981461427,47
שני,38015,3,1166.83886607511,48
לו,37779,2,1159.5950419953,49
זאת,37200,3,1141.82311766392,50
אם,35861,2,1100.72362426199,51
במהלך,35845,5,1100.23251754471,52
העולם,35567,5,1091.69953833206,53
בה,34562,2,1060.85189765324,54
ניתן,34463,4,1057.8131748401,55
כן,32843,2,1008.08861971603,56
שנים,31743,4,974.325032903383,57
הראשונה,31320,7,961.34139906543,58
החל,31234,3,958.701700460078,59
באופן,31087,5,954.189657495116,60
פי,30944,2,949.800391209472,61
חלק,30846,3,946.792362566164,62
המאה,29850,4,916.220969415807,63
אחת,29796,3,914.563484245005,64
כיום,29393,4,902.193733803646,65
מן,29071,2,892.31021111849,66
בשם,28915,3,887.521920625061,67
הספר,28913,4,887.460532285402,68
בן,28450,2,873.249131654262,69
שנה,28093,3,862.291313025068,70
אלו,28034,3,860.480357005117,71
בעיקר,27486,5,843.659951938455,72
ב,27455,1,842.708432673735,73
לפני,27054,4,830.400070572035,74
נולד,27012,4,829.110915439189,75
בכל,26710,3,819.841276150627,76
השני,26442,4,811.615238636274,77
מכן,26308,3,807.502219879098,78
אולם,26088,4,800.749502516569,79
מ,26087,1,800.718808346739,80
אותה,25828,4,792.769018360853,81
שונים,25418,5,780.184408730687,82
מלחמת,25243,5,774.812929010493,83
במקום,25182,5,772.940584650883,84
רבות,25166,4,772.449477933608,85
שלא,24345,3,747.249564503445,86
אלה,24243,3,744.118759180818,87
כלל,23828,3,731.380678701503,88
השנייה,23491,6,721.036743468902,89
וכן,23455,3,719.931753355034,90
להיות,23056,5,707.684779592993,91
אחרים,22854,5,701.484557287399,92
ה,22810,1,700.134013814893,93
הן,22728,2,697.61709188886,94
המדינה,22632,6,694.670451585211,95
שהוא,22604,4,693.81101482998,96
בישראל,22438,6,688.715782638254,97
בני,22420,3,688.16328758132,98
בשל,22206,3,681.594735237769,99
בעקבות,22177,6,680.704604312709,100
ו,21895,1,672.04884842074,101
בעיר,21804,4,669.25567896624,102
השנים,21785,5,668.672489739476,103
לפי,21770,3,668.212077192031,104
שהיה,21691,4,665.787237775487,105
שנות,21614,4,663.423786698602,106
בבית,21313,4,654.184841579869,107
והוא,21238,4,651.882778842644,108
ולא,21186,3,650.286682011501,109
מנת,21069,3,646.695464141429,110
זכה,20804,3,638.561509136565,111
בהם,20734,3,636.412917248487,112
ארצות,20675,5,634.601961228537,113
רב,20637,2,633.435582775009,114
דבר,20558,3,631.010743358465,115
ראש,20332,3,624.073860976958,116
כגון,20179,4,619.377652993018,117
למרות,20161,5,618.825157936084,118
לה,20133,2,617.965721180853,119
אדם,20035,3,614.957692537544,120
באמצעות,20007,7,614.098255782313,121
אחר,19944,3,612.164523083044,122
זמן,19767,3,606.731655023191,123
הרב,19596,3,601.482951982317,124
עוד,19216,3,589.81916744704,125
אחרי,19188,4,588.959730691809,126
יחד,19162,3,588.161682276238,127
אין,19145,3,587.639881389133,128
ללא,19140,3,587.486410539985,129
דרך,18894,3,579.935644761885,130
בדרך,18799,4,577.019698628066,131
חיים,18781,4,576.467203571132,132
במשך,18752,4,575.577072646071,133
מאוד,18533,4,568.855049453372,134
אלא,18510,3,568.14908354729,135
באותה,18506,5,568.026306867971,136
בנוסף,18385,5,564.31231231858,137
תחת,18301,3,561.734002052887,138
עבור,18241,4,559.892351863107,139
ספר,17972,3,551.635620178924,140
עצמו,17832,4,547.33843640277,141
אביב,17765,4,545.281927024182,142
בעל,17757,3,545.036373665544,143
באזור,17706,5,543.470971004231,144
נגד,17697,3,543.194723475764,145
בעלי,17660,4,542.059039192066,146
שבו,17352,3,532.605234884526,147
שתי,17300,3,531.009138053382,148
היום,17213,4,528.338745278201,149
רוב,17209,3,528.215968598882,150
בעולם,17167,5,526.926813466036,151
שלה,17122,3,525.5455758237,152
בקרב,16919,4,519.314659348276,153
בשנים,16665,5,511.518340211539,154
כתב,16634,3,510.566820946819,155
לעתים,16595,5,509.369748323461,156
הסרט,16555,4,508.141981530274,157
המלחמה,16397,6,503.292302697186,158
אינו,16162,4,496.079172787212,159
שונות,16126,5,494.974182673344,160
מה,16051,2,492.672119936118,161
לכל,16003,3,491.198799784294,162
ואף,16001,3,491.137411444634,163
נוספים,15971,6,490.216586349744,164
תוך,15868,3,487.055086857288,165
בלבד,15777,4,484.261917402787,166
הקבוצה,15689,6,481.560830457776,167
מאז,15610,3,479.135991041231,168
בעת,15572,3,477.969612587704,169
החברה,15566,5,477.785447568726,170
יום,15451,3,474.255618038313,171
כמה,15409,3,472.966462905467,172
הלהקה,15260,5,468.393031600845,173
שימוש,15140,5,464.709731221284,174
כבר,15117,3,464.003765315201,175
בארץ,15104,4,463.604741107416,176
בידי,15093,4,463.267105239289,177
בארצות,15079,6,462.837386861674,178
הגדול,15058,5,462.192809295251,179
חברת,15005,4,460.566018294278,180
עבר,14949,3,458.847144783816,181
במסגרת,14814,6,454.70343185681,182
ואת,14778,3,453.598441742941,183
שנת,14776,3,453.537053403282,184
בשנות,14699,5,451.173602326397,185
אותם,14652,4,449.730976344402,186
שמו,14617,3,448.656680400364,187
גדול,14564,4,447.029889399391,188
כ,14540,1,446.293229323479,189
האדם,14520,4,445.679345926885,190
נוסף,14468,4,444.083249095742,191
למשל,14407,4,442.210904736132,192
לראשונה,14308,7,439.172181922994,193
לבין,14227,4,436.68595416679,194
משנת,14145,4,434.169032240757,195
הארץ,14116,4,433.278901315696,196
ועל,14077,3,432.081828692339,197
מתוך,14057,4,431.467945295746,198
הממשלה,13929,6,427.539091557547,199
לכך,13924,3,427.385620708399,200
מערכת,13894,5,426.464795613508,201
יצא,13814,3,424.009262027134,202
