word,count,length,per_million,rank,pos
di,6840390,2,43045.1019552897,1,PP
e,4072733,1,25628.8321603992,2,CON
il,3739086,2,23529.2634030510,3,ART: SgMas
la,3641265,2,22913.6969048882,4,ART: SgFem
in,2671377,2,16810.4004780452,5,PP
del,2197828,3,13830.4585469820,6,ART: SgMas
che,2079683,3,13086.9974913247,7,CON
un,1880710,2,11834.9032289581,8,ART: SgMas
della,1728859,5,10879.3375701269,9,ART: SgFem
per,1645253,3,10353.2230073499,10,PP
nel,1570516,3,9882.9191526234,11,CNT: SgMas
una,1369805,3,8619.8880303412,12,ART: SgFem
i,1334809,1,8399.6657348248,13,ART: PlMas
con,1331053,3,8376.0300352603,14,PP
si,1239818,2,7801.9078175372,15,PRO: Pers3rdSgFem
da,1222344,2,7691.9476966133,16,PP
le,1109430,2,6981.4041980438,17,ART: PlFem
dei,795188,3,5003.9469289942,18,ART: PlMas
alla,679387,4,4275.2361608181,19,CNT: SgFem
non,656161,3,4129.0799419455,20,ADV
come,651552,4,4100.0764969794,21,CON: Wh
nella,609573,5,3835.9116854729,22,CNT: SgFem
più,596414,3,3753.1049307952,23,ADV
sono,546337,4,3437.9811482894,24,AUX: IndPre3rdPl
dal,544234,3,3424.7474219358,25,CNT: SgMas
anche,544125,5,3424.0615083967,26,ADV
gli,486894,3,3063.9191437066,27,ART: PlMas
ha,476798,2,3000.3871887536,28,AUX: IndPre3rdSg
fu,474963,2,2988.8399287161,29,AUX: IndPas3rdSg
ad,472103,2,2970.8425642980,30,PP
ed,456615,2,2873.3799139106,31,CON
sua,389490,3,2450.9767367892,32,PRO: PossSgFem
ma,385970,2,2428.8261344285,33,CON
o,382299,1,2405.7253215687,34,CON
lo,363267,2,2285.9610419862,35,ART: SgMas
tra,361523,3,2274.9864253620,36,CON
era,358841,3,2258.1091766315,37,NC: SgFem
suo,358382,3,2255.2207884259,38,DET: PosSgMas
cui,344554,3,2168.2041607427,39,PRO: WhPlFem
due,338093,3,2127.5464783981,40,DET: Num
dalla,335409,5,2110.6566440980,41,CNT: SgFem
dopo,328205,4,2065.3234226756,42,ADJ: SgMas
anni,315922,4,1988.0291474491,43,NC: PlMas
parte,303214,5,1908.0604386989,44,NC: SgFem
stato,291973,5,1837.3232451939,45,AUX: PartPasSgMas
prima,289997,5,1824.8887025050,46,ADV
degli,275258,5,1732.1393479040,47,CNT: PlMas
questo,264635,6,1665.2910953817,48,DET: DemSgMas
essere,238303,6,1499.5894870397,49,AUX: Inf
su,235829,2,1484.0211375395,50,PP
ai,224916,2,1415.3479774364,51,CNT: PlMas
loro,214386,4,1349.0849538969,52,DET: PosPlFem
viene,201095,5,1265.4475516307,53,AUX: IndPre3rdSg
città,200966,5,1264.6357823964,54,NP: SgFem
uno,197404,3,1242.2208830757,55,ART: SgMas
nei,188315,3,1185.0257623776,56,CNT: PlMas
sul,180418,3,1135.3316411154,57,CNT: SgMas
venne,179508,5,1129.6052069824,58,AUX: IndPas3rdSg
alle,177710,4,1118.2907799810,59,CNT: PlFem
solo,173903,4,1094.3341483937,60,V: IndPre1stSg
primo,173477,5,1091.6534220853,61,ADJ: SgMas
dove,172488,4,1085.4298579561,62,CON: Wh
questa,170236,6,1071.2585066730,63,PRO: DemSgFem
nome,169813,4,1068.5966587188,64,NC: SgMas
se,167017,2,1051.0020325254,65,CON
comune,166020,6,1044.7281261181,66,ADJ: SgFem
nelle,164679,5,1036.2895017529,67,CNT: PlFem
durante,163083,7,1026.2462172734,68,PP
quando,162305,6,1021.3504307289,69,CON: Wh
poi,156025,3,981.8317424261,70,ADV
sulla,154871,5,974.5698688112,71,CNT: SgFem
secondo,154453,7,971.9394847809,72,V: IndPre1stSg
altri,154201,5,970.3537030210,73,PRO: IndefPlMas
mentre,153412,6,965.3886958441,74,CON
molto,150956,5,949.9336164696,75,ADJ: SgMas
serie,147335,5,927.1474428479,76,NC: PlFem
l,147288,1,926.8516819641,77,CNT: ProSgFem
quale,147278,5,926.7887541165,78,DET: WhSgFem
fino,146627,4,922.6921512367,79,ADJ: SgMas
sia,144548,3,909.6094517174,80,AUX: SubPres1stSg
de,140111,2,881.6883657303,81,AB
può,137392,3,864.5782839635,82,AUX: IndPre3rdSg
suoi,136266,4,857.4926083220,83,DET: PosPlMas
san,135308,3,851.4641205204,84,NC: PlMas
dai,134903,3,848.9155426919,85,CNT: PlMas
stesso,131782,6,829.2757614510,86,ADJ: SgMas
abitanti,130181,8,819.2010130477,87,NC: PlFem
tre,129238,3,813.2669170176,88,DET: Num
storia,126674,6,797.1322168889,89,NC: SgFem
dello,126102,5,793.5327440052,90,CNT: SgMas
secolo,125608,6,790.4241083330,91,NC: SgMas
film,125545,4,790.0276628930,92,NC: PlMas
grande,125316,6,788.5866151826,93,ADJ: SgFem
hanno,124602,5,784.0935668629,94,AUX: IndPre3rdPl
alcuni,124000,6,780.3053104364,95,DET: IndefPlMas
stata,122496,5,770.8409621550,96,AUX: PartPasSgFem
gruppo,121390,6,763.8811422086,97,NC: SgMas
erano,121109,5,762.1128696906,98,AUX: IndImpf3rdPl
stati,118223,5,743.9518928687,99,AUX: PartPasPlMas
quella,118133,6,743.3855422402,100,PRO: DemSgFem
aveva,115600,5,727.4459184391,101,V: IndImpf3rdSg
così,114674,4,721.6187997499,102,ADV
tempo,114471,5,720.3413644433,103,NC: SgMas
tutti,114440,5,720.1462881156,104,PRO: IndefPlMas
seguito,113798,7,716.1063202987,105,V: PartPasSgMas
guerra,112821,6,709.9582695866,106,NP: SgMas
negli,112408,5,707.3593494801,107,CNT: PlMas
sempre,111772,6,703.3571383717,108,ADV
chiesa,111717,6,703.0110352098,109,NC: SgFem
contro,111473,6,701.4755957280,110,ADV
fine,110045,4,692.4894990885,111,ADJ: SgFem
vita,108588,4,683.3209116909,112,NC: SgFem
furono,108521,6,682.8992951118,113,AUX: IndPas3rdPl
quello,108253,6,681.2128287957,114,DET: DemSgMas
ancora,107240,6,674.8382378322,115,ADV
quali,106155,5,668.0105663659,116,DET: WhSgFem
quindi,105602,6,664.5306563928,117,ADV
volta,105566,5,664.3041161413,118,V: PartPasSgFem
ogni,101828,4,640.7816867025,119,ADJ: PlFem
circa,99980,5,629.1526204631,120,ADV
fra,98639,3,620.7139960979,121,CON
seconda,96142,7,605.0009125482,122,NC: SgFem
oltre,96057,5,604.4660258434,123,ADV
periodo,95806,7,602.8865368683,124,V: IndPre1stSg
altre,95726,5,602.3831140874,125,PRO: IndefPlFem
questi,95194,6,599.0353525942,126,PRO: DemPlMas
sue,94963,3,597.5817193143,127,PRO: PossPlFem
sotto,94833,5,596.7636572953,128,ADJ: PlFem
dalle,94054,5,591.8615779660,129,CNT: PlFem
mondo,93749,5,589.9422786137,130,V: IndPre1stSg
inoltre,91913,7,578.3887257914,131,ADV
verso,91292,5,574.4809064545,132,V: IndPre1stSg
c,90245,1,567.8923608091,133,SYM
famiglia,89657,8,564.1922033693,134,NC: SgFem
proprio,88892,7,559.3782230267,135,ADJ: SgMas
regione,88743,7,558.4405980972,136,NC: SgFem
già,88615,3,557.6351216477,137,ADV
vi,88354,2,555.9927048250,138,ADV
senza,88156,5,554.7467334422,139,CON
nuovo,87672,5,551.7010256176,140,ADJ: SgMas
però,86710,4,545.6473666769,141,ADV
ne,85936,2,540.7767512715,142,ADV
francese,85922,8,540.6886522848,143,ADJ: SgFem
modo,85660,4,539.0399426773,144,NC: SgMas
infatti,85165,7,535.9250142203,145,ADV
tutto,83616,5,526.1774906246,146,ADJ: SgMas
fatto,83517,5,525.5545049332,147,V: PartPasSgMas
via,82903,3,521.6907350896,148,ADV
nazionale,82507,9,519.1987923240,149,ADJ: SgFem
quanto,82208,6,517.3172496803,150,ADJ: SgMas
Italia,82040,6,516.2600618403,151,NP: SgFem
molti,80076,5,503.9010325686,152,PRO: IndefPlMas
morte,77638,5,488.5592233198,153,V: PartPasPlFem
anno,76496,4,481.3728631221,154,NC: SgMas
alcune,76304,6,480.1646484479,155,DET: IndefPlFem
agli,76005,4,478.2831058042,156,CNT: PlMas
sistema,76000,7,478.2516418804,157,NC: SgMas
numero,75805,6,477.0245488519,158,V: IndPre1stSg
invece,75626,6,475.8981403795,159,ADV
situato,75386,7,474.3878720368,160,V: PartPasSgMas
casa,74761,4,470.4548815608,161,NC: SgFem
fa,74320,2,467.6797634809,162,ADV
oggi,73335,4,461.4813704907,163,ADV
stagione,72952,8,459.0712339271,164,NC: SgFem
centro,72661,6,457.2400335614,165,V: IndPre1stSg
re,72380,2,455.4717610434,166,NC: PlMas
grazie,71766,6,451.6079911998,167,NC: PlFem
insieme,71597,7,450.5445105751,168,ADV
lui,71484,3,449.8334258971,169,PRO: Per3rdSgMas
trova,71479,5,449.8019619732,170,V: ImprPres2ndSg
forma,71245,5,448.3294503390,171,NC: SgFem
causa,70754,5,445.2396930211,172,NC: SgFem
esempio,70604,7,444.2957753069,173,NC: SgMas
spesso,70467,6,443.4336637945,174,ADJ: SgMas
Roma,70121,4,441.2563602670,175,NP: SgFem
territorio,69851,10,439.5573083814,176,NC: SgMas
tale,69712,4,438.6826112995,177,NC: SgMas
provincia,69672,9,438.4308999091,178,NC: SgFem
particolare,69662,11,438.3679720614,179,ADJ: SgFem
aver,69521,4,437.4806894101,180,AUX: Inf
presso,69354,6,436.4297943549,181,V: IndPre1stSg
nuova,69333,5,436.2976458749,182,ADJ: SgFem
primi,68404,5,430.4516488314,183,ADJ: PlMas
titolo,67899,6,427.2737925268,184,V: IndPre1stSg
caso,67534,4,424.9769260888,185,NC: SgMas
posto,67311,5,423.5736350870,186,V: PartPasSgMas
possono,65989,7,415.2545736321,187,AUX: IndPre3rdPl
base,65457,4,411.9068121390,188,NC: SgFem
quattro,65383,7,411.4411460666,189,DET: Num
perché,65032,6,409.2323786153,190,CON: Wh
tuttavia,64837,8,408.0052855868,191,ADV
formula,64830,7,407.9612360935,192,NC: SgFem
tutte,64766,5,407.5584978687,193,PRO: IndefPlFem
maggiore,64704,8,407.1683452135,194,ADR: SgFem
termine,64280,7,404.5002044746,195,NC: SgMas
punto,63720,5,400.9762450081,196,V: PartPasSgMas
album,63373,5,398.7926486958,197,NC: PlMas
squadra,63308,7,398.3836176863,198,NC: SgFem
successo,63193,8,397.6599474388,199,V: PartPasPlFem
soprattutto,62812,11,395.2623964446,200,ADV
