word,count,length,per_million,rank
мен,70946,3,7626.57823708719,1
да,55089,2,5921.97683453466,2
және,48938,4,5260.75445784925,3
бір,43876,3,4716.59778888785,4
де,40052,2,4305.5240824263,5
Қазақ,39485,5,4244.57251559479,6
бұл,37209,3,3999.90626143514,7
деп,37129,3,3991.30639309912,8
не,28146,2,3025.64867731875,9
ол,26526,2,2851.50134351443,10
осы,25668,3,2759.26775561066,11
бар,23139,3,2487.40441783836,12
Қазақстан,22898,9,2461.49731447612,13
сол,22102,3,2375.92862453276,14
болып,21637,5,2325.94188982967,15
деген,21337,5,2293.69238356961,16
оның,20867,4,2243.16815709551,17
жоқ,20748,3,2230.37585294569,18
үшін,19530,4,2099.44285752985,19
емес,19405,4,2086.00556325483,20
өз,18491,2,1987.75206751585,21
еді,17417,3,1872.29883510483,22
Ал,17397,2,1870.14886802083,23
керек,16464,5,1769.85290355205,24
на,15549,2,1671.49190945887,25
екі,15521,3,1668.48195554126,26
болады,15329,6,1647.84227153482,27
туралы,15313,6,1646.12229786762,28
жаңа,15222,4,1636.3399476354,29
жылы,15015,4,1614.08778831596,30
жыл,14289,3,1536.04398316662,31
көп,13704,3,1473.1574459595,32
ғана,13496,4,1450.79778828586,33
екен,13432,4,1443.91789361705,34
болды,13354,5,1435.53302198943,35
ең,12704,2,1365.65909175931,36
Үш,12702,2,1365.4440950509,37
он,12457,2,1339.10699827186,38
қ,12237,1,1315.45736034781,39
ел,12196,2,1311.04992782561,40
пен,12190,3,1310.4049377004,41
Біз,11728,3,1260.74069805991,42
болған,11430,6,1228.70618850825,43
Бірақ,11182,5,1202.04659666661,44
рет,11145,3,1198.0691575612,45
алып,11019,4,1184.52436493197,46
Қыркүйек,11017,8,1184.30936822357,47
ұлттық,10933,6,1175.27950647076,48
жатқан,10640,6,1143.7824886901,49
адам,10570,4,1136.25760389608,50
халық,10563,5,1135.50511541668,51
болса,10529,5,1131.85017137388,52
сөз,9982,3,1073.04857162637,53
газеті,9948,6,1069.39362758356,54
Соңғы,9361,5,1006.29209366805,55
өзі,9339,3,1003.92712987564,56
басқа,9242,5,993.499789518222,57
Ұлы,9088,3,976.945042971392,58
бойынша,9073,7,975.332567658389,59
Авторы,9018,6,969.420158177378,60
Іздеу,8858,5,952.220421505347,61
дейін,8740,5,939.535615709724,62
оны,8388,3,901.696195031254,63
енді,8297,4,891.913844799036,64
ж,8276,1,889.656379360832,65
ғой,8190,3,880.411520899615,66
тек,8143,3,875.359098252206,67
мемлекеттік,8079,11,868.479203583393,68
кейін,8063,5,866.75922991619,69
жер,8033,3,863.534279290184,70
біздің,7992,6,859.126846767976,71
Негізгі,7910,7,850.31198172356,72
Қаңтар,7858,6,844.722067305149,73
бас,7849,3,843.754582117348,74
ма,7829,2,841.604615033344,75
арқылы,7781,6,836.444694031734,76
жұмыс,7747,5,832.789749988928,77
барлық,7741,6,832.144759863726,79
олардың,7741,7,832.144759863726,78
б,7686,1,826.232350382716,80
неге,7670,4,824.512376715513,81
Олар,7256,4,780.008058076631,82
үлкен,7223,5,776.460612388024,83
қаралған,7118,8,765.173285197004,84
қазіргі,7104,7,763.668308238201,85
келген,7085,6,761.625839508397,86
Қазан,7065,5,759.475872424393,87
Қала,6987,4,751.091000796778,88
су,6859,2,737.331211459153,89
келеді,6752,6,725.828887559731,90
жалпы,6723,5,722.711435287926,91
Қараша,6711,6,721.421455037523,92
отыр,6695,4,719.70148137032,93
қоғамдық,6694,8,719.59398301612,94
қара,6649,4,714.756557077111,95
Әлеумет,6609,7,710.456622909103,96
өткен,6604,5,709.919131138102,97
тағы,6577,4,707.016675574697,98
өмір,6550,4,704.114220011292,99
жас,6532,3,702.179249635688,100
бірі,6527,4,701.641757864687,101
сияқты,6478,6,696.374338508877,102
тілі,6477,4,696.266840154677,103
оған,6368,4,684.549519546856,104
