word,count,length,per_million,rank
있다,149602,2,10412.594951016900,1
이,93884,1,6534.512001051270,2
수,68590,1,4773.999596865350,3
는,58932,1,4101.783703782890,4
그,56519,1,3933.834133477660,5
있는,52444,2,3650.206077533260,6
은,49221,1,3425.878905923740,7
의,38886,1,2706.542474467210,8
한다,36186,2,2518.617136786260,9
되었다,30960,3,2154.877205408240,10
한,28632,1,1992.843803141110,11
에,25185,1,1752.925788701760,12
같은,25066,2,1744.643153448420,13
그는,24859,2,1730.235544226210,14
를,24520,1,1706.640474050710,15
다른,24324,2,1692.998486574610,16
을,23661,1,1646.852375877400,17
때문에,23646,3,1645.808346223620,18
그러나,23547,3,1638.917750508650,19
대한,23528,2,1637.595312947190,20
때,23516,1,1636.760089224170,21
등,22945,1,1597.017360403490,22
이후,22834,2,1589.291540965500,23
및,22359,1,1556.230601929030,24
또한,22176,2,1543.493440152880,25
중,22078,1,1536.672446414830,26
위해,21542,2,1499.365786786320,27
그의,21278,2,1480.990864879730,28
된다,21204,2,1475.840318587740,29
가장,21010,2,1462.337535065480,30
있으며,20779,3,1446.259478397220,31
함께,20524,2,1428.510974282900,32
후,20136,1,1401.505407238380,33
가,19070,1,1327.309699842870,34
많은,18880,2,1314.085324228280,35
것을,18456,2,1284.574086014680,36
두,18154,1,1263.554288985180,37
또는,18080,2,1258.403742693180,38
것이다,17913,3,1246.780212547730,39
있었다,17722,3,1233.486234956230,40
따라,17657,2,1228.962106456500,41
의해,17636,2,1227.500464941210,42
그리고,17212,3,1197.989226727600,43
것으로,16988,3,1182.398383897780,44
현재,16602,2,1155.532020807090,45
하는,16536,2,1150.938290330450,46
했다,15485,2,1077.786612588710,47
당시,15292,2,1064.353431043370,48
로,15220,1,1059.342088705210,49
여러,14625,2,1017.928912438490,50
다시,14377,2,1000.667622162610,51
더,14013,1,975.332502564137,52
하였다,13985,3,973.383647210408,53
큰,13964,1,971.922005695112,54
에서,13940,2,970.251558249059,55
등의,13869,2,965.309817887819,56
것이,13714,2,954.521511465394,57
일본,13639,2,949.301363196479,58
통해,12920,2,899.257541791811,59
모든,12877,2,896.264656784300,60
와,12773,1,889.026051184737,61
것은,12653,2,880.673813954473,62
미국,12027,2,837.102976403259,63
이러한,11708,3,814.899945766140,64
경우,11638,2,810.027807381819,65
약,11479,1,798.961093051718,66
위한,11441,2,796.316217928801,67
모두,11398,2,793.323332921290,68
또,11267,1,784.205473944918,69
라는,11253,2,783.231046268053,70
이다,11250,2,783.022240337297,71
하지만,11116,3,773.695575430168,72
등이,11055,2,769.449854838117,73
할,11053,1,769.310650884279,74
으로,10902,2,758.800752369530,75
되어,10778,2,750.170107231590,76
대한민국의,10669,5,742.583491747433,77
등을,10294,2,716.482750402856,78
하고,10258,2,713.977079233777,79
과,10202,1,710.079368526320,80
특히,9939,2,691.774048596657,81
현,9792,1,681.542557989583,82
이는,9629,2,670.197435751807,83
이를,9511,2,661.984402475380,84
라고,9500,2,661.218780729273,85
주로,9352,2,650.917688145280,86
같이,9290,2,646.602365576310,87
가지고,9138,3,636.022865084642,88
대해,9067,2,631.081124723402,89
주,9008,1,626.974608085188,90
대한민국,8990,4,625.721772500649,91
있고,8865,2,617.021525385790,92
많이,8813,2,613.402222586009,93
자신의,8801,3,612.566998862982,94
된,8728,1,607.486054547905,95
동안,8468,2,589.389540548998,96
매우,8451,2,588.206306941377,97
새로운,8319,3,579.018845988086,98
각,8259,1,574.842727372954,99
이에,8158,2,567.812927704148,100
성,8018,1,558.068650935506,101
데,8012,1,557.651039073993,102
전,7995,1,556.467805466372,103
뒤,7887,1,548.950791959134,104
다음과,7872,3,547.906762305351,105
세계,7843,2,545.888304974704,106
인해,7791,2,542.269002174923,107
시,7741,1,538.788903328979,108
첫,7690,1,535.239202506117,109
있던,7646,2,532.176715521686,110
없다,7614,2,529.949452260282,111
일본의,7348,3,511.435326399863,112
있어,7341,2,510.948112561431,113
중국,7323,2,509.695276976891,114
역사,7321,2,509.556073023053,115
말한다,7303,3,508.303237438514,116
않고,7204,2,501.412641723545,117
한국,7159,2,498.280552762196,118
없는,7077,2,492.573190654849,119
잘,7045,1,490.345927393445,120
아니라,6957,3,484.220953424584,121
결국,6812,2,474.128666771348,122
거의,6715,2,467.377275010218,123
받았다,6575,3,457.632998241576,124
하여,6573,2,457.493794287738,125
프랑스,6569,3,457.215386380062,126
이라는,6461,3,449.698372872824,127
작은,6437,2,448.027925426772,128
주요,6248,2,434.873151789105,129
않았다,6246,3,434.733947835267,130
따라서,6237,3,434.107530042997,131
즉,6212,1,432.367480620026,132
미국의,6203,3,431.741062827756,133
크게,6108,2,425.128875020463,134
알려져,6094,3,424.154447343599,135
후에,6042,2,420.535144543817,136
기원전,5995,3,417.263851628631,137
영향을,5992,3,417.055045697874,138
일부,5983,2,416.428627905604,139
이름을,5932,3,412.878927082742,140
볼,5932,1,412.878927082742,141
있는데,5867,3,408.354798583015,142
위치한,5862,3,408.006788698421,143
한편,5837,2,406.266739275449,144
높은,5794,2,403.273854267938,145
세,5784,1,402.577834498749,146
로마,5725,2,398.471317860535,147
인구는,5689,3,395.965646691456,148
해,5621,1,391.232712260973,149
않는다,5616,3,390.884702376379,150
중요한,5610,3,390.467090514865,151
되는,5562,2,387.126195622760,152
혹은,5508,2,383.367688869141,153
총,5507,1,383.298086892222,154
어떤,5479,2,381.349231538493,155
축구,5442,2,378.773958392495,156
다양한,5436,3,378.356346530982,157
전쟁,5416,2,376.964306992604,158
기준으로,5392,4,375.293859546551,159
것,5383,1,374.667441754282,160
개의,5338,2,371.535352792932,161
영국,5282,2,367.637642085476,162
않는,5259,2,366.036796616342,163
않은,5251,2,365.479980800991,164
같다,5247,2,365.201572893315,165
관한,5211,2,362.695901724236,166
그가,5191,2,361.303862185858,167
의한,5144,2,358.032569270672,168
이것은,5120,3,356.362121824619,169
다음,5060,2,352.186003209486,170
구,5000,1,348.009884594354,171
독일,4964,2,345.504213425275,172
최초의,4937,3,343.624960048465,173
조선,4931,2,343.207348186952,174
가운데,4912,3,341.884910625493,175
생애,4871,2,339.031229571820,176
하며,4823,2,335.690334679714,177
보통,4803,2,334.298295141337,178
역시,4760,2,331.305410133825,179
따르면,4722,3,328.660535010908,180
중심으로,4697,4,326.920485587936,181
동시에,4678,3,325.598048026478,182
되고,4675,2,325.389242095721,183
들어,4640,2,322.953172903561,184
처음,4630,2,322.257153134372,185
수도,4627,2,322.048347203615,186
가진,4599,2,320.099491849887,187
가지,4572,2,318.220238473077,188
때문이다,4566,4,317.802626611564,189
이라고,4565,3,317.733024634645,190
있을,4546,2,316.410587073187,191
역,4508,1,313.765711950270,192
사이에,4500,3,313.208896134919,193
이런,4460,2,310.424817058164,194
영화,4456,2,310.146409150488,195
역할을,4454,3,310.007205196651,196
계속,4452,2,309.868001242813,197
게임,4452,2,309.868001242813,198
서로,4441,2,309.102379496705,199
시작했다,4440,4,309.032777519786,200
거쳐,4433,2,308.545563681354,201
