word,count,length,per_million,rank
un,152912,2,30996.3123566862,1
ir,105578,2,21401.3855419733,2
no,63514,2,12874.7239132479,3
ar,60741,2,12312.6177726894,4
par,44641,3,9049.03722346729,5
gadā,41052,4,8321.5222799171,6
arī,37015,3,7503.19466021464,7
bija,36083,4,7314.2718607193,8
gada,32048,4,6496.34965474967,9
kas,31166,3,6317.56219857489,10
kā,30879,2,6259.38532791484,11
uz,28490,2,5775.11862405822,12
tika,28363,4,5749.37485202399,13
pēc,22401,3,4540.83651447976,14
bet,20438,3,4142.92293571435,15
līdz,19700,4,3993.32526830281,16
tā,19384,2,3929.26989851683,17
ka,17387,2,3524.46428629345,18
to,16808,2,3407.0970106413,19
vai,14866,3,3013.44027607054,20
viņš,13368,4,2709.78539018639,21
tiek,12440,4,2521.6734181567,22
tas,12246,3,2482.3482860729,23
Latvijas,11554,8,2342.07513451628,24
lai,11150,3,2260.18156048611,25
laikā,10908,5,2211.12649881457,26
var,10833,3,2195.92348383372,27
tikai,9835,5,1993.62203115523,28
gan,9696,3,1965.44577672406,29
tās,9416,3,1908.6878541289,30
pie,9320,3,1889.22799495341,31
atrodas,8579,7,1739.02220694263,32
kad,8358,3,1694.22398946573,33
viņa,8333,4,1689.15631780545,34
pasaules,8060,8,1633.81734327516,35
valsts,7972,6,1615.97913903096,36
nav,7540,3,1528.40977274128,37
savu,7059,4,1430.90776999744,38
gadu,6859,4,1390.36639671518,39
kļuva,6567,5,1331.17599172307,40
jo,6453,2,1308.06740895218,41
kur,6294,3,1275.83701719279,42
jau,6089,3,1234.28210957847,43
tam,6013,3,1218.87638773121,44
m,5934,1,1202.86254528471,45
ASV,5727,3,1160.90222393757,46
Rīgas,5561,5,1127.2528841133,47
tomēr,5559,5,1126.84747038047,48
kara,5545,4,1124.00957425071,49
kuru,5468,4,1108.40114553704,50
starp,5409,5,1096.44144041878,51
ļoti,5372,4,1088.94128636156,52
pret,5158,4,1045.56201694954,53
gadam,5129,5,1039.68351782361,54
pilsētas,5071,8,1027.92651957175,55
viens,5062,5,1026.10215777405,56
taču,5036,4,1020.83177924736,57
dzimis,5035,6,1020.62907238095,58
piemēram,4957,8,1004.81793680086,59
vēl,4939,3,1001.16921320546,60
vēlāk,4927,5,998.736730808525,61
km,4910,2,995.290714079532,62
šo,4833,2,979.682285365862,63
ko,4796,2,972.182131308643,64
g,4758,1,964.479270385013,65
viena,4655,5,943.600463144648,66
kurš,4652,4,942.992342545414,67
Eiropas,4629,7,938.330084617954,68
kopā,4623,4,937.113843419486,69
kura,4567,4,925.762258900453,70
pilsēta,4527,7,917.653984244001,71
kurā,4480,4,908.126761522669,72
vairāk,4480,6,908.126761522669,73
pat,4471,3,906.302399724967,74
pa,4459,2,903.869917328032,75
kuras,4449,5,901.842848663919,76
ja,4416,2,895.153522072345,77
tie,4297,3,871.031404969399,78
ap,4284,2,868.396215706052,79
parasti,4253,7,862.112302847302,80
kopš,4218,4,855.017562522906,81
latviešu,4169,8,845.084926068752,82
Latvijā,4122,7,835.55770334742,83
šajā,4092,4,829.476497355081,84
daļa,4091,4,829.27379048867,85
jūras,4031,5,817.111378503991,86
jeb,3995,3,809.813931313184,87
zemes,3975,5,805.759793984958,88
tajā,3884,4,787.313469141528,89
iela,3848,4,780.016021950721,90
sāka,3832,4,776.77271208814,91
viņu,3740,4,758.1236803783,92
pirmo,3738,5,757.718266645477,93
tad,3720,3,754.069543050073,94
notika,3644,6,738.663821202814,95
pirms,3634,5,736.636752538701,96
Krievijas,3607,9,731.163667145595,97
grupas,3520,6,713.528169767811,98
vācu,3468,4,702.987412714423,99
i,3347,1,678.459881878655,100
daudz,3338,5,676.635520080953,101
nekā,3318,4,672.581382752727,102
novada,3287,6,666.297469893976,103
vienu,3285,5,665.892056161154,104
visu,3273,4,663.459573764218,105
laika,3221,5,652.91881671083,106
gs,3143,2,637.107681130748,107
trīs,3142,4,636.904974264336,108
ieguva,3091,6,626.566924077359,109
gados,3073,5,622.918200481956,110
ūdens,3070,5,622.310079882722,111
pirmais,2988,7,605.688116836994,112
s,2971,1,602.242100108002,113
vietu,2953,5,598.593376512599,114
bieži,2921,5,592.106756787437,115
vietā,2899,5,587.647205726388,116
būt,2897,3,587.241791993565,117
ne,2875,2,582.782240932516,118
iedzīvotāju,2847,11,577.106448673,119
dēļ,2843,3,576.295621207355,120
lielākā,2842,7,576.092914340943,121
šīs,2791,3,565.754864153966,122
gadsimta,2789,8,565.349450421144,123
vēsture,2777,7,562.916968024208,124
