word,count,length,per_million,rank
ir,356437,2,34687.362478982,1
m,327203,1,31842.3986993784,2
buvo,112337,4,10932.2944554056,3
yra,89285,3,8688.94407408856,4
nuo,85292,3,8300.35748409208,5
iš,74099,3,7211.08883850466,6
su,71537,2,6961.76280705688,7
d,54509,1,5304.64974558429,8
Lietuvos,52117,8,5071.86759600463,9
o,34618,1,3368.91825006214,10
iki,34612,3,3368.33434834914,11
kad,33513,3,3261.38301791936,12
kaip,33380,4,3248.43986328136,13
a,33194,1,3230.33891017859,14
apie,28875,4,2810.02699377619,15
po,28567,2,2780.05337250925,16
bei,27669,3,2692.66274946471,17
taip,26883,4,2616.1716250627,18
savo,25140,4,2446.54817743839,19
tai,24742,3,2407.81603047656,20
jo,24192,2,2354.29170678558,21
pat,24106,3,2345.92244889936,22
jis,23771,3,2313.32126992394,23
prie,22000,4,2140.972947639,24
km,21430,2,2085.50228490472,25
kai,21035,3,2047.06208879938,26
metų,20776,5,2021.85699818854,27
ar,20726,2,2016.99115058027,28
tačiau,20526,7,1997.52776014719,29
jų,20317,3,1977.18851714462,30
tik,20289,3,1974.46364248399,31
per,20202,3,1965.9970676456,32
arba,19470,4,1894.76105866052,33
pagal,19198,5,1868.29084767153,34
metais,18668,6,1816.71286302386,35
dėl,18645,4,1814.47457312406,36
rajono,18580,6,1808.1489712333,37
metu,17880,4,1740.02710471752,38
šiaurės,17152,9,1669.1803635411,39
bet,16922,3,1646.79746454305,40
lietuvių,16765,9,1631.51870305309,41
jos,16274,3,1583.73607953987,42
Vilniaus,16145,8,1571.18219271053,43
gali,15781,4,1535.75882212232,44
g,15680,1,1525.92980995362,45
vėliau,15094,7,1468.90207598469,46
už,14470,3,1408.17629783347,47
tapo,14380,4,1399.41777213858,48
istorija,14140,8,1376.06170361889,49
dar,13892,3,1351.92709948187,50
turi,13352,4,1299.37594531254,51
narys,12755,5,1241.27772486979,52
biografija,12751,10,1240.88845706113,53
to,12741,2,1239.91528753948,54
miesto,12626,6,1228.72383804046,55
