word,count,length,per_million,rank
на,519392,2,59189.4116557074,1
во,325053,2,37042.7265474298,2
и,305132,1,34772.5485901387,3
се,208496,2,23760.0031817363,4
од,193444,2,22044.6917710066,5
е,137224,1,15637.9147638831,6
за,133482,2,15211.4800509579,7
со,118223,2,13472.5791197645,8
да,102613,2,11693.678566915,9
како,61034,4,6955.37580670177,10
го,56379,2,6424.89649385653,11
година,52748,6,6011.11123393363,12
што,42852,3,4883.37261311375,13
ја,37671,2,4292.95084730253,14
кои,35864,3,4087.02686914756,15
дека,34647,4,3948.33872226622,16
по,33162,2,3779.1095537216,17
ги,32665,2,3722.47191280128,18
не,32527,2,3706.74556582542,19
а,32430,1,3695.69153932789,20
кој,29488,3,3360.42405524825,21
или,29145,3,3321.33610588071,22
до,28923,2,3296.03719987606,23
бил,27568,3,3141.62270601885,24
тоа,23649,3,2695.01724371154,25
која,23542,4,2682.82362685344,26
тој,22420,3,2554.96158839751,27
но,20867,2,2377.98320540102,28
има,19428,3,2213.99615251502,29
така,17036,4,1941.40613826673,30
биле,16930,4,1929.32648044469,31
многу,16131,5,1838.27321063516,32
била,15582,4,1775.70969983988,33
дел,15352,3,1749.49912154677,34
време,14866,5,1694.11503002308,35
ќе,14730,2,1678.61660111933,36
може,14642,4,1668.58820594631,37
еден,14271,4,1626.30940356917,38
кога,13654,4,1555.99667832202,39
македонија,13462,10,1534.11654339908,40
исто,12797,4,1458.33378442118,41
беше,12747,4,1452.63583261834,42
страна,12268,6,1398.04945434704,43
сите,11994,4,1366.82467846743,44
некои,11786,5,1343.12119896758,45
овој,11745,4,1338.44887848924,46
според,11504,6,1310.98475079951,47
ова,11411,3,1300.38656044621,48
околу,11383,5,1297.19570743661,49
една,11127,4,1268.02219420603,50
само,10922,4,1244.66059181435,51
таа,10913,3,1243.63496048983,52
век,10794,3,1230.07383519905,53
тие,10767,3,1226.99694122551,54
години,10746,6,1224.60380146832,55
јазик,10507,5,1197.3675918507,56
му,10418,2,1187.22523764163,57
повеќе,10417,6,1187.11127860557,58
кон,10279,3,1171.38493162971,59
кај,10275,3,1170.92909548548,60
оваа,10213,4,1163.86363524995,61
други,10200,5,1162.3821677812,62
каде,10009,4,1140.61599189432,63
овие,9546,4,1087.85295819994,64
наоѓа,9450,5,1076.91289073847,65
градот,8980,6,1023.35214379169,66
било,8934,4,1018.11002813307,67
број,8875,4,1011.38644500571,68
поради,8743,6,996.343852246184,69
под,8418,3,959.307165527665,70
пред,8197,4,934.122218559072,71
неговата,7980,8,909.393107734707,72
неколку,7839,7,893.324883650673,73
