word,count,length,per_million,rank
आहे,203621,3,15064.78521281920,1
या,125955,2,9318.70986529210,2
आणि,99264,3,7343.99123550756,3
मुंबई,77624,5,5742.96800113877,4
व,70094,1,5185.86518437366,5
नाही,62701,4,4638.89823558953,6
पुणे,59563,4,4406.73506971849,7
देश,58052,3,4294.94458417639,8
हे,56563,2,4184.78175626626,9
आहेत,50456,4,3732.95879451533,10
तर,44450,2,3288.60826098395,11
ते,42191,2,3121.47741595442,12
हा,41822,2,3094.17715839979,13
यांनी,40959,5,3030.32858856337,14
द,37477,1,2772.71477608314,15
होते,36410,4,2693.77338093196,16
असे,36359,3,2690.00017460327,17
एक,36161,2,2675.35125591543,18
मुख्य,33164,5,2453.61989577664,19
ई,32265,1,2387.10788617879,20
डॉक्टर,31663,6,2342.56925461271,21
केली,31281,4,2314.30719936646,22
ब्लॉग,30581,5,2262.51809289427,23
पैलतीर,29102,6,2153.09510936232,24
ही,28660,2,2120.39398784702,25
केले,28275,4,2091.90997928732,26
काही,27827,4,2058.76495114512,27
पण,27287,2,2018.81335472371,28
उत्तर,26722,5,1977.01214735688,29
विशेष,25945,5,1919.52623917275,30
करण्यात,23601,7,1746.10671692873,31
करून,23539,4,1741.51968178405,32
आणखी,23250,4,1720.13817925482,33
मराठवाडा,22854,8,1690.84034187913,34
पश्चिम,22238,6,1645.26592818360,35
प्रतिक्रिया,22102,11,1635.20404464043,36
आता,21579,3,1596.51018366193,37
ताज्या,21507,6,1591.18330413907,38
केला,21402,4,1583.41493816825,39
त्या,21262,4,1573.05711687381,40
सुरू,21248,4,1572.02133474436,41
दोन,20737,3,1534.21528701967,42
की,20385,2,1508.17276490794,43
होती,20116,4,1488.27095113505,44
अंक,20009,3,1480.35461628859,45
आले,19911,3,1473.10414138249,46
झाले,19737,4,1460.23084920226,47
होता,19634,4,1452.61045210706,48
मात्र,19574,5,1448.17138583802,49
संबंधित,19522,7,1444.32419507151,50
पेपर,18802,4,1391.05539984298,51
त्यामुळे,18787,8,1389.94563327571,52
तो,18721,2,1385.06266037977,53
त्यांनी,18695,7,1383.13906499651,54
झाली,18498,4,1368.56413074648,55
मराठी,18291,5,1353.24935211828,56
अशी,18115,3,1340.22809106241,57
झाला,17804,4,1317.21893090120,58
संवाद,17781,5,1315.51728883140,59
मागील,17712,5,1310.41236262200,60
काय,17635,3,1304.71556091006,61
आज,17611,2,1302.93993440244,62
तरी,17153,3,1269.05506188206,63
का,17089,2,1264.32005786175,64
इन,17049,2,1261.36068034905,65
