word,count,length,per_million,rank
i,1706229,1,47423.40106,1
og,1309285,2,36390.62966,2
av,783451,2,21775.45393,3
som,707342,3,19660.05932,4
er,680142,2,18904.05499,5
en,673634,2,18723.16984,6
til,553743,3,15390.8862,7
på,524176,2,14569.09282,8
det,453330,3,12599.97949,9
den,448693,3,12471.09743,10
for,429498,3,11937.58628,11
ble,416552,3,11577.76158,12
med,414146,3,11510.88855,13
var,358927,3,9976.116378,14
han,329812,3,9166.88601,15
de,326442,2,9073.219297,16
fra,271647,3,7550.231902,17
et,263414,2,7321.401621,18
har,251479,3,6989.676928,19
at,218617,2,6076.301404,20
også,147383,4,4096.403893,21
ved,146473,3,4071.111101,22
etter,135204,5,3757.897396,23
men,128664,3,3576.122826,24
om,125942,2,3500.466805,25
seg,125915,3,3499.716359,26
ikke,116462,4,3236.977061,27
hadde,109493,5,3043.278746,28
eller,99064,5,2753.412234,29
under,92614,5,2574.139149,30
kan,85366,3,2372.686231,31
andre,84167,5,2339.360893,32
dette,84069,5,2336.637054,33
da,81808,2,2273.794194,34
første,76407,6,2123.677305,35
sin,75361,3,2094.604492,36
over,74847,4,2080.318233,37
to,70881,2,1970.086132,38
mot,69111,3,1920.890262,39
hans,65958,4,1833.254907,40
år,64845,2,1802.319877,41
hun,64721,3,1798.873387,42
mellom,63414,6,1762.546267,43
ut,62163,2,1727.775627,44
født,60039,4,1668.740583,45
denne,58773,5,1633.553029,46
der,57641,3,1602.089907,47
fikk,57409,4,1595.641635,48
flere,55315,5,1537.440419,49
ligger,50485,6,1403.194063,50
opp,49491,3,1375.566552,51
mange,47603,5,1323.090957,52
man,47347,3,1315.975622,53
blir,46775,4,1300.077296,54
blant,45655,5,1268.947706,55
noen,44216,4,1228.951742,56
kom,43852,3,1218.834625,57
så,43324,2,1204.159247,58
sammen,40692,6,1131.00471,59
inn,40257,3,1118.9142,60
Norge,40231,5,1118.191549,61
senere,40168,6,1116.440509,62
hvor,39862,4,1107.935461,63
være,39689,4,1103.127051,64
siden,39312,5,1092.648608,65
alle,39211,4,1089.841386,66
før,38386,3,1066.911108,67
disse,37911,5,1053.708827,68
ha,37806,2,1050.790428,69
kjent,37343,5,1037.921677,70
norsk,37244,5,1035.170044,71
kommune,37177,7,1033.307827,72
vært,36750,4,1021.439671,73
tidligere,36441,9,1012.85124,74
blitt,36227,5,1006.903265,75
tre,36005,3,1000.732935,76
store,35115,5,975.9960288,77
annet,34497,5,958.8191657,78
selv,34276,4,952.6766305,79
noe,34179,3,949.9805857,80
byen,33776,4,938.7794922,81
død,33144,3,921.2135092,82
mer,33141,3,921.1301264,83
sitt,32563,4,905.0650344,84
samme,32442,5,901.7019269,85
sine,32414,4,900.9236872,86
del,32000,3,889.4168566,87
gjennom,31986,7,889.0277367,88
enn,31945,3,887.8881714,89
kunne,30567,5,849.587658,90
rundt,30137,5,837.636119,91
mens,29951,4,832.4663835,92
mest,29680,4,824.9341345,93
navnet,29673,6,824.7395746,94
både,29517,4,820.4036674,95
gikk,29351,4,815.7898175,96
