word,count,length,per_million,rank
i,353272,1,49131.2071310845,1
og,269675,2,37504.9771368102,2
er,166160,2,23108.6567203203,3
av,163402,2,22725.0886218932,4
som,138852,3,19310.8040619278,5
til,127878,3,17784.5980024141,6
på,120488,2,16756.8357662371,7
ein,111636,3,15525.7462784646,8
det,97891,3,13614.1641490664,9
den,85705,3,11919.3995198306,10
med,77047,3,10715.2905291919,11
for,73266,3,10189.4489845389,12
dei,69838,3,9712.7008186912,13
vart,62144,4,8642.65986535619,14
frå,61600,3,8567.00321359973,15
han,60223,3,8375.49731384118,16
var,57990,3,8064.94344734819,17
har,57891,3,8051.17504932633,18
eit,54146,3,7530.34019486316,19
ei,45586,2,6339.86052751879,20
at,37191,2,5172.32819021084,21
om,33812,2,4702.39468601029,22
etter,27556,5,3832.34319081094,23
ved,26346,3,3664.06277054381,24
eller,25123,5,3493.97437881925,25
seg,24534,3,3412.05936432558,26
men,23825,3,3313.45538253269,27
mellom,22564,6,3138.08215116338,28
ligg,22393,4,3114.30037276199,29
kan,21819,3,3034.47147918072,30
ikkje,20729,5,2882.8800262128,31
andre,18582,5,2584.28658628426,32
ut,18467,2,2568.2929926225,33
over,17844,4,2481.64943739405,34
vert,17070,4,2374.00559831408,35
dette,16934,5,2355.09143537496,36
hadde,16242,5,2258.85172394946,37
under,15909,5,2212.53983969412,38
byen,15888,4,2209.61927041676,39
ho,15844,2,2203.49998240705,40
der,15711,3,2185.00304365041,41
òg,14580,2,2027.70952685526,42
km,14399,2,2002.53700117894,43
blei,13614,4,1893.36334009654,44
då,13275,2,1846.21700747624,45
to,13131,2,1826.19024671718,46
mange,12939,5,1799.48789903842,47
denne,12651,5,1759.43437752029,48
opp,12361,3,1719.10270654718,49
mot,11952,3,1662.22114300234,50
fleire,11926,6,1658.60520008751,51
lag,11357,3,1579.4716801437,52
kommune,11269,7,1567.23310412427,53
første,11067,6,1539.14000917059,54
kalla,10712,5,1489.76848091039,55
blir,10509,4,1461.53631122921,56
fekk,10353,4,1439.84065374023,57
år,10297,2,1432.05246900059,58
inn,9673,3,1345.26983904465,59
namnet,9646,6,1341.51482140232,60
del,9296,3,1292.8386667796,61
kom,9246,3,1285.88493040492,62
desse,9216,5,1281.71268858012,63
store,8981,5,1249.03012761914,64
elva,8948,4,1244.44066161186,65
The,8931,3,1242.07639124447,66
gjennom,8817,7,1226.22187231021,67
går,8663,3,1204.80436427621,68
sin,8567,3,1191.45319043683,69
så,8379,2,1165.30714166805,70
Noreg,8254,5,1147.92280073137,71
øya,8215,3,1142.49888635912,72
også,8005,4,1113.29319358548,73
sitt,7993,4,1111.62429685556,74
berre,7914,5,1100.63739338358,75
sidan,7847,5,1091.31938664151,76
rundt,7831,5,1089.09419100161,77
vore,7816,4,1087.00807008921,78
meter,7811,5,1086.31269645174,79
anna,7773,4,1081.02785680699,80
største,7718,7,1073.37874679485,81
fram,7633,4,1061.5573949579,82
alle,7564,4,1051.96123876085,83
før,7524,3,1046.39824966111,84
enn,7441,3,1034.85504727915,85
meir,7346,4,1021.64294816727,86
hans,7144,4,993.549853213579,87
ha,7096,2,986.874266293891,88
saman,7071,5,983.397398106553,89
dag,7049,3,980.337754101696,90
her,7022,3,976.582736459372,91
norsk,6950,5,966.56935607984,92
ofte,6873,4,955.86060206284,93
sine,6809,4,946.959819503256,94
tre,6752,3,939.032560036126,95
seinare,6679,7,928.8801049291,96
nord,6678,4,928.741030201607,97
medan,6330,5,880.343025033868,98
området,6280,7,873.389288659193,99
sør,6121,3,851.276406987726,100
mykje,6099,5,848.216762982869,101
fjorden,6089,7,846.826015707934,102
noko,6058,4,842.514699155636,103
same,5990,4,833.057617686077,104
mest,5985,4,832.36224404861,105
si,5969,2,830.137048408714,106
sett,5840,4,812.196408562052,107
sjølv,5813,5,808.441390919728,108
gjekk,5644,5,784.937761973326,109
tidlegare,5611,9,780.34829596604,110
både,5579,4,775.897904686248,111
kjem,5457,4,758.930787932041,112
når,5390,3,749.612781189976,113
stor,5361,4,745.579614092665,114
tok,5334,3,741.82459645034,115
nokre,5331,5,741.40737226786,116
landet,5312,6,738.764952445483,117
