word,count,length,per_million,rank
و,739546,1,47183.48692,1
در,662670,2,42278.75112,2
به,464071,2,29608.01351,3
از,450762,2,28758.89117,4
که,302750,2,19315.63509,5
است,249594,3,15924.24979,6
این,232198,3,14814.37435,7
را,217756,2,13892.96593,8
با,160078,2,10213.07426,9
آن,110665,2,7060.494655,10
سال,96194,3,6137.236008,11
شد,83233,2,5310.316285,12
یک,82153,2,5241.411624,13
برای,79663,4,5082.548102,14
بود,74172,3,4732.218945,15
او,70999,2,4529.779605,16
بر,61881,2,3948.045631,17
سیارک,58117,5,3707.90013,18
خود,55507,3,3541.380534,19
شده,54199,3,3457.929335,20
ایران,52015,5,3318.588799,21
می‌شود,51531,6,3287.709303,22
تا,50490,2,3221.292867,23
یا,50214,2,3203.683898,24
کرد,47327,3,3019.491533,25
دارد,46011,4,2935.529929,26
نام,44915,3,2865.604459,27
نیز,44608,3,2846.017671,28
شده‌است,37887,7,2417.213762,29
قرار,37459,4,2389.907101,30
شهر,36804,3,2348.1177,31
می,36414,2,2323.235462,32
دو,35617,2,2272.386374,33
پس,35161,2,2243.293296,34
یکی,35055,3,2236.530431,35
کشف,33101,3,2111.864036,36
وی,30483,2,1944.834036,37
هم,28977,2,1848.750315,38
استفاده,27651,7,1764.150704,39
دیگر,27478,4,1753.113199,40
های,26553,3,1694.097633,41
هر,25727,2,1641.398328,42
بخش,25617,3,1634.380261,43
استان,24953,5,1592.016655,44
عنوان,24594,5,1569.112236,45
می‌باشد,23689,7,1511.372682,46
وجود,23365,4,1490.701284,47
می‌کند,22958,6,1464.734435,48
شهرستان,22863,7,1458.673377,49
توسط,22314,4,1423.646842,50
آنها,21929,4,1399.083606,51
برابر,21895,5,1396.914386,52
کار,21468,3,1369.671524,53
جمعیت,21163,5,1350.212338,54
باشد,20996,4,1339.557636,55
اما,20838,3,1329.477139,56
کشور,20790,4,1326.41471,57
هستند,20636,5,1316.589416,58
مورد,20249,4,1291.898579,59
صورت,19977,4,1274.544813,60
روی,19000,3,1212.211616,61
زمان,18712,4,1193.83704,62
زبان,18377,4,1172.463835,63
میلادی,18293,6,1167.104583,64
بوده,17862,4,1139.60652,65
همچنین,17761,6,1133.162658,66
دانشگاه,17583,7,1121.806149,67
شود,17581,3,1121.678548,68
دست,17492,3,1116.000294,69
نفر,17349,3,1106.876806,70
بین,17316,3,1104.771386,71
دارای,17187,5,1096.541107,72
داشت,16716,4,1066.491019,73
واقع,16490,4,1052.072081,74
بعد,16451,3,1049.583857,75
تهران,15890,5,1013.791714,76
کند,15626,3,996.948353,77
هزار,15597,4,995.0981352,78
مردم,15368,4,980.4877952,79
کتاب,15338,4,978.5737769,80
روز,15301,3,976.2131543,81
هاء,15175,3,968.1742772,82
پیش,15090,3,962.7512253,83
کرده,14477,4,923.6414505,84
بسیار,14333,5,914.4541625,85
می‌کنند,14276,7,910.8175276,86
آب,14137,2,901.9492427,87
آمریکا,14114,6,900.4818286,88
بیشتر,14060,5,897.0365956,89
داد,13946,3,889.7633259,90
مانند,13942,5,889.5081234,91
سه,13877,2,885.3610837,92
نظر,13867,3,884.7230776,93
بزرگ,13765,4,878.2154152,94
بودند,13761,5,877.9602128,95
داشته,13692,5,873.5579706,96
زندگی,13647,5,870.6869431,97
زیر,13620,3,868.9643266,98
قدر,13573,3,865.9656979,99
مطلق,13518,4,862.4566642,100
گروه,13511,4,862.01006,101
تاریخ,13495,5,860.9892502,102
دهستان,13214,6,843.0612784,103
ولی,13162,3,839.7436466,104
فیلم,13091,4,835.2138032,105
انجام,12928,5,824.8143035,106
روستا,12896,5,822.772684,107
دارند,12800,5,816.6478253,108
مرکز,12764,4,814.3510033,109
جنگ,12412,3,791.8931881,110
شرکت,12360,4,788.5755563,111
میان,12351,4,788.0013508,112
چند,12096,3,771.7321949,113
منطقه,12093,5,771.5407931,114
برخی,12083,4,770.9027869,115
داده,11793,4,752.4006097,116
راه,11689,3,745.7653461,117
می‌توان,11665,7,744.2341314,118
حال,11599,3,740.0232911,119
محمد,11580,4,738.8110794,120
دوره,11568,4,738.0454721,121
اولین,11480,5,732.4310183,122
اصلی,11459,4,731.0912055,123
آغاز,11339,4,723.4351321,124
گرفته,11307,5,721.3935125,125
بسیاری,11260,6,718.3948838,126
گرفت,11140,4,710.7388104,127
می‌شوند,11084,7,707.1659762,128
حدود,10934,4,697.5958845,129
جنوب,10917,4,696.5112741,130
جهان,10906,4,695.8094674,131
اسلامی,10809,6,689.6208081,132
بار,10567,3,674.1810601,133
تشکیل,10492,5,669.3960143,134
اول,10487,3,669.0770112,135
تنها,10455,4,667.0353917,136
دوم,10345,3,660.0173244,137
سازمان,10282,6,655.9978859,138
مرکزی,10218,5,651.9146468,139
دولت,10172,4,648.9798187,140
بازی,10044,4,640.8133404,141
اگر,10016,3,639.0269233,142
کردن,9982,4,636.8577025,143
شامل,9945,4,634.4970799,144
دوران,9919,5,632.838264,145
شمال,9910,4,632.2640585,146
شدن,9883,3,630.541442,147
اثر,9881,3,630.4138408,148
شرقی,9840,4,627.7980157,149
جمله,9836,4,627.5428132,150
ملی,9788,3,624.4803839,151
شاه,9751,3,622.1197613,152
آثار,9743,4,621.6093564,153
باید,9734,4,621.0351509,154
همین,9723,4,620.3333442,155
همراه,9685,5,617.9089209,156
می‌دهد,9597,6,612.2944671,157
ایجاد,9585,5,611.5288598,158
کردند,9553,5,609.4872402,159
تولید,9551,5,609.359639,160
ایرانی,9240,6,589.5176489,161
بوده‌است,9207,8,587.4122287,162
ساخته,9176,5,585.4344097,163
شکل,9171,3,585.1154067,164
اساس,9162,4,584.5412012,165
فارسی,9119,5,581.7977749,166
نوع,9041,3,576.8213272,167
شدند,9004,4,574.4607046,168
موسیقی,9001,6,574.2693028,169
مختلف,8941,5,570.4412661,170
ماه,8895,3,567.506438,171
نشان,8715,4,556.0223279,172
طول,8573,3,546.9626411,173
غربی,8510,4,542.9432026,174
زیادی,8456,5,539.4979696,175
یافت,8453,4,539.3065677,176
نمود,8441,4,538.5409604,177
زمین,8417,4,537.0097457,178
دلیل,8348,4,532.6075036,179
سر,8308,2,530.0554791,180
چون,8280,3,528.269062,181
همه,8266,3,527.3758534,182
بن,8199,2,523.1012125,183
بیش,8193,3,522.7184088,184
توجه,8165,4,520.9319917,185
توابع,8150,5,519.9749825,186
جمهوری,8137,6,519.1455746,187
ای,8136,2,519.0817739,188
همان,8130,4,518.6989703,189
علی,8121,3,518.1247648,190
سیاسی,8119,5,517.9971636,191
ساخت,8061,4,514.2967281,192
تمام,7881,4,502.8126181,193
گفته,7857,4,501.2814034,194
طور,7834,3,499.8139893,195
کنند,7816,4,498.6655783,196
سطح,7788,3,496.8791612,197
نقش,7648,3,487.9470756,198
یعنی,7633,4,486.9900664,199
نخستین,7611,6,485.586453,200
