word,count,length,per_million,rank
w,5338486,1,63424.35357,1
i,2157440,1,25631.65612,2
na,1707680,2,20288.24279,3
z,1687397,1,20047.26882,4
się,1232898,3,14647.55338,5
do,1228740,2,14598.1539,6
roku,629215,4,7475.44428,7
jest,598246,4,7107.514345,8
a,521895,1,6200.419558,9
od,477886,2,5677.566754,10
przez,468361,5,5564.404152,11
po,413061,2,4907.407626,12
to,365101,2,4337.614618,13
nie,354617,3,4213.058532,14
oraz,351622,4,4177.47617,15
o,341828,1,4061.11769,16
był,284509,3,3380.134257,17
został,263108,6,3125.87779,18
jego,260930,4,3100.001869,19
r,259281,1,3080.410779,20
jako,238664,4,2835.468693,21
pod,238639,3,2835.171678,22
latach,222102,6,2638.702392,23
za,202533,2,2406.211162,24
że,202091,2,2400.959942,25
m,190410,1,2262.182792,26
dla,187081,3,2222.632314,27
tym,179169,3,2128.6331,28
są,174582,2,2074.136842,29
także,166339,5,1976.205154,30
ze,155680,2,1849.569965,31
jak,148062,3,1759.063644,32
ur,142626,2,1694.480767,33
lub,140783,3,1672.584843,34
jednak,140643,6,1670.921561,35
we,139582,2,1658.316257,36
który,136633,5,1623.280402,37
również,136267,7,1618.932107,38
jej,130458,3,1549.91777,39
lat,129928,3,1543.621059,40
przy,124029,4,1473.537469,41
tego,120283,4,1429.032786,42
była,115612,4,1373.538558,43
miejscowość,114685,11,1362.525253,44
km,114326,2,1358.260122,45
in,107136,2,1272.838693,46
została,105797,7,1256.930586,47
Polsce,105186,6,1100.618684,48
osób,104748,4,1244.467849,49
co,104626,2,1243.018417,50
ii,104519,2,1241.747194,51
podczas,102821,7,1221.573955,52
które,99817,5,1185.884668,53
gmina,99159,5,1178.067241,54
wieku,98065,5,1165.069878,55
ich,96114,3,1141.89085,56
gdzie,94131,5,1118.331644,57
miejscu,93022,7,1105.156072,58
też,92220,3,1095.62784,59
według,90973,6,1080.812747,60
Polski,89350,6,1061.530552,61
ma,87326,2,1037.484242,62
nad,87254,3,1036.628839,63
wieś,83942,4,997.2803314,64
go,81892,2,972.9251257,65
ale,81294,3,965.8205339,66
miejsce,80928,7,961.4722387,67
względem,80845,8,960.4861499,68
były,79044,4,939.0892106,69
rok,78726,3,935.3111836,70
później,78570,7,933.4578118,71
było,77781,4,924.0840277,72
tej,77682,3,922.9078495,73
już,77143,3,916.5042125,74
powiecie,76898,8,913.5934684,75
czasie,76824,6,912.7143049,76
ten,76786,3,912.2628425,77
przed,74133,5,880.7436421,78
miasta,73491,6,873.1163045,79
województwie,73098,12,868.4472334,80
położona,72516,8,861.5327311,81
znajduje,72341,8,859.4536281,82
obecnie,71581,7,850.4243811,83
która,71276,5,846.8008018,84
natomiast,71097,9,844.6741765,85
wojny,70539,5,838.0448083,86
danych,70305,6,835.2647507,87
następnie,69680,9,827.839383,88
tylko,69316,5,823.514849,89
The,68679,3,815.9469143,90
ZM,67703,2,708.4135417,91
pierwszy,66869,8,794.4430497,92
wśród,65953,5,783.560431,93
części,65698,6,780.530881,94
wraz,65558,4,778.8675987,95
gminie,64412,6,765.2524446,96
miasto,63386,6,753.0629612,97
Francją,62156,7,650.3722449,98
września,61769,8,733.8520501,99
być,61674,3,732.7233942,100
świata,60801,6,722.3516408,101
de,60544,2,719.2983296,102
n,60312,1,716.5420332,103
p,60131,1,714.3916467,104
ok,59675,2,708.9740985,105
u,59072,1,701.8101038,106
około,58850,5,699.1726133,107
może,58511,4,695.1450939,108
gdy,57768,3,686.3178169,109
województwa,57084,11,678.1914946,110
którym,56590,6,672.322484,111
której,56333,6,669.2691729,112
maja,55705,4,661.8081635,113
należała,55085,8,654.4421988,114
między,54660,6,649.3929489,115
dwa,54642,3,649.1790983,116
kraju,54526,5,647.8009501,117
on,54452,2,646.9217865,118
część,54427,5,646.6247718,119
powierzchni,54207,11,644.0110424,120
stycznia,54118,8,642.9536701,121
czerwca,53762,7,638.7241807,122
których,53745,7,638.5222107,123
bardzo,53401,6,634.4352884,124
