word,count,length,per_million,rank
de,1701990,2,48222.2311061454,1
a,1243051,1,35219.1802529540,2
o,1132122,1,32076.2452918945,3
e,838584,1,23759.4765244895,4
que,782252,3,22163.4302946812,5
do,664119,2,18816.3854664141,6
da,586378,2,16613.7612039785,7
em,477583,2,13531.2885495016,8
para,388861,4,11017.5412371206,9
no,325882,2,9233.1665387769,10
os,321033,2,9095.7805384868,11
um,319176,2,9043.1664319620,12
com,318696,3,9029.5666629088,13
é,313987,1,8896.1472619259,14
não,288585,3,8176.4361504868,15
na,270495,2,7663.8948542922,16
uma,253416,3,7179.9980716661,17
se,208455,2,5906.1247041590,18
as,203631,2,5769.4470251738,19
por,198214,3,5615.9679648373,20
dos,190678,3,5402.4515907012,21
mais,156462,4,4433.0147200217,22
ao,152496,2,4320.6466282192,23
como,144646,4,4098.2337384941,24
são,123583,3,3501.4588727259,25
das,117751,3,3336.2216787289,26
foi,115022,3,3258.9013250907,27
à,114266,1,3237.4816888318,28
página,100187,6,2838.5834627885,29
mas,97415,3,2760.0447965060,30
editoria,97283,8,2756.3048600163,31
ou,88950,2,2520.2072026814,32
ser,87470,3,2478.2745814338,33
sua,82106,3,2326.2971622637,34
ele,79566,3,2254.3317176902,35
pelo,77443,4,2194.1810724818,36
seu,73322,3,2077.4213885891,37
pela,70140,4,1987.2662529069,38
nos,67044,3,1899.5477425134,39
entre,63451,5,1797.7478045794,40
tem,63379,3,1795.7078392214,41
Brasil,61631,6,1746.1820135858,42
já,61268,2,1735.8971882393,43
está,61104,4,1731.2506004794,44
sobre,60602,5,1717.0275086779,45
também,59804,6,1694.4178926268,46
Paulo,57990,5,1643.0220987464,47
até,57791,3,1637.3838611597,48
segundo,57059,7,1616.6442133535,49
disse,52192,5,1478.7482217240,50
anos,50238,4,1423.3858285363,51
quando,49337,6,1397.8579287093,52
ontem,45626,5,1292.7147142163,53
há,45621,2,1292.5730499553,54
governo,44405,7,1258.1203016871,55
dia,44311,3,1255.4570135808,56
ainda,44215,5,1252.7370597702,57
pode,44058,4,1248.2888019757,58
só,43719,2,1238.6839650818,59
muito,42643,5,1208.1978161208,60
sem,42600,3,1206.9795034764,61
mesmo,42281,5,1197.9413236264,62
era,42254,3,1197.1763366172,63
folha,42152,5,1194.2863856934,64
às,41327,2,1170.9117826331,65
dois,40821,4,1156.5753594228,66
vai,40821,3,1156.5753594228,67
hoje,40350,4,1143.2305860393,68
eu,40339,2,1142.9189246651,69
aos,38617,3,1094.1297531866,70
ano,38329,3,1085.9698917546,71
diz,37953,3,1075.3167393296,72
seus,37368,4,1058.7420207959,73
contra,37347,6,1058.1470308998,74
us,37138,2,1052.2254647912,75
rio,36889,3,1045.1705845949,76
h,35921,1,1017.7443836708,77
presidente,35878,10,1016.5260710264,78
isso,35309,4,1000.4046781279,79
foram,34754,5,984.6799451601,80
ter,34479,3,976.8884108066,81
depois,33730,6,955.6671045131,82
mundo,32993,5,934.7857924459,83
ela,31559,3,894.1564823993,84
r,31515,1,892.9098369028,85
três,30604,4,867.0986085538,86
local,30468,5,863.2453406554,87
grande,29985,6,849.5605730455,88
país,29756,4,843.0723498930,89
mil,29557,3,837.4341123064,90
será,29490,4,835.5358112094,91
onde,29401,4,833.0141873641,92
todos,28308,5,802.0463799157,93
estão,28057,5,794.9348340150,94
tempo,27888,5,790.1465819941,95
ii,27597,2,371.7908937000,96
deve,27485,4,778.7284425598,97
apenas,27468,6,778.2467840725,98
maior,27244,5,771.9002251810,99
quem,27124,4,768.5002829177,100
pessoas,27053,7,766.4886504119,101
dias,26431,4,748.8656163471,102
porque,25817,6,731.4692450998,103
fazer,25129,5,711.9762427901,104
estado,25120,6,711.7212471204,105
suas,25087,4,710.7862629979,106
parte,24887,5,705.1196925591,107
primeiro,24792,8,702.4280716006,108
