word,count,length,per_million,rank
de,5361029,2,70980.7099147414,1
a,2736942,1,36237.4622773860,2
e,2449099,1,32426.3841272791,3
o,2239915,1,29656.7612017540,4
em,1548724,2,20505.3039224369,5
do,1537331,2,20354.4591446790,6
da,1475201,2,19531.8499950171,7
que,1227627,3,16253.9385574121,8
uma,1031995,3,13663.7458458933,9
um,965151,2,12778.7227330653,10
com,893339,3,11827.9226645715,11
no,843553,2,11168.7496543499,12
na,717489,2,9499.6461642006,13
para,684876,4,9067.8458712998,14
os,664423,2,8797.0455342962,15
por,658975,3,8724.9133172133,16
foi,577538,3,7646.6770171808,17
como,480097,4,6356.5457094035,18
dos,450493,3,5964.5849615105,19
as,432744,2,5729.5859304893,20
se,366327,2,4850.2163522968,21
ao,360568,2,4773.9664554209,22
sua,338523,3,4482.0878347176,23
mais,325453,4,4309.0393623840,24
são,284729,3,3769.8483916641,25
seu,268398,3,3553.6238620789,26
não,260419,3,3447.9808811493,27
das,258735,3,3425.6845056780,28
ou,253557,2,3357.1271231422,29
km,235747,2,3121.3204443159,30
também,198428,6,2627.2121092727,31
pela,189799,4,2512.9630451744,32
ser,182462,3,2415.8202263900,33
pelo,178266,4,2360.2646495032,34
entre,167949,5,2223.6662494217,35
era,157007,3,2078.7927693702,36
anos,152983,4,2025.5144944911,37
cidade,151630,6,2007.6006013719,38
tem,145975,3,1932.7276778030,39
ele,145356,3,1924.5320386006,40
mas,140026,3,1853.9621566161,41
nos,127486,3,1687.9309520972,42
área,124505,4,1648.4621306721,43
seus,123363,4,1633.3419045508,44
estado,118944,6,1574.8337791307,45
até,118043,3,1562.9044238458,46
segundo,116334,7,1540.2770451758,47
habitantes,112292,10,1486.7604479935,48
grande,111742,6,1479.4783776199,49
quando,109882,6,1454.8517396290,50
onde,108399,4,1435.2166298761,51
região,106878,6,1415.0783952610,52
foram,99724,5,1320.3585198919,53
população,98758,9,1307.5685562902,54
rio,94746,3,1254.4491629465,55
nas,92400,3,1223.3878227710,56
sobre,91365,5,1209.6842903406,57
durante,86829,7,1149.6270699500,58
este,86756,4,1148.6605406095,59
depois,85747,6,1135.3012515059,60
parte,85440,5,1131.2365322246,61
suas,84120,4,1113.7595633279,62
nome,84053,4,1112.8724747551,63
mesmo,83692,5,1108.0927885644,64
sendo,83255,5,1102.3068526493,65
ainda,82843,5,1096.8519199331,66
pode,81016,4,1072.6622061647,67
outros,80686,6,1068.2929639405,68
aos,80062,3,1060.0311240984,69
ano,79927,3,1058.2437068249,70
já,79773,2,1056.2047271202,71
primeiro,78939,8,1045.1624604082,72
está,78655,4,1041.4022640698,73
após,77170,4,1021.7406740610,74
muito,75988,5,1006.0908428217,75
dois,75754,4,1002.9926528809,76
família,72943,7,965.7746532076,77
primeira,72192,8,955.8313171156,78
história,69855,8,924.8891380916,79
maior,69234,5,916.6670186334,80
ela,64366,3,852.2140757627,81
sul,64283,3,851.1151451427,82
esta,62567,4,828.3950855770,83
forma,62061,5,821.6955808332,84
apenas,61871,6,819.1799565223,85
município,61719,9,817.1674570736,86
densidade,61253,9,810.9975574480,87
Janeiro,60697,7,803.6360463066,88
assim,60203,5,797.0954230983,89
possui,60164,6,796.5790581082,90
então,60054,5,795.1226440334,91
dia,60023,3,794.7122000669,92
banda,59408,5,786.5695213764,93
grupo,57692,5,763.8494618106,94
todos,57136,5,756.4879506693,95
século,56978,6,754.3960104529,96
três,56912,4,753.5221620080,97
desde,56607,5,749.4839229827,98
nova,56068,4,742.3474940165,99
além,55459,4,734.2842560937,100
tempo,55232,5,731.2787470486,101
num,55169,3,730.4446189876,102
mundo,55091,5,729.4118890073,103
Paulo,54774,5,725.2147684465,104
água,54288,4,718.7800662618,105
