word,count,length,per_million,rank
в,4561137,1,49065.7778909834,1
и,2827149,1,30412.6503761487,2
на,1380591,2,14851.5099117371,3
с,1078617,1,11603.0678647536,4
по,597474,2,6427.24096637251,5
из,487508,2,5244.2974740898,6
не,472922,2,5087.39066854595,7
года,448239,4,4821.8668319054,8
к,431813,1,4645.16648994302,9
а,375763,1,4042.21664415026,10
для,366634,3,3944.0127343868,11
году,365098,4,3927.48943442003,12
что,363451,3,3909.77206785409,13
от,348873,2,3752.95132116423,14
был,346481,3,3727.21972382014,15
как,340729,3,3665.34340779873,16
его,338905,3,3645.72198908819,17
он,281706,2,3030.4119403906,18
до,247795,2,2665.61921566843,19
за,242265,2,2606.13103284534,20
г,230193,1,2476.26822216898,21
также,214909,5,2311.85278161418,22
при,209444,3,2253.06382697979,23
после,203373,5,2187.75591415539,24
о,199184,1,2142.69334673298,25
но,197123,2,2120.52243447288,26
или,192510,3,2070.89874778881,27
время,179139,5,1927.06213069524,28
во,165041,2,1775.40491524499,29
это,164497,3,1769.55291317343,30
была,162274,4,1745.63930911995,31
были,159331,4,1713.98040820705,32
было,156163,4,1679.90110202558,33
у,152665,1,1642.27186811687,34
же,135424,2,1456.80428040389,35
так,131138,3,1410.69824937681,36
их,130865,2,1407.76149098428,37
под,123674,3,1330.40533860077,38
км,121247,2,1304.29723377045,39
более,107652,5,1158.05096876506,40
то,106992,2,1150.95111331058,41
является,105025,8,1129.7913925849,42
только,97175,6,1045.34614210367,43
они,95358,3,1025.80002489037,44
человек,95079,7,1022.79872235734,45
который,94909,7,1020.96997170998,46
её,94745,2,1019.20576520311,47
однако,93768,6,1008.69582765914,48
где,93318,3,1003.855017122,49
входит,90690,6,975.584683585099,50
год,88056,3,947.249805907702,51
все,88013,3,946.787239567486,52
со,87127,2,937.256221487693,53
области,85126,7,915.730750632541,54
она,83240,3,895.442375803546,55
России,81920,6,881.2426648946,56
лет,81914,3,881.178120754105,57
население,81382,9,875.45520696353,58
того,80764,4,868.807160492523,59
когда,78015,5,839.235186788968,60
которые,77992,7,838.987767583736,61
том,76341,3,821.227371590804,62
между,76016,5,817.731230647314,63
этого,75891,5,816.386561053663,64
и,74350,1,799.809474303144,65
состав,71218,6,766.117432964644,66
стал,71206,4,765.988344683654,67
войны,68233,5,734.006723068277,68
города,67755,6,728.864706542159,69
может,66101,5,711.072038478979,70
через,65140,5,700.734218642996,71
уже,63743,3,685.706191264362,72
один,63475,4,682.823219655575,73
часть,63457,5,682.62958723409,74
этом,63314,4,681.091285218954,75
город,62334,5,670.549075604736,76
чтобы,61719,5,663.933301203977,77
составляет,61612,10,662.782264031813,78
н,61257,1,658.963402385846,79
несколько,60847,9,654.552886118674,80
этот,59978,4,645.204743103617,81
история,59023,7,634.93146740813,82
СССР,58765,4,632.156069366836,83
около,58533,5,629.660362601021,84
которых,58136,7,625.389691971588,85
века,57266,4,616.030791599782,86
затем,56973,5,612.878886072266,87
части,56718,5,610.13576010122,88
района,55895,6,601.282455496627,89
й,55498,1,597.011784867194,90
США,55319,3,595.086218009087,91
площадь,55253,7,594.376232463639,92
всего,54314,5,584.275074476139,93
ему,54283,3,583.941596416914,94
них,53750,3,578.207925269589,95
х,53625,1,576.863255675939,96
других,53539,6,575.938122995508,97
есть,53017,4,570.322782772424,98
можно,52432,5,564.029729074142,99
находится,52050,9,559.920418795946,100
тем,51983,3,559.19967589375,101
ещё,50722,3,545.634649033007,102
которой,50228,7,540.320514798901,103
декабря,50131,7,539.277051194229,104
название,49844,8,536.189689807208,105
быть,49734,4,535.006380564795,106
если,49204,4,529.304981487719,107
им,49193,2,529.186650563477,108
всех,48956,4,526.637157013917,109
составе,48441,7,521.097118288078,110
вместе,48244,6,518.977919008485,111
среди,48173,5,518.214146679292,112
годы,47787,4,514.0618069741,113
против,47665,6,512.749409450697,114
группы,47643,6,512.512747602215,115
два,47369,3,509.565231852933,116
своей,47055,5,506.187421833684,117
например,46965,8,505.219259726256,118
