word,count,length,per_million,rank
је,711474,2,42279.49162,1
у,578087,1,34352.94118,2
и,550805,1,32731.70261,3
се,276329,2,16420.90876,4
на,244695,2,14541.05168,5
су,187500,2,11142.22681,6
од,166020,2,9865.773308,7
да,157185,2,9340.75158,8
а,131526,1,7815.960126,9
за,120770,2,7176.782571,10
са,108568,2,6451.676162,11
из,91479,2,5436.158754,12
који,71881,4,4271.543496,13
као,71411,3,4243.613647,14
по,61173,2,3635.218351,15
био,53292,3,3166.888273,16
која,50949,4,3027.655007,17
до,50887,2,3023.970644,18
или,36523,3,2170.386932,19
налази,35887,6,2132.592499,20
што,33465,3,1988.664641,21
које,33183,4,1971.906732,22
према,32587,5,1936.489307,23
код,31608,3,1878.312027,24
али,30359,3,1804.08994,25
било,27947,4,1660.756334,26
није,25792,4,1532.695008,27
то,25358,2,1506.904467,28
под,25210,3,1498.109536,29
о,24854,1,1476.954161,30
око,24774,3,1472.200144,31
насеље,24610,6,1462.45441,32
има,24307,3,1444.448571,33
била,24136,4,1434.28686,34
би,23839,2,1416.637573,35
не,23728,2,1410.041375,36
још,22106,3,1313.653685,37
када,21744,4,1292.141759,38
попису,19696,6,1170.438929,39
општини,19341,7,1149.34298,40
га,18713,2,1112.023948,41
након,18377,5,1092.057078,42
број,18184,4,1080.588012,43
један,18174,5,1079.99376,44
после,18076,5,1074.17009,45
град,17833,4,1059.729764,46
само,17409,4,1034.533475,47
због,17380,4,1032.810144,48
све,16953,3,1007.435579,49
током,16608,5,986.933882,50
први,16156,4,960.0736873,51
тако,16079,4,955.4979461,52
више,15963,4,948.6046218,53
може,15915,4,945.7522117,54
износи,15879,6,943.6129042,55
између,15789,6,938.2646353,56
три,15518,3,922.1604035,57
време,15499,5,921.0313245,58
где,14902,3,885.5544743,59
док,14387,3,854.9504914,60
износила,14320,8,850.9690023,61
с,13805,1,820.3650194,62
два,13666,3,812.1049152,63
такође,13499,6,802.1809052,64
били,13446,4,799.0313691,65
Ово,13388,3,795.5847069,66
Француској,13347,10,793.1482733,67
подацима,13291,8,789.8204616,68
насељу,13170,6,782.6300112,69
метара,13161,6,782.0951843,70
па,13160,2,782.0357591,71
како,13137,4,780.6689793,72
припада,13059,7,776.0338129,73
рата,12729,4,756.4234938,74
он,12719,2,755.8292417,75
део,12656,3,752.0854535,76
региону,12605,7,749.0547678,77
густина,12472,7,741.1512149,78
насељености,12453,11,740.0221359,79
ће,12380,2,735.6840956,80
му,12207,2,725.4035343,81
века,12143,4,721.6003209,82
касније,11995,7,712.8053899,83
преко,11668,5,693.3733463,84
своје,11379,5,676.1994607,85
површини,11315,8,672.3962473,86
висини,11307,6,671.9208456,87
живело,11263,6,669.3061364,88
данас,11178,5,664.2549936,89
простире,11166,8,663.5418911,90
познат,11141,6,662.0562608,91
тога,11121,4,660.8677566,92
средњој,10794,7,641.4357131,93
име,10680,3,634.6612392,94
јер,10560,3,627.530214,95
