word,count,length,per_million,rank
na,137394,2,19601.5937619127,1
za,83132,2,11860.1954424162,2
pa,65521,2,9347.6863973265,3
leta,58945,4,8409.5080156044,4
da,46096,2,6576.3793619017,5
bil,38397,3,5477.9859067802,6
po,35140,2,5013.3193938135,7
pri,27397,3,3908.6485894226,8
bila,25475,4,3634.4425599715,9
ga,23310,2,3325.5684425098,10
ali,22386,3,3193.7441078517,11
tako,20580,4,2936.0874537474,12
lahko,18536,5,2644.4760467765,13
sta,15208,3,2169.6801747614,14
zaradi,14420,6,2057.2585560271,15
jih,13260,3,1891.7648025603,16
bilo,13169,4,1878.7821029348,17
ima,11191,3,1596.5867198682,18
kar,10636,3,1517.4065188560,19
le,10218,2,1457.7717007964,20
veliko,9758,6,1392.1448675251,21
ta,9408,2,1342.2114074274,22
del,9354,3,1334.5073878694,23
zelo,9023,4,1287.2846013198,24
saj,8851,3,1262.7458723575,25
naselje,8558,7,1220.9444329043,26
pod,8219,3,1172.5803101239,27
zato,8104,4,1156.1736018061,28
pred,7966,4,1136.4855518247,29
vendar,7850,6,1119.9361764780,30
bili,7561,4,1078.7054051401,31
okoli,7462,5,1064.5813692839,32
tega,7382,4,1053.1680069759,33
proti,7148,5,1019.7839222248,34
danes,6979,5,995.6731943490,35
nekaj,6944,5,990.6798483392,36
naj,6718,3,958.4370998190,37
postal,6438,6,918.4903317408,38
najbolj,6422,7,916.2076592792,39
nato,6408,4,914.2103208753,40
prvi,6356,4,906.7916353750,41
stoletja,6336,8,903.9382947980,42
kasneje,6087,7,868.4142046142,43
letih,5966,5,851.1514941233,44
let,5919,3,844.4461437673,45
času,5861,4,836.1714560939,46
delo,5790,4,826.0420970455,47
seznam,5763,6,822.1900872666,48
imena,5650,5,806.0687130064,49
slovenski,5581,9,796.2246880157,50
število,5551,7,791.9446771502,51
velika,5521,6,787.6646662847,52
Sloveniji,5468,9,780.1033137556,53
a,5406,1,771.2579579669,54
predvsem,5230,8,746.1485608891,55
bolj,5205,4,742.5818851679,56
poleg,5162,5,736.4472029273,57
samo,5082,4,725.0338406192,58
nad,4971,3,709.1978004168,59
skupaj,4936,6,704.2044544070,60
dan,4919,3,701.7791149166,61
dela,4865,4,694.0750953586,62
strani,4802,6,685.0870725410,63
imajo,4731,5,674.9577134926,64
Ljubljani,4472,9,638.0069530203,65
