word,count,length,per_million,rank
de,17207117,2,80158.578836586200,1
la,9297885,2,43313.778117857400,2
en,7692908,2,35837.065116754000,3
el,7120511,2,33170.579496279300,4
y,5997227,1,27937.811620645300,5
a,4122284,1,19203.474178783000,6
que,3958790,3,18441.844750197800,7
los,3372437,3,15710.345732868600,8
del,3110284,3,14489.117800394600,9
se,2752583,2,12822.783817286000,10
un,2242652,2,10447.293241803800,11
por,2225575,3,10367.740807146000,12
con,2087647,3,9725.209437029030,13
las,2067466,3,9631.197158301510,14
una,1954495,3,9104.926847606930,15
su,1905451,2,8876.457584542030,16
es,1634303,2,7613.326850068450,17
como,1323055,4,6163.392073328700,18
al,1303334,2,6071.522683864080,19
para,1274964,4,5939.362317801950,20
fue,980773,3,4568.886806621650,21
más,786353,3,3663.190001200440,22
no,743437,2,3463.267749881350,23
o,650829,1,3031.857556709620,24
sus,645028,3,3004.833859722440,25
lo,581117,2,2707.107347371470,26
entre,478507,5,2229.103288096340,27
también,443804,7,2067.440927029920,28
este,417528,4,1945.035365568920,29
son,378298,3,1762.284179082580,30
esta,355108,4,1654.254609502710,31
pero,354111,4,1649.610129948110,32
años,351628,4,1638.043186383350,33
dos,329821,3,1536.456259956950,34
ha,326257,2,1519.853526624370,35
desde,325503,5,1516.341051615170,36
le,321846,2,1499.305081975090,37
hasta,313629,5,1461.026557902740,38
durante,303546,7,1414.055356950870,39
sobre,302266,5,1408.092534654100,40
ser,293549,3,1367.484783122070,41
parte,292957,5,1364.726977809810,42
donde,285968,5,1332.169036378430,43
ciudad,281902,6,1313.227758676330,44
año,280831,3,1308.238553457700,45
sin,269011,3,1253.175616310910,46
era,266021,3,1239.246836102030,47
cuando,248231,6,1156.372923086690,48
está,236502,4,1101.733905337560,49
gran,233221,4,1086.449514747150,50
después,230287,7,1072.781608013760,51
ya,216746,2,1009.701469950760,52
tiene,204525,5,952.770492381309,53
otros,202457,5,943.136807608081,54
primera,201647,7,939.363459123402,55
nombre,197709,6,921.018463650978,56
uno,197171,3,918.512214904364,57
muy,196824,3,916.895731047348,58
san,195769,3,911.981061107427,59
e,192194,1,895.327084770729,60
así,188501,3,878.123410753547,61
fueron,184951,6,861.585895789833,62
puede,184467,5,859.331203608864,63
primer,182713,6,851.160273680313,64
historia,173923,8,810.212454939173,65
forma,169728,5,790.670236552474,66
mismo,169577,5,789.966809859652,67
aunque,169444,6,789.347235355377,68
había,169002,5,787.288198281022,69
siglo,165538,5,771.151310440372,70
cual,162822,4,758.498946879401,71
tras,156650,4,729.746963117135,72
todo,156232,4,727.799728960844,73
tres,155021,4,722.158340053504,74
población,152714,9,711.411284554549,75
vez,152103,3,708.564968598823,76
además,151636,6,706.389470151484,77
mayor,150781,5,702.406491195434,78
guerra,149270,6,695.367565812287,79
grupo,148519,5,691.869066167851,80
nacional,146703,8,683.409312034300,81
si,145819,2,679.291237885589,82
estado,145644,6,678.476008274702,83
sido,142694,4,664.733566262601,84
tiempo,140276,6,653.469422267598,85
lugar,138761,5,646.411863064774,86
han,138620,3,645.755020921144,87
España,135305,6,630.312242863479,88
cada,135098,4,629.347942695172,89
general,134214,7,625.229868546461,90
todos,129979,5,605.501311962988,91
bajo,129037,4,601.113047428955,92
junto,126387,5,588.768141892661,93
contra,125812,6,586.089530314031,94
otras,124708,5,580.946596083062,95
vida,124674,4,580.788208615804,96
algunos,124369,7,579.367379865400,97
embargo,122781,7,571.969753453463,98
hacia,122109,5,568.839271747656,99
ese,119899,3,558.544086375879,100
nueva,119465,5,556.522316940878,101
nuevo,118090,5,550.116941426763,102
estados,117263,7,546.264399208456,103
gobierno,117006,8,545.067176294181,104
norte,116002,5,540.390087555148,105
río,115856,3,539.709953136922,106
región,115819,6,539.537590304906,107
partido,114913,7,535.317030147969,108
él,114616,2,533.933469036920,109
sólo,114045,4,531.273491277968,110
tanto,113889,5,530.546772310548,111
siendo,113688,6,529.610422871758,112
estos,112982,5,526.321553698692,113
sur,112906,3,525.967511124821,114
encuentra,112501,9,524.080836882482,115
mientras,112127,8,522.338574742643,116
antes,111419,5,519.040388659739,117
quien,110806,5,516.184755794173,118
mundo,110403,5,514.307398461673,119
universidad,108385,11,504.906636434412,120
familia,108121,7,503.676804335702,121
luego,108049,5,503.341395581509,122
provincia,107236,9,499.554071732072,123
país,106832,4,497.672055944652,124
según,105656,5,492.193712959490,125
serie,105471,5,491.331898799409,126
día,104327,3,486.002626371665,127
hay,103737,3,483.254137969245,128
equipo,103473,6,482.024305870535,129
entonces,103390,8,481.637654112229,130
debido,102674,6,478.302200389970,131
sistema,100855,7,469.828470891661,132
otro,99002,4,461.196353926094,133
obra,98701,4,459.794158995368,134
esto,98298,4,457.916801662867,135
Juan,98291,4,457.884192478432,136
unidos,97933,6,456.216465617302,137
segunda,97314,7,453.332882022221,138
banda,95737,5,445.986498614396,139
pueden,95601,6,445.352948745364,140
varios,95358,6,444.220944199960,141
centro,94440,6,439.944482583991,142
zona,93190,4,434.121413934796,143
muchos,91689,6,427.129073100843,144
tuvo,91096,4,424.366609333664,145
km,90677,2,422.414716722454,146
número,89659,6,417.672409614550,147
cuenta,89503,6,416.945690647130,148
rey,89370,3,416.326116142856,149
estaba,88609,6,412.781031949226,150
ellos,88006,5,409.971983632854,151
ella,87641,4,408.271647587289,152
final,87285,5,406.613237635998,153
álbum,86570,5,403.282442368659,154
José,86200,4,401.558814048497,155
poco,85846,4,399.909721007045,156
grandes,84935,7,395.665868575511,157
otra,84480,4,393.546271587204,158
unos,84371,4,393.038500000995,159
cuatro,84276,6,392.595946783656,160
dentro,83894,6,390.816417004462,161
presidente,83626,10,389.567951086074,162
están,83339,5,388.230974524219,163
estas,83259,5,387.858298130671,164
municipio,82916,9,386.260448093331,165
época,82777,5,385.612922859541,166
hace,82625,4,384.904837711799,167
principal,82400,9,383.856685354944,168
iglesia,82289,7,383.339596858895,169
casa,82078,4,382.356662870911,170
julio,81201,5,378.271197906636,171
bien,79995,4,372.653101273892,172
distrito,79035,8,368.180984551310,173
eran,78815,4,367.156124469052,174
habitantes,78678,10,366.517916145100,175
poder,78635,5,366.317602583568,176
muerte,78513,6,365.749271083407,177
música,78396,6,365.204231857842,178
algunas,77945,7,363.103268689212,179
tipo,76673,4,357.177714031791,180
santa,76602,5,356.846963732517,181
pueblo,76331,6,355.584522449371,182
mayo,76269,4,355.295698244371,183
actualmente,76106,11,354.536370092516,184
club,75628,4,352.309628641064,185
conocido,75370,8,351.107747271870,186
real,75348,4,351.005261263644,187
hizo,75119,4,349.938475087112,188
departamento,75110,12,349.896548992838,189
importante,74929,10,349.053368652434,190
trabajo,74609,7,347.562663078240,191
segundo,74589,7,347.469493979853,192
obras,74494,5,347.026940762514,193
medio,74230,5,345.797108663804,194
México,73769,6,343.649560945981,195
personas,73583,8,342.783088330981,196
español,73277,7,341.357601125658,197
hijo,72896,4,339.582729801383,198
hecho,72600,5,338.203827145254,199
mundial,72424,7,337.383939079447,200
