word,count,length,per_million,rank
i,1491901,1,40367.9146429283,1
och,1437361,3,38892.1692250854,2
en,843626,2,22826.8647574839,3
av,822296,2,22249.7167970404,4
som,793417,3,21468.3077042299,5
är,661801,2,17907.0369137125,6
att,584917,3,15826.7066844232,7
den,541578,3,14654.0383554189,8
på,539374,2,14594.4024386436,9
till,518868,4,14039.5503018947,10
med,507419,3,13729.7628195169,11
för,442029,3,11960.4376843363,12
det,360356,3,9750.5265088415,13
han,331350,3,8965.6810451460,14
de,331032,2,8957.0765889143,15
ett,317810,3,8599.3152043393,16
var,317403,3,8588.3025826844,17
har,270152,3,7309.7832072077,18
från,240728,4,6513.6274834341,19
under,179442,5,4855.3485381110,20
om,176620,2,4778.9907535648,21
vid,164508,3,4451.2637916851,22
sig,141666,3,3833.2040770836,23
men,139746,3,3781.2526432321,24
även,132054,4,3573.1222113647,25
inte,127706,4,3455.4738601220,26
år,127666,2,3454.3915385834,27
efter,123456,5,3340.4771966487,28
man,122971,3,3327.3540479935,29
eller,120764,5,3267.6369571028,30
sin,109790,3,2970.7020429956,31
blev,104856,4,2837.1976812127,32
kan,104836,3,2836.6565204434,33
där,100412,3,2716.9517582773,34
andra,95234,5,2576.8452351092,35
hade,93655,4,2534.1205923741,36
då,92135,2,2492.9923739083,37
första,84823,6,2295.1439966574,38
finns,84640,5,2290.1923756184,39
så,80503,2,2178.2532704916,40
hon,80454,3,2176.9274266068,41
född,78264,4,2117.6703223700,42
hans,75831,4,2051.8381147864,43
också,74185,5,2007.3005834741,44
detta,71796,5,1942.6589295829,45
mot,71238,3,1927.5605441198,46
sedan,69247,5,1873.6879895374,47
två,68345,3,1849.2816388426,48
genom,68019,5,1840.4607183033,49
mellan,67458,6,1825.2811587248,50
bland,66708,5,1804.9876298766,51
över,66600,4,1802.0653617224,52
när,66012,3,1786.1552351054,53
fick,59181,4,1601.3217743558,54
samt,53812,4,1456.0471658409,55
ut,53329,2,1442.9781332627,56
inom,52021,4,1407.5862189514,57
in,51607,2,1396.3841910272,58
upp,51281,3,1387.5632704878,59
annat,51009,5,1380.2034840255,60
denna,50745,5,1373.0601618709,61
många,50264,5,1360.0452453696,62
Sverige,49256,7,1332.7707425976,63
olika,49234,5,1332.1754657514,64
död,48784,3,1319.9993484424,65
dock,48656,4,1316.5359195190,66
svenska,48411,7,1309.9067000953,67
flera,48166,5,1303.2774806715,68
skulle,47809,6,1293.6177609397,69
senare,47448,6,1283.8498090541,70
vara,46562,4,1259.8763869748,71
kom,46122,3,1247.9708500505,72
mycket,45685,6,1236.1464872416,73
s,45115,1,1220.7234053169,74
vilket,44989,6,1217.3140924704,75
sina,44318,4,1199.1581486609,76
ha,43917,2,1188.3078752367,77
sitt,43892,4,1187.6314242751,78
dessa,43487,5,1176.6729186970,79
alla,42675,4,1154.7017914640,80
ligger,42057,6,1137.9799236931,81
än,41842,2,1132.1624454233,82
samma,40466,5,1094.9305844964,83
stora,39337,5,1064.3820590702,84
del,39197,3,1060.5939336852,85
mer,36383,3,984.4526134466,86
tre,36231,3,980.3397916001,87
svensk,36165,6,978.5539610614,88
ofta,34871,4,943.5408592886,89
tidigare,34652,8,937.6151488649,90
namnet,34210,6,925.6554958637,91
usa,33759,3,913.4523205163,92
utan,32733,4,885.6907730519,93
mest,32219,4,871.7829412813,94
tillsammans,32187,11,870.9170840504,95
nya,32091,3,868.3195123579,96
fram,31750,4,859.0927212415,97
staden,30601,6,828.0030350461,98
dess,30461,4,824.2149096611,99
exempel,30320,7,820.3997262376,100
namn,30273,4,819.1279984298,101
Stockholm,29522,9,798.8074115431,102
några,28995,5,784.5478252724,103
stor,28766,4,778.3515344641,104
kommun,28477,6,770.5317613479,105
tid,28379,3,767.8800735784,106
kommer,28024,6,758.2744699236,107
gjorde,27974,6,756.9215680003,108
hela,27658,4,748.3712278456,109
började,27644,7,747.9924153071,110
används,27180,7,735.4374854597,111
största,26841,7,726.2648104203,112
honom,26581,5,719.2297204196,113
varit,26100,5,706.2148039182,114
början,25821,6,698.6656111867,115
bara,25353,4,686.0024491854,116
få,25328,2,685.3259982238,117
enligt,25266,6,683.6483998390,118
kunde,25042,5,677.5873992230,119
större,24621,6,666.1959650295,120
vann,24591,4,665.3842238756,121
idag,24326,4,658.2138436826,122
tog,24033,3,650.2858384125,123
eftersom,24032,8,650.2587803741,124
deras,23648,5,639.8684936038,125
både,23361,4,632.1028365645,126
mindre,23231,6,628.5852915642,127
hos,23190,3,627.4759119871,128
gick,23126,4,625.7441975254,129
något,22891,5,619.3855584863,130
ska,22392,3,605.8835972926,131
får,22356,3,604.9095079079,132
dem,22058,3,596.8462124455,133
kallas,21897,6,592.4898682528,134
blir,21842,4,591.0016761373,135
går,21785,3,589.4593679448,136
här,21652,3,585.8606488290,137
innan,21303,5,576.4173934050,138
nu,21222,2,574.2256922894,139
januari,21175,7,572.9539644816,140
fyra,21030,4,569.0305489042,141
invånare,20947,8,566.7847317117,142
endast,20878,6,564.9177270577,143
