word,count,length,per_million,rank
ve,768262,2,31806.3514666794,1
bir,432998,3,17926.2889123362,2
ocağı,250785,5,10382.5984528341,3
bu,219877,2,9102.9949957685,4
de,196360,2,8129.3818697231,5
da,186654,2,7727.5496206523,6
ile,166925,3,6910.7611967994,7
köyün,155148,5,6423.1887264402,8
olarak,153510,6,6355.3748768649,9
için,120814,4,5001.7475107391,10
olan,109561,4,4535.8688481805,11
vardır,104796,6,4338.5959585430,12
yoktur,98727,6,4087.3369517832,13
köy,81895,3,3390.4854767823,14
en,78934,2,3267.8989025500,15
sonra,77385,5,3203.7696882691,16
yılında,75752,7,3136.1628406766,17
çok,72430,3,2998.6307232840,18
daha,72149,4,2986.9972118489,19
köyde,66979,5,2772.9571616021,20
ilk,66217,3,2741.4100594187,21
tarafından,65726,10,2721.0824647047,22
km,59447,2,2461.1293746661,23
ancak,58532,5,2423.2480118081,24
in,58033,2,2402.5892139216,25
büyük,54670,5,2263.3596802697,26
ise,54254,3,2246.1371152982,27
gibi,53758,4,2225.6025186014,28
ayrıca,51585,6,2135.6394568632,29
sağlık,51381,6,2127.1937759637,30
birlikte,50360,8,2084.9239710697,31
iklimi,50219,6,2079.0865151539,32
ilçesine,49851,8,2063.8511692176,33
muhtarlık,49844,9,2063.5613664416,34
tüzel,49324,5,2042.0331602272,35
şebekesi,48214,8,1996.0787200388,36
PTT,47881,3,1982.2923879823,37
bağlı,47601,5,1970.7002769438,38
kadar,45502,5,1883.8008445515,39
ya,45164,2,1869.8075105122,40
olup,43608,4,1805.3884934553,41
iki,39624,3,1640.4493135359,42
arasında,38192,8,1581.1639456532,43
yer,37631,3,1557.9383231796,44
tarihi,36679,6,1518.5251456487,45
olduğu,35560,6,1472.1981018912,46
her,34547,3,1430.2595001697,47
göre,34136,4,1413.2439371810,48
hakkında,33838,8,1400.9066190043,49
yol,32894,3,1361.8246446459,50
tarım,32097,5,1328.8285285827,51
bilgi,31804,5,1316.6982123888,52
yerleşim,31705,8,1312.5995731288,53
köye,30993,4,1283.1224907737,54
veya,30470,4,1261.4700833696,55
yapılmaktadır,29697,13,1229.4675768240,56
okulu,29567,5,1224.0855252704,57
aynı,29030,4,1201.8535123144,58
alanı,29017,5,1201.3153071591,59
diğer,28837,5,1193.8632357772,60
suyu,28701,4,1188.2327818442,61
köydür,28437,6,1177.3030771507,62
temsil,28218,6,1168.2363903027,63
iklim,28128,5,1164.5103546118,64
kültür,27826,6,1152.0074348488,65
Türkiye,27800,7,1150.9310245381,66
ilinin,27579,6,1141.7815368970,67
un,27334,2,1131.6384397383,68
ekonomi,27305,7,1130.4378282379,69
elektrik,27278,8,1129.3200175306,70
adı,27132,3,1123.2755596319,71
yeni,27062,4,1120.3775318723,72
Türk,26935,4,1115.1196815084,73
sağlayan,26895,8,1113.4636656458,74
eski,26818,4,1110.2758351102,75
ilköğretim,26712,10,1105.8873930742,76
bulunan,26670,7,1104.1485764184,77
bilgileri,26221,9,1085.5597983602,78
etmesi,26160,6,1083.0343741697,79
içme,26051,4,1078.5217309440,80
etki,25916,4,1072.9326774075,81
önemli,25769,6,1066.8468191123,82
sabit,25750,5,1066.0602115776,83
son,25591,3,1059.4775485235,84
altyapı,25523,7,1056.6623215571,85
alması,25452,6,1053.7228934009,86
o,25397,1,1051.4458715897,87
seçimleri,25380,9,1050.7420648481,88
ekonomisi,25332,9,1048.7548458129,89
evi,25302,3,1047.5128339159,90
telefon,25278,7,1046.5192243984,91
oldu,25084,4,1038.4875474645,92
kişiliği,24899,8,1030.8284740998,93
yerinin,24705,7,1022.7967971660,94
kişiliğini,24589,10,1017.9943511643,95
şubesi,24588,6,1017.9529507677,96
ulaşımı,24508,7,1014.6409190424,97
kanalizasyon,24465,12,1012.8607019901,98
içerisindedir,24413,13,1010.7078813687,99
e,24329,1,1007.2302480571,100
dayalıdır,23628,9,978.2085700643,101
hayvancılığa,23613,12,977.5875641158,102
acentesi,23536,8,974.3997335802,103
coğrafya,23394,8,968.5208772678,104
iline,22987,5,951.6709158654,105
İstanbul,22916,8,948.7314877092,106
uzaklıktadır,22833,12,945.2952547942,107
asfalt,22706,6,940.0374044303,108
yıl,22705,3,939.9960040337,109
içinde,22064,6,913.4583498348,110
dünya,22033,5,912.1749375413,111
hem,21835,3,903.9776590212,112
ne,21136,2,875.0387818215,113
te,21127,2,874.6661782524,114
adlı,20988,4,868.9115231297,115
gelen,19793,5,819.4380492332,116
bulunmaktadır,19472,13,806.1485219355,117
iyi,19414,3,803.7472989346,118
üzerine,19383,7,802.4638866411,119
önce,19367,4,801.8014802960,120
bazı,19363,4,801.6358787098,121
yapılan,19259,7,797.3302374669,122
fakat,19247,5,796.8334327081,123
d,18997,1,786.4833335666,124
karşı,18459,5,764.2099202140,125
olmuştur,18408,8,762.0984999891,126
zaman,18183,5,752.7834107617,127
köyü,18098,4,749.2643770536,128
dan,18006,3,745.4555405695,129
kendi,17928,5,742.2263096374,130
yemekleri,17838,9,738.5002739464,131
gelenek,17831,7,738.2104711705,132
Osmanlı,17388,7,719.8700954917,133
küçük,17352,5,718.3796812153,134
alan,17307,4,716.5166633698,135
m,17166,1,710.6792074540,136
yüksek,16976,6,702.8131321064,137
tüm,16829,3,696.7272738112,138
of,16673,2,690.2688119469,139
ama,16642,3,688.9853996533,140
nde,16582,3,686.5013758594,141
genel,16282,5,674.0812568895,142
üzerinde,16212,8,671.1832291299,143
birçok,16206,6,670.9348267505,144
devam,16056,5,664.7247672656,145
sahip,16036,5,663.8967593343,146
Avrupa,15912,6,658.7631101601,147
üzere,15843,5,655.9064827970,148
tek,15421,3,638.4355154461,149
den,15300,3,633.4260674616,150
ikinci,15204,6,629.4516293913,151
şekilde,15136,7,626.6364024248,152
görenek,15007,7,621.2957512677,153
film,14896,4,616.7003072489,154
ABD,14877,3,615.9136997141,155
ye,14818,2,613.4710763167,156
su,14792,2,612.3946660060,157
çeşitli,14731,7,609.8692418155,158
tarihinde,14668,9,607.2610168318,159
biri,14536,4,601.7961644851,160
özellikle,14527,9,601.4235609160,161
kabul,14313,5,592.5638760509,162
olduğunu,14219,8,588.6722387736,163
geldiği,14192,7,587.5544280664,164
üniversitesi,14117,12,584.4493983239,165
fazla,14008,5,579.9367550982,166
aldı,13843,4,573.1056896648,167
savaşı,13740,6,568.8414488185,168
sadece,13690,6,566.7714289902,169
uzun,13591,4,562.6727897301,170
adının,13582,6,562.3001861610,171
başladı,13582,7,562.3001861610,172
bunun,13557,5,561.2651762469,173
ortaya,13414,6,555.3449195379,174
i,13323,1,551.5774834504,175
eden,13281,4,549.8386667946,176
farklı,13167,6,545.1190215861,177
yaklaşık,13039,8,539.8197708256,178
etti,13026,4,539.2815656703,179
Ankara,12862,6,532.4919006334,180
devlet,12700,6,525.7850363897,181
kez,12470,3,516.2629451795,182
geçmişi,12371,7,512.1643059195,183
olmak,12334,5,510.6324912465,184
eğitim,12230,6,506.3268500036,185
Karadeniz,12212,9,505.5816428654,186
nereden,11765,7,487.0756656004,187
sırasında,11585,9,479.6235942185,188
yaptı,11555,5,478.3815823215,189
kısa,11502,4,476.1873613035,190
özel,11470,4,474.8625486134,191
başka,11465,5,474.6555466306,192
karasal,11445,7,473.8275386992,193
müzik,11362,5,470.3913057842,194
zamanda,11324,7,468.8180907147,195
olması,11319,6,468.6110887319,196
gün,11241,3,465.3818577997,197
süre,11181,4,462.8978340058,198
orta,11156,4,461.8628240916,199
