word	definition	n	x	y
al	"0: a silvery ductile metallic element found primarily in bauxite (aluminum.n.01)
 1: a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War (alabama.n.01)"	2		
ce	"0: a ductile grey metallic element of the lanthanide series; used in lighter flints; the most abundant of the rare-earth group (cerium.n.01)
 1: of the period coinciding with the Christian era; preferred by some writers who are not Christians (ce.r.01)"	2		
fl	0: a state in southeastern United States between the Atlantic and the Gulf of Mexico; one of the Confederate states during the American Civil War (florida.n.01)	2		
fm	"0: modulation of the frequency of the (radio) carrier wave (frequency_modulation.n.01)
 1: a radioactive transuranic metallic element produced by bombarding plutonium with neutrons (fermium.n.01)"	2		
gc	0: 1,000,000,000 periods per second (gigahertz.n.01)	2		
ic	"0: a group of government agencies and organizations that carry out intelligence activities for the United States government; headed by the Director of Central Intelligence (intelligence_community.n.01)
 1: being nine more than ninety (ninety-nine.s.01)"	2		
adh	0: hormone secreted by the posterior pituitary gland (trade name Pitressin) and also by nerve endings in the hypothalamus; affects blood pressure by stimulating capillary muscles and reduces urine flow by affecting reabsorption of water by kidney tubules (vasopressin.n.01)	3		
afl	0: a federation of North American labor unions that merged with the Congress of Industrial Organizations in 1955 (american_federation_of_labor.n.01)	3		
ala	"0: a flat wing-shaped process or winglike part of an organism (ala.n.01)
 1: a wing of an insect (ala.n.02)"	3		
ani	0: black tropical American cuckoo (ani.n.01)	3		
ano	0: a Palestinian international terrorist organization that split from the PLO in 1974; has conducted terrorist attacks in 20 countries (fatah_revolutionary_council.n.01)	3		
apr	0: the month following March and preceding May (april.n.01)	3		
avo	0: 100 avos equal 1 pataca in Macao (avo.n.01)	3		
awl	0: a pointed tool for marking surfaces or for punching small holes (awl.n.01)	3		
awn	0: slender bristlelike appendage found on the bracts of grasses (awn.n.01)	3		
ayr	0: a port in southwestern Scotland (ayr.n.01)	3		
azo	0: relating to or containing the azo radical (azo.a.01)	3		
bai	0: the Tibeto-Burman language spoken in the Dali region of Yunnan (bai.n.01)	3		
beg	"0: call upon in supplication; entreat (beg.v.01)
 1: make a solicitation or entreaty for something; request urgently or persistently (solicit.v.01)
 2: ask to obtain free (beg.v.03)
 3: dodge, avoid answering, or take for granted (beg.v.04)"	3		
bey	"0: (formerly) a title of respect for a man in Turkey or Egypt (bey.n.01)
 1: the governor of a district or province in the Ottoman Empire (bey.n.02)"	3		
bja	0: the bureau in the Department of Justice that assists local criminal justice systems to reduce or prevent crime and violence and drug abuse (bureau_of_justice_assistance.n.01)	3		
bjs	0: the agency in the Department of Justice that is the primary source of criminal justice statistics for federal and local policy makers (bureau_of_justice_statistics.n.01)	3		
bmr	0: the rate at which heat is produced by an individual in a resting state (basal_metabolic_rate.n.01)	3		
bns	0: a bachelor's degree in naval science (bachelor_of_naval_science.n.01)	3		
bod	0: alternative names for the body of a human being (human_body.n.01)	3		
bph	0: enlarged prostate; appears to be part of the natural aging process (benign_prostatic_hyperplasia.n.01)	3		
bur	"0: seed vessel having hooks or prickles (bur.n.01)
 1: small bit used in dentistry or surgery (bur.n.02)
 2: remove the burrs from (bur.v.01)"	3		
bvd	0: trademark for men's underwear (bvd.n.01)	3		
bwr	0: a nuclear reactor that uses water as a coolant and moderator; the water boils in the reactor core and the steam produced can drive a steam turbine (boiling_water_reactor.n.01)	3		
cdc	0: a federal agency in the Department of Health and Human Services; located in Atlanta; investigates and diagnoses and tries to control or prevent diseases (especially new and unusual diseases) (center_for_disease_control_and_prevention.n.01)	3	22	
ceo	0: the corporate executive responsible for the operations of the firm; reports to a board of directors; may appoint other managers (including a president) (chief_executive_officer.n.01)	3		
cio	0: a federation of North American industrial unions that merged with the American Federation of Labor in 1955 (congress_of_industrial_organizations.n.01)	3		
cjd	0: rare (usually fatal) brain disease (usually in middle age) caused by an unidentified slow virus; characterized by progressive dementia and gradual loss of muscle control (creutzfeldt-jakob_disease.n.01)	3		
cmv	0: any of a group of herpes viruses that enlarge epithelial cells and can cause birth defects; can affect humans with impaired immunological systems (cytomegalovirus.n.01)	3		
crp	0: a byproduct of inflammation; a globulin that is found in the blood in some cases of acute inflammation (c-reactive_protein.n.01)	3		
cse	0: Canadian agency that gathers communications intelligence and assist law enforcement and security agencies (communications_security_establishment.n.01)	3		
cud	"0: food of a ruminant regurgitated to be chewed again (cud.n.01)
 1: a wad of something chewable as tobacco (chew.n.01)"	3		
cul	0: a passage with access only at one end (cul.n.01)	3		
cwm	0: a steep-walled semicircular basin in a mountain; may contain a lake (cirque.n.01)	3		
cxl	0: being ten more than one hundred thirty (one_hundred_forty.s.01)	3		
cxv	0: being five more than one hundred ten (one_hundred_fifteen.s.01)	3		
dah	0: the longer of the two telegraphic signals used in Morse code (dash.n.05)	3		
deb	0: a young woman making her debut into society (debutante.n.01)	3		
dkl	0: a metric unit of volume or capacity equal to 10 liters (dekaliter.n.01)	3		
dkm	0: a metric unit of length equal to ten meters (decameter.n.01)	3		
doi	0: the United States federal department charged with conservation and the development of natural resources; created in 1849 (department_of_the_interior.n.01)	3	77	
doj	0: the United States federal department responsible for enforcing federal laws (including the enforcement of all civil rights legislation); created in 1870 (department_of_justice.n.01)	3		
dph	0: a doctor's degree in preventive medicine (doctor_of_public_health.n.01)	3		
dud	"0: someone who is unsuccessful (flop.n.02)
 1: an explosion that fails to occur (misfire.n.01)
 2: an event that fails badly or is totally ineffectual (turkey.n.05)
 3: failing to detonate; especially not charged with an active explosive (dud.s.01)"	3		
dun	"0: horse of a dull brownish grey color (dun.n.01)
 1: a color or pigment varying around a light grey-brown color (dun.n.02)
 2: treat cruelly (torment.v.02)
 3: persistently ask for overdue payment (dun.v.02)
 4: cure by salting (dun.v.03)
 5: make a dun color (dun.v.04)
 6: of a dull greyish brown to brownish grey color (dun.s.01)"	3		
ebn	0: the compass point that is one point north of due east (east_by_north.n.01)	3		
ebv	0: the herpes virus that causes infectious mononucleosis; associated with specific cancers in Africa and China (epstein-barr_virus.n.01)	3		
eck	0: a German Roman Catholic theologian who was an indefatigable opponent of Martin Luther (1486-1543) (eck.n.01)	3		
ehf	0: 30 to 300 gigahertz (extremely_high_frequency.n.01)	3		
eib	0: a unit of information equal to 1024 pebibytes or 2^60 bytes (exabyte.n.02)	3		
ell	0: an extension at the end and at right angles to the main building (ell.n.01)	3		
emg	0: a graphical record of electric currents associated with muscle contractions (electromyogram.n.01)	3		
enl	0: an inflammatory complication of leprosy that results in painful skin lesions on the arms and legs and face (erythema_nodosum_leprosum.n.01)	3		
erg	0: a cgs unit of work or energy; the work done by a force of one dyne acting over a distance of one centimeter (erg.n.01)	3		
ern	0: bulky greyish-brown eagle with a short wedge-shaped white tail; of Europe and Greenland (ern.n.01)	3		
esr	"0: the rate at which red blood cells settle out in a tube of blood under standardized conditions; a high rate usually indicates the presence of inflammation (erythrocyte_sedimentation_rate.n.01)
 1: microwave spectroscopy in which there is resonant absorption of radiation by a paramagnet (electron_spin_resonance.n.01)"	3		
etd	0: a system for screening luggage in airports; an agent passes a swab around or inside luggage and then runs the swab through a machine that can detect trace amounts of explosives (explosive_trace_detection.n.01)	3		
etf	0: a mutual fund that is traded on a stock exchange (exchange_traded_fund.n.01)	3		
faq	0: a list of questions that are frequently asked (about a given topic) along with their answers (faq.n.01)	3		
fey	"0: slightly insane (fey.s.01)
 1: suggestive of an elf in strangeness and otherworldliness; ; - John Mason Brown (elfin.s.01)"	3		
fha	0: the federal agency in the Department of Housing and Urban Development that insures residential mortgages (federal_housing_administration.n.01)	3		
foe	"0: an armed adversary (especially a member of an opposing military force) (enemy.n.02)
 1: a personal enemy (foe.n.02)"	3		
fop	0: a man who is much concerned with his dress and appearance (dandy.n.01)	3		
frg	0: a republic in central Europe; split into East Germany and West Germany after World War II and reunited in 1990 (germany.n.01)	3		
fsb	"0: the internal counterintelligence agency of the Russian Federation and successor to the Soviet KGB; formerly led by Vladimir Putin (federal_security_bureau.n.01)
 1: a federally chartered savings bank (federal_savings_bank.n.01)"	3		
fsh	0: a gonadotropic hormone that is secreted by the anterior pituitary and stimulates growth of Graafian follicles in female mammals, and activates the cells in male mammals that form sperm (follicle-stimulating_hormone.n.01)	3		
ftc	0: an independent agency of the United States federal government that maintains fair and free competition; enforces federal antitrust laws; educates the public about identity theft (federal_trade_commission.n.01)	3		
fto	0: a political movement that uses terror as a weapon to achieve its goals (terrorist_organization.n.01)	3		
ftp	"0: protocol that allows users to copy files between their local system and any system they can reach on the network (file_transfer_protocol.n.01)
 1: use the file transfer protocol to transfer data from one computer to another (ftp.v.01)"	3		
fug	0: (British informal) an airless smoky smelly atmosphere (fug.n.01)	3		
ful	0: a family of languages of the Fulani of West Africa and used as a lingua franca in the sub-Saharan regions from Senegal to Chad; the best known of the West African languages (fula.n.02)	3		
fws	0: an agency in the Department of the Interior that conserves and protects fish and wildlife and their habitats; assesses the environmental impact of pesticides and nuclear power site and hydroelectric dams and thermal pollution (united_states_fish_and_wildlife_service.n.01)	3		
gad	"0: an anxiety disorder characterized by chronic free-floating anxiety and such symptoms as tension or sweating or trembling or lightheadedness or irritability etc that has lasted for more than six months (generalized_anxiety_disorder.n.01)
 1: a sharp prod fixed to a rider's heel and used to urge a horse onward (spur.n.04)
 2: wander aimlessly in search of pleasure (gallivant.v.01)"	3		
gag	"0: a humorous anecdote or remark intended to provoke laughter (joke.n.01)
 1: restraint put into a person's mouth to prevent speaking or shouting (gag.n.02)
 2: prevent from speaking out (gag.v.01)
 3: be too tight; rub or press (choke.v.02)
 4: tie a gag around someone's mouth in order to silence them (gag.v.03)
 5: make jokes or quips (gag.v.04)
 6: struggle for breath; have insufficient oxygen intake (gag.v.05)
 7: cause to retch or choke (gag.v.06)
 8: make an unsuccessful effort to vomit; strain to vomit (gag.v.07)"	3	33	
get	"0: a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent (get.n.01)
 1: come into the possession of something concrete or abstract (get.v.01)
 2: enter or assume a certain state or condition (become.v.01)
 3: cause to move; cause to be in a certain position or condition (get.v.03)
 4: receive a specified treatment (abstract) (receive.v.02)
 5: reach a destination; arrive by movement or progress (arrive.v.01)
 6: go or come after and bring or take back (bring.v.04)
 7: go through (mental or physical states or experiences) (experience.v.03)
 8: take vengeance on or get even (pay_back.v.02)
 9: achieve a point or goal (have.v.17)
 10: cause to do; cause to act in a specified manner (induce.v.02)
 11: succeed in catching or seizing, especially after a chase (get.v.11)
 12: come to have or undergo a change of (physical features and attributes) (grow.v.08)
 13: be stricken by an illness, fall victim to an illness (contract.v.04)
 14: communicate with a place or person; establish communication with, as if by telephone (get.v.14)
 15: give certain properties to something (make.v.02)
 16: move into a desired direction of discourse (drive.v.11)
 17: grasp with the mind or develop an understanding of (catch.v.18)
 18: attract and fix (catch.v.07)
 19: reach with a blow or hit in a particular spot (get.v.19)
 20: reach by calculation (get.v.20)
 21: acquire as a result of some effort or action (get.v.21)
 22: purchase (get.v.22)
 23: perceive by hearing (catch.v.21)
 24: suffer from the receipt of (catch.v.22)
 25: receive as a retribution or punishment (get.v.25)
 26: leave immediately; used usually in the imperative form (scram.v.01)
 27: reach and board (get.v.27)
 28: irritate (get.v.28)
 29: evoke an emotional response (get.v.29)
 30: apprehend and reproduce accurately (catch.v.24)
 31: earn or achieve a base by being walked by the pitcher (draw.v.15)
 32: overcome or destroy (get.v.32)
 33: be a mystery or bewildering to (perplex.v.01)
 34: take the first step or steps in carrying out an action (get_down.v.07)
 35: undergo (as of injuries and illnesses) (suffer.v.02)
 36: make children (beget.v.01)"	3		
ghz	0: 1,000,000,000 periods per second (gigahertz.n.01)	3		
gib	"0: a unit of information equal to 1024 mebibytes or 2^30 (1,073,741,824) bytes (gigabyte.n.02)
 1: a castrated tomcat (gib.n.02)"	3		
git	0: a person who is deemed to be despicable or contemptible (rotter.n.01)	3		
gmt	0: the local time at the 0 meridian passing through Greenwich, England; it is the same everywhere (greenwich_mean_time.n.01)	3		
goy	0: a Christian as contrasted with a Jew (gentile.n.03)	3		
gpo	0: an agency of the legislative branch that provides printing and binding services for Congress and the departments and establishments of the federal government (united_states_government_printing_office.n.01)	3		
gsr	0: a change in the electrical properties of the skin in response to stress or anxiety; can be measured either by recording the electrical resistance of the skin or by recording weak currents generated by the body (galvanic_skin_response.n.01)	3		
gur	0: a group of Niger-Congo languages spoken primarily in southeastern Mali and northern Ghana (gur.n.01)	3		
haj	0: the fifth pillar of Islam is a pilgrimage to Mecca during the month of Dhu al-Hijja; at least once in a lifetime a Muslim is expected to make a religious journey to Mecca and the Kaaba (hajj.n.01)	3		
hcg	0: hormone produced early in pregnancy by the placenta; detection in the urine and serum is the basis for one kind of pregnancy test (human_chorionic_gonadotropin.n.01)	3		
hew	"0: make or shape as with an axe (hew.v.01)
 1: strike with an axe; cut down, strike (hew.v.02)"	3		
hhs	0: the United States federal department that administers all federal programs dealing with health and welfare; created in 1979 (department_of_health_and_human_services.n.01)	3		
hie	0: move fast (rush.v.01)	3		
hiv	"0: infection by the human immunodeficiency virus (hiv.n.01)
 1: the virus that causes acquired immune deficiency syndrome (AIDS); it replicates in and kills the helper T cells (human_immunodeficiency_virus.n.01)"	3		
hmo	0: group insurance that entitles members to services of participating hospitals and clinics and physicians (health_maintenance_organization.n.01)	3		
hnd	0: a diploma given for vocational training that prepares the student for a career in a particular area; good students may progress to a course leading to a degree (higher_national_diploma.n.01)	3		
hod	0: an open box attached to a long pole handle; bricks or mortar are carried on the shoulder (hod.n.01)	3		
hoy	0: a flatbottom boat for carrying heavy loads (especially on canals) (barge.n.01)	3		
hun	"0: a member of a nomadic people who invaded Europe in the 4th century (hun.n.01)
 1: offensive term for a person of German descent (kraut.n.01)"	3		
hus	0: Czechoslovakian religious reformer who anticipated the Reformation; he questioned the infallibility of the Catholic Church was excommunicated (1409) for attacking the corruption of the clergy; he was burned at the stake (1372-1415) (huss.n.01)	3		
iaa	"0: a plant hormone promoting elongation of stems and roots (indoleacetic_acid.n.01)
 1: Yemen-based terrorist group that supports al-Qaeda's goals; seeks to overthrow the Yemeni government and eliminate United States interests; responsible for bombings and kidnappings and killing western tourists in Yemen (islamic_army_of_aden.n.01)"	3		
idp	0: automatic data processing in which data acquisition and other stages or processing are integrated into a coherent system (integrated_data_processing.n.01)	3		
ied	0: an explosive device that is improvised (improvised_explosive_device.n.01)	3		
ifc	0: a United Nations agency that invests directly in companies and guarantees loans to private investors; affiliated with the World Bank (international_finance_corporation.n.01)	3		
